Topic,Words,Frequency,Timestamp
-1,"sugere, critica, defende, governo, princípios",169,2007
0,"tributária, defende, CPMF, critica, necessidade",232,2007
1,"governo, Conselho Ética, Ética, autoritária, administração",34,2007
2,"CPMF, antidemocráticas, Projeto Resolução Senado, Resolução Senado, pública",33,2007
3,"desenvolvimento Estado, Lula, Presidente Lula, Amapá, medida provisória",25,2007
4,"formação, integração, nacional, penal, apoia criação",32,2007
5,"conformidade, financiamento, controle transparência, defende necessidade urgente, projeto criação",16,2007
6,"apoia iniciativa, iniciativa, Maranhão, mandato, desenvolvimento",36,2007
7,"destinação recursos, CPMF, PLS institui, mais pobre, pobre",14,2007
8,"saúde, desenvolvimento econômico, desenvolvimento econômico social, econômico social, essencial",12,2007
9,"princípios constitucionais justiça igualdade, constitucionais justiça igualdade, critica hipocrisia, cumprir princípios constitucionais, cumprir princípios",4,2007
11,"reforma agrária, agrária, medidas provisórias garantir, provisórias garantir, Movimento",13,2007
12,"recursos públicos especialmente, está cumprindo adequadamente papel, não está cumprindo adequadamente, cumprindo adequadamente papel, atual critica",4,2007
13,"Senado acreditando, legislativas, credibilidade instituição, PEC propõe voto aberto, propõe voto aberto",17,2007
14,"público, acredita aprovação, Roraima, saúde, revistas garantir",16,2007
15,"promover desenvolvimento, desigualdades apoia, plebiscito criação Estado, necessário discutir, Brasil defende continuidade",11,2007
16,"propostas possam, fortalecer partidos políticos, democrático estabelecido, equilíbrio democrático, eleitorado",10,2007
17,"garantir não haja, defende Senado deve liderar, regiões menos, apoia propostas, desigualdades regionais sociais",11,2007
18,"CPMF, recursos públicos, setor, opõe prorrogação CPMF, recursos públicos especialmente",15,2007
19,"CPMF, Brasil, prorrogação CPMF, CPMF argumentando, excessiva",27,2007
20,"bebidas, brasileiros, política, cidadãos brasileiros, apoia posição Presidente",16,2007
21,"princípios constitucionais justiça igualdade, constitucionais justiça igualdade, apoia aprovação PL visa, forma promover justiça, Amazônia defende",5,2007
22,"melhorar qualidade educação, qualidade educação, educação, melhorar qualidade, melhorar",20,2007
23,"defende necessidade maior transparência, necessidade maior transparência, maior transparência controle, polícia, defende necessidade maior",2,2007
24,"prorrogação CPMF argumentando, prorrogação CPMF, CPMF argumentando, CPMF, proteger interesses nacionais",12,2007
25,"corrupção garantir, justiça social alinhando, Programa Aceleração Crescimento PAC, Crescimento PAC, Programa Aceleração Crescimento",7,2007
26,"prorrogação CPMF, carga tributária, CPMF, posiciona contra, valorizar papel",16,2007
27,"Senado democracia, rejeitando, importância Senado, Federal defende, extinção",2,2007
29,"aéreas, tributária, saúde pública, federal, apela Ministro",27,2007
30,"incentivando, economia brasileira, beneficiará, devolver, prorrogação CPMF",3,2007
31,"integração, impactos econômicos, prejudica imagem, defende extinção, cobertura midiática",10,2007
32,"Legislativo defende, crimes hediondos, apoia continuidade expansão, redução maioridade, redução maioridade penal",3,2007
33,"inadequadas, está risco, pacto federativo garantir, critica atuação Governo Federal, atuação Governo Federal",3,2007
34,"reforma política necessária, política necessária, trabalhador, apoia sanção, reforma política",3,2007
35,"princípios constitucionais justiça igualdade, constitucionais justiça igualdade, justiça igualdade, defende implementação políticas, renda básica",1,2007
36,"beneficiando, públicas critica, Legislativo relação, Federal tome, melhorias significativas",8,2007
37,"plebiscito criação Estado, apoia proposta plebiscito, plebiscito criação, melhorar segurança pública Brasil, corrigindo injustiça",7,2007
38,"agências, Senado deve mais, maior autonomia, Legislativo Executivo, reforma constitucional",11,2007
39,"controle, valorização reconhecimento, cursos, servir modelo, modelos",11,2007
40,"revistas garantir, política demarcação terras indígenas, defende votação, deve manifestar, administrativo",10,2007
41,"Micro, conflitos, Pequenas Empresas, Pequenas, Geral Micro Pequenas",11,2007
42,"Presidente Lula, Lula, sugere Presidente Lula, Programa Aceleração Crescimento PAC, fortalecer partidos políticos",12,2007
43,"priorizar discussão, contra impunidade, aplicação leis, Congresso Nacional deve priorizar, Nacional deve priorizar",5,2007
44,"sociedade governo, áreas prioritárias, Polícia Militar, projeto emenda constitucional, informar",6,2007
45,"Mercosul, integração, fortalecer legislação, posiciona contra prorrogação, debate público",7,2007
46,"competitividade Brasil, rejeição PEC, apoia rejeição, CPMF argumentando, rejeição",3,2007
47,"sindical, ensino, alinhe princípios, revisão legislação, globais",8,2007
49,"iniciativas Governo, significativamente desenvolvimento, Acessibilidade, ideia terceiro, ideia terceiro mandato",7,2007
50,"PEC propõe fim voto, propõe fim voto, consistente, propõe fim voto secreto, apoia PEC propõe fim",9,2007
53,"concedido salário mínimo, concedido salário, mesmo percentual, Estadual, social apoia aprovação",7,2007
54,"critica inércia Congresso Nacional, inércia Congresso Nacional, escolas técnicas, deliberar, essas instituições",2,2007
55,"políticas inclusão, apoia aprovação Estatuto Igualdade, aprovação Estatuto Igualdade Racial, aprovação Estatuto Igualdade, apoia aprovação Estatuto",2,2007
57,"gasto público, gasto, injusto, melhorar eficiência, carga tributária",1,2007
58,"tramitação projetos lei, jogo, ilegal, tramitação projetos, criminalizar",5,2007
60,"busca proteger, processuais, defende governo federal deve, exorta, atrasos",6,2007
61,"Senado deve assumir, beneficiando especialmente, deve assumir responsabilidade, normativa, assumir responsabilidade",3,2007
63,"Banco Brasil, uso, argumentando ela, Brasil ele, institucional apoia",14,2007
66,"Indígenas, Povos, Povos Indígenas, enfatiza urgência, assegurar direitos",1,2007
67,"refletir mudanças, mudanças sistema, sugere precisa, sistema tributário, justiça fiscal",3,2007
69,"sugere democracia, torná lo mais eficiente, Senado democracia, brasileira precisa, lo mais eficiente",6,2007
71,"aliviar carga tributária, regra, apoia Projeto Lei propõe, aliviar carga, garantir dignidade",2,2007
72,"licença maternidade, maternidade, aprovado Câmara, deve aprovado, brasileira deve",3,2007
73,"governo Presidente Lula, critica governo Presidente, setor público, aéreo, governo Presidente",1,2007
74,"histórica, estão alinhadas princípios constitucionais, reformas importantes, constitucionais direitos humanos, constitucionais direitos",8,2007
75,"direitos consumidores, relevância histórica, Antonio Carlos Magalhães, Carlos Magalhães, Magalhães",5,2007
77,"Senado conforme, Senado perante, mandato Presidente, governar, Conselho Ética",4,2007
82,"aumento, Comissão, aumento salário, Comissão Direitos, Comissão Direitos Humanos",5,2007
83,"partidária, Brasil visando, medida provisória, provisória, medida",3,2007
-1,"Governo, sugere, critica, defende, Brasil",180,2008
0,"direitos, critica, sugere, Congresso, Senado",209,2008
1,"político partidária, medidas provisórias deve, provisórias deve, instituições democráticas Brasil, democráticas Brasil",40,2008
2,"medidas provisórias, provisórias, medidas, proteção direitos humanos, proteção direitos",56,2008
3,"mais recursos, medidas, conforme princípios, Senado, Congresso Nacional",26,2008
4,"consolidação democracia, consolidação, Congresso, princípios, Congresso Nacional",26,2008
5,"aprovação medidas, regional, desenvolvimento, desenvolvimento regional, tomar posição firme",11,2008
6,"iniciativa, aposentados, apoia proposta, CPI, apoia PEC propõe redução",25,2008
7,"debate público, Senado democracia, hidrelétrica, defende continuidade fortalecimento, critica postura Ministro",9,2008
8,"construção, modelo, valorizar papel, Pernambuco, aviação civil",12,2008
9,"divisão, preservar democracia, preservar, deve reavaliar, necessidade justiça",16,2008
11,"medidas provisórias, provisórias, medidas, critica atual prática, Congresso",26,2008
12,"investigações, menos desenvolvidos, Estados menos desenvolvidos, deve mantida, Estados menos",3,2008
13,"setor, injustiças, medidas, interesses, Acessibilidade",21,2008
14,"administração, Federal deve atuar, ditadura militar, cargos comissionados, comissionados",15,2008
15,"enfraquecimento, decisão, priorizar, administração, constitucionais",20,2008
16,"Raposa Serra Sol, demarcação, conflitos, autonomia, dignidade",13,2008
17,"proposta, Governo, apoia criação Frente Parlamentar, Congresso possa, excessivo medidas provisórias Governo",12,2008
18,"preocupação, necessidade, trabalhadores conforme, equilíbrio entre poderes, apoia postura Presidente",10,2008
19,"regulamentação Emenda, regulamentação, cristãos, reconsidere, sugere governo federal deve",11,2008
20,"criação CPI, CPI, região, Amazônia, interesses estrangeiros",9,2008
21,"critica uso excessivo medidas, estudantes, critica uso excessivo, excessivo medidas provisórias, excessivo medidas",23,2008
22,"uso cartões, cartões corporativos, CSS, corporativos, desnecessária",33,2008
23,"impeachment, contra, processo impeachment, Dilma, aprovação",1,2008
24,"partido, reajuste, salário, mudança, Estatuto",15,2008
25,"constitucionais evitando, tributárias, reformas, reformas políticas, aprovação PL visa",23,2008
26,"apoia realização sessão, estão desacordo, respeitem direitos, ações políticas, medidas provisórias",9,2008
29,"desenvolvimento Brasil, Brasília, transformação, desenvolvimento, Brasil",1,2008
30,"apesar críticas, governo atual está, nos últimos anos, sugere situação, garantir moralidade",7,2008
