Topic,Rotulo
-1,"Constituição, orador, importância, direitos, opinião, clara, constitucionais, relação, respeito, direito, necessidade, sociais, artigo, social, democracia, igualdade, princípios, emenda, apoio, proposta, medidas, falta, papel, governo, Senado, processo, marco, provisórias, União, política"
0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
1,"Constituição, orador, direitos, importância, direito, constitucionais, respeito, ações, constitucional, Estado, democracia, proteção, trabalhadores, princípio, sociais, democrático, lei, artigo, tentativa, Congresso, documento, Senado, violação, parte, prerrogativas, projeto, sistema, forma, previsto, fundamental"
2,"Constituição, marco, orador, democracia, importância, direitos, brasileira, social, importante, sociais, papel, democrático, Estado, conquistas, sociedade, avanço, cidadania, direito, avanços, participação, oradora, desenvolvimento, transição, promoção, políticas, significativo, democráticas, elaboração, positivo, relação"
3,"impeachment, processo, Constituição, golpe, Presidente, crime, responsabilidade, oradora, orador, democracia, legal, constitucional, base, crimes, constitucionais, uso, violação, legítimo, presidente, importância, relação, Senado, clara, rito, forma, instrumento, ações, brasileira, opinião, política"
4,"Constituição, orador, importância, respeito, direito, oradora, direitos, cumprimento, constitucional, ações, Estado, lei, liberdade, processo, saúde, princípio, acesso, República, projeto, leis, públicos, essencial, normas, servidores, relação, proteção, devido, novos, país, devido processo"
5,"visão, positiva, Constituição, orador, emenda, importância, apoio, constitucionais, participação, princípios, brasileira, política, elaboração, recursos, mesma, áreas, criação, sistema, novos, fidelidade, político, investimento, regras, claras, fontes, tributos, então, área, partidária, ensino"
6,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
7,"Constituição, orador, decisão, importância, constitucional, respeito, relação, ministros, constitucionais, direitos, inconstitucional, direito, democracia, União, processo, princípio, oradora, medidas, forma, atribuições, devido processo, necessidade, devido, Parlamento, governo, transparência, defesa, falta, ação, provisórias"
8,"democracia, Constituição, brasileira, orador, importância, pilar, marco, oradora, Estado, direito, brasileiro, princípios, essencial, democrático, importante, ações, respeito, base, sociedade, ameaça, democrática, crise, instrumento, constitucional, político, desenvolvimento, forma, lei, ordem, discriminação"
9,"orador, Constituição, Estado, importância, região, transformação, Território, desenvolvimento, forma, positiva, direitos, criação, estado, marco, oradora, direito, estados, territórios, importante, positivo, papel, liberdade, dignidade, deficiência, Estados, pessoas, promulgação, territorial, território, mudança"
10,"opinião, clara, Constituição, orador, relação, emenda, constitucional, contexto, proposta, Estados, criação, recursos, distribuição, municípios, participação, princípio, mandato, compatibilidade, apoio, preocupação, perda, atribuições, parlamentar, desmembramento, troca, transferência, partido, aumento, norma, prerrogativa"
11,"Constituição, cidadã, orador, papel, importância, oradora, participação, garantia, elaboração, conquistas, liberdade, bandeira, nacional, luta, público, autonomia, trabalhadora, sindical, desobediência, classe, instrumentos, serviço, , , , , , , , "
12,"Constituição, orador, reforma, clara, opinião, relação, política, sistema, governo, contexto, necessidade, emendas, crítica, forma, polícias, direta, constitucional, emenda, cargos, regulamentação, texto, estrutura, serviços, importância, ideia, avaliação, eleições, possibilidade, reeleição, espírito"
13,"fiscal, Constituição, fiscalização, CPI, orador, CPIs, importância, instalação, constitucionais, constitucional, Congresso, respeito, governo, direito, minoria, relação, necessidade, instrumento, clara, minorias, emenda, regulamentação, opinião, falta, controle, tentativa, estados, parte, entanto, maioria"
14,"educação, Constituição, orador, importância, direito, oradora, educacional, inclusão, recursos, opinião, clara, Estado, crianças, dever, básica, apoio, emenda, educacionais, forma, positivo, positiva, desenvolvimento, proposta, investimento, políticas, constitucional, obrigatoriedade, artigo, constitucionais, profissional"
15,"terras, indígenas, demarcação, Constituição, temporal, orador, marco, direitos, povos, aplicação, respeito, artigo, relação, clara, opinião, propriedade, forma, Estado, questão, necessidade, oradora, exploração, importância, comunidades, falta, governo, constitucional, constitucionais, posse, indígena"
16,"Constituição, orador, falta, atual, situação, forma, respeito, atuação, aplicação, desrespeito, governo, violação, expressão, liberdade, emenda, democracia, país, direitos, crítica, atual situação, política, lei, censura, Senado, constitucional, Estado, direito, constitucionais, interesses, afronta"
17,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
18,"apoio, Constituição, importância, orador, emenda, oradora, opinião, saúde, Senado, clara, direito, direitos, confiança, respeito, necessidade, constitucional, relação, pública, servidores, Estado, medida, processo, recursos, vida, positivo, públicos, cumprimento, compromisso, dever, necessárias"
19,"decisão, Constituição, orador, atuação, decisões, relação, Senado, constitucionais, judicial, respeito, importância, constitucional, forma, emenda, lei, princípio, princípios, processo, leis, direito, falta, práticas, país, defesa, processos, inconstitucionais, tribunal, corrupção, sistema, autoridade"
20,"artigo, Constituição, opinião, orador, clara, segurança, pública, Estado, direito, direitos, relação, avaliação, positiva, direta, responsabilidade, vida, cumprimento, democracia, menção, tom, , , , , , , , , , "
21,"petróleo, royalties, Estados, produtores, distribuição, exploração, Constituição, orador, União, compensação, energia, recursos, direitos, riqueza, elétrica, inconstitucional, gás, equilíbrio, naturais, participação, impactos, tentativa, constitucionais, lei, importância, artigo, ordinária, contratos, respeito, meio"
22,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
23,"provisórias, medidas, uso, Executivo, excessivo, Congresso, urgência, Constituição, orador, relevância, governo, utilização, afronta, prática, excessiva, instrumento, usurpação, função, prerrogativas, constitucionais, Poderes, atribuições, figura, leis, distorção, constitucional, equilíbrio, desvio, falta, Senado"
24,"penal, crimes, Constituição, maioridade, orador, anos, hediondos, pena, menores, legislação, clara, idade, opinião, criminosos, atual, redução, vítimas, criminalidade, emenda, respeito, artigo, matéria, penas, constitucionais, relação, necessidade, falta, inconstitucional, morte, perpétua"
25,"Constituição, orador, atual, desenvolvimento, econômico, burocracia, normas, nova, social, desigualdades, crítica, oradora, federalismo, cumprimento, regionais, atuais, desigualdade, excesso, contexto, caráter, inadequada, caminho, necessidades, eficácia, longo, constitucionais, princípios, mudanças, longo caminho, eficazes"
26,"ambiente, ambiental, meio, proteção, artigo, Constituição, direito, ambientais, importância, futuras, orador, gerações, futuras gerações, oradora, sustentável, desenvolvimento, necessidade, fiscais, sabedoria, concorrente, incentivos, legislação, direitos, VI, obras, fundamentais, defesa, coletividade, papel, qualidade"
27,"crianças, adolescentes, proteção, direitos, oradora, Constituição, família, artigo, prioridade, importância, absoluta, sociedade, fundamentais, orador, dever, Estado, avanços, políticas, promoção, garantia, integral, marco, públicas, social, base, bases, significativos, luta, população, fundamental"
