Topic,Words,Frequency,Timestamp
-1,"Homenagem, CPMF, Comemoração, da CPMF, PEC",1856,2007
0,"presidente, Presidente Lula, ao Presidente, do Presidente, presidente Lula",196,2007
1,"no Brasil, brasileira, do Brasil, brasileiro, brasileiros",186,2007
2,"Homenagem, transcurso, Homenagem ao, pelo transcurso, Homenagem pelo",152,2007
3,"pesar, de pesar, pesar pelo, de pesar pelo, pesar pelo falecimento",154,2007
4,"violência, violência no, da violência, maioridade penal, da maioridade penal",161,2007
5,"educação, Educação, da Educação, da educação, de Educação",139,2007
6,"edição de, de Paulo, matéria intitulada, da matéria intitulada, Registro da matéria",327,2007
7,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, do Supremo Tribunal Federal",60,2007
8,"Projeto de Lei, dedução da base, dedução da base de, Lei do Senado para, dedução da",8,2007
9,"dengue, Aids, combate dengue, de dengue, Covid",17,2007
10,"Críticas ao, Governo Federal, Críticas ao Governo, ao Governo, Críticas ao Governo Federal",67,2007
11,"autoria de, de autoria de, autoria de Exa, de autoria de Exa, de Exa que",55,2007
12,"Rio, do Rio, Rio Grande, Rio Grande do, do Rio Grande",78,2007
13,"Banco, do Banco, Banco do, crédito, Banco do Brasil",50,2007
14,"como Líder Homenagem, Líder Homenagem, Líder Registro, como Líder Registro, líder",115,2007
15,"TV, Rádio, Televisão, da TV, televisão",64,2007
16,"Pública, segurança pública, Segurança Pública, PAC da Segurança Pública, sobre PAC da",40,2007
17,"Governo Federal, Polícia Federal, da Polícia Federal, governo, governo federal",47,2007
18,"Amazônia, da Amazônia, Amazonas, do Amazonas, Estado do Amazonas",71,2007
19,"participação de, da participação de, da participação, participação de Exa, da participação de Exa",25,2007
20,"que retirou Exa, respeito do processo de, que retirou, respeito do processo, de impeachment que",1,2007
21,"petróleo, gás, de petróleo, de gás, combustíveis",29,2007
22,"Agricultura, da Agricultura, Rural, agricultura, Extensão Rural",24,2007
23,"Venezuela, da Venezuela, Chávez, Hugo Chávez, do Presidente",54,2007
24,"medida provisória, medida, medidas provisórias, medidas, Medida",24,2007
25,"reforma política, reforma, da reforma política, da reforma, reforma política Defesa",22,2007
26,"CPI, da CPI, CPI do, CPI das, CPI para",54,2007
27,"Transportes, BR, transporte, dos Transportes, de Transportes",27,2007
28,"que Exa, Relato do trabalho de, Relatório de Atividades do, de Atividades do, Considerações sobre Relatório de",15,2007
29,"do Ministro, Ministro da, mínimo, salário mínimo, do Ministro da",29,2007
30,"Registro da presença, da presença, Prefeitos, Registra presença, Prefeito",21,2007
31,"tributária, reforma tributária, carga tributária, reforma, da reforma tributária",33,2007
32,"Ambiente, Meio Ambiente, do Meio Ambiente, Mundial do Meio Ambiente, Mundial do Meio",36,2007
33,"Michel Temer, Deputado Michel Temer para, Deputado Michel, Deputado Michel Temer, Temer para",5,2007
34,"Regimento, Regimento Interno, do Regimento, do Regimento Interno, artigo do Regimento Interno",10,2007
35,"pronunciamento, pronunciamento do Senador, pronunciamento do, ao pronunciamento, ao pronunciamento do",36,2007
36,"fiscal, fiscalização, Fiscalização, fiscalização de, Fiscalização Controle",8,2007
37,"vetos, dos vetos, veto, vetos presidenciais, presidenciais",28,2007
39,"Federal do Conselho Nacional, de Sete Lagoas, de Senadoras, Tribunal Federal do Conselho, que apure caso",1,2007
40,"câncer, Câncer, câncer de, de mama, crescimento de casos",5,2007
41,"aeroportos, Aeroporto, aeroporto, Aeronáutica, Aeroporto de",23,2007
42,"Petrobrás, Petrobras, da Petrobras, da Petrobrás, CPI da Petrobras",7,2007
43,"royalties, dos royalties, royalties do, royalties do petróleo, dos royalties do",3,2007
44,"Santa Catarina, Catarina, de Santa, de Santa Catarina, Estado de Santa",20,2007
45,"do Espírito Santo onde, de Mimoso, de Mimoso do, de Mimoso do Sul, Mimoso do Sul",1,2007
47,"lançamento, do lançamento, Registro do lançamento, lançamento do, Registro do",13,2007
48,"Florestal, Código Florestal, florestas, Florestas, novo Código Florestal",10,2007
49,"drogas, de drogas, sobre tráfico de drogas, de drogas como Líder, de drogas como",10,2007
50,"Dia Internacional, Internacional, do Dia Internacional, Internacional da Mulher, Dia Internacional da Mulher",27,2007
51,"climáticas, Climáticas, Mudanças Climáticas, Mudanças, mudanças climáticas",19,2007
52,"do Mundo, Copa do Mundo, Copa do, do Mundo de, Copa do Mundo de",7,2007
53,"terras, de terras, por estrangeiros, demarcação, Defende",9,2007
54,"PLC de, PLC de que, Lei da Câmara, de Lei da Câmara, Projeto de Lei da",5,2007
-1,"Comemoração, Homenagem, PEC, Projeto de Lei, Dia",1925,2008
0,"Presidente Lula, do Presidente, do Presidente Lula, presidente, Presidente da República",150,2008
1,"brasileira, no Brasil, econômica, do Brasil, crise econômica",199,2008
2,"transcurso, pelo transcurso, Homenagem pelo, Homenagem ao, Homenagem pelo transcurso",227,2008
3,"pelo falecimento, pesar, de pesar, pesar pelo, pesar pelo falecimento",204,2008
4,"violência, violência no, da violência, Penal, crime",107,2008
5,"Educação, educação, professores, Universidade, Professor",164,2008
6,"edição de, matéria intitulada, da matéria intitulada, da matéria, Registro da matéria intitulada",260,2008
7,"Supremo, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, do Supremo",68,2008
8,"projetos de leis, de leis, projetos de, Federal Hugo Leal, de leis em",2,2008
9,"dengue, dengue no, da dengue no, da dengue, de dengue",24,2008
10,"Críticas ao, Governo Federal, Críticas ao Governo, ao Governo, Críticas ao Governo Federal",39,2008
11,"autoria de, de autoria de, autoria de Exa, de autoria de Exa, autoria de Exa que",72,2008
12,"Rio, do Rio, Rio Grande, Rio Grande do, do Rio Grande",76,2008
13,"Banco, crise financeira, financeira, do Banco, crédito",104,2008
14,"como Líder Homenagem, Líder Homenagem, líder, Líder Registro, como Líder Registro",92,2008
15,"TV, da TV, Rádio, TV Senado, da TV Senado",92,2008
16,"dos alimentos, Preocupação com as, segurança pública, no Estado do, Piauí",62,2008
17,"Governo Federal, do Governo Federal, Distrito Federal, ao Governo, governo",46,2008
18,"Amazônia, Amazonas, da Amazônia, do Amazonas, Estado do Amazonas",94,2008
19,"participação de, da participação de, da participação, participação de Exa, da participação de Exa",43,2008
20,"de impeachment, do episódio da, Comunicação de que PSOL, da escuta telefônica, professor ambientalista",2,2008
21,"petróleo, de petróleo, gás, do petróleo, exploração",41,2008
22,"Agricultura, da Agricultura, agricultura, agrícola, de Agricultura",34,2008
23,"Venezuela, Colômbia, da Venezuela, Bolívia, da Colômbia",51,2008
24,"Medida, Provisória, Medida Provisória, da Medida Provisória, medidas provisórias",50,2008
25,"reforma, reforma política, política, da reforma, da reforma política",12,2008
26,"CPI, da CPI, CPI da, dos cartões corporativos, CPI da Pedofilia",79,2008
27,"BR, transporte, Transportes, transportes, urbano",14,2008
28,"por Exa, Casa, atividades, como suplente do Senador, como suplente do",14,2008
29,"Ministra Dilma, Ministra, Ministra Dilma Rousseff, da Ministra, da Ministra Dilma",48,2008
30,"Prefeito, Registra presença, Registro da presença, da presença, presença no",18,2008
31,"tributária, reforma tributária, reforma, carga tributária, de reforma tributária",31,2008
32,"Ambiente, Meio Ambiente, Meio, do Meio Ambiente, ambiental",36,2008
33,"sobre Carta de, dos Presidentes dos, dias do corrente em, após reunião, sobre Carta",1,2008
34,"Regimento, Regimento Interno, do Regimento, do Regimento Interno, Reclama da",5,2008
35,"pronunciamento, pronunciamento do, pronunciamento do Senador, ao pronunciamento, ao pronunciamento do",46,2008
36,"Fiscalização, fiscal, Orçamentos Públicos, Públicos Fiscalização, Orçamentos Públicos Fiscalização",12,2008
37,"vetos, veto, dos vetos, vetos presidenciais, veto presidencial",8,2008
