Topic,Rotulo
-1,"Constituição, direitos, constitucional, Estado, direito, inconstitucional, lei, constitucionais, forma, legislação, tentativa, cargos, igualdade, leis, mesmo, proposta, regulamentação, atual, necessidade, criação, base, violência, sociedade, defesa, propostas, segurança, serviços, magistrados, anos, pública"
0,"Constituição, direitos, Estado, Congresso, governo, medidas, direito, cidadãos, políticas, processo, constitucional, Presidente, recursos, provisórias, legislação, públicas, obrigação, lei, pública, legislativo, públicos, ações, papel, Estados, saúde, violação, discriminação, trabalhadores, Executivo, alteração"
1,"Constituição, marco, brasileiro, democracia, importante, papel, direitos, política, países, transição, história, político, fundamentais, sistema, consolidação, jurídico, soberania, relações, ordenamento, atual, liberdades, tradição, internas, governo, governabilidade, âmbito, garantias, individuais, representação, democratização"
2,"impeachment, processo, legítimo, crime, legal, golpe, constitucionais, Presidente, legais, responsabilidade, constitucional, preceitos, fundamentos, Senado, ferramenta, tentativa, jurídicos, jurídico, procedimento, mecanismo, inconstitucional, político, presidente, procedimentos, crimes, defesa, processos, decisão, atos, direito"
3,"responsabilidade, Estado, segurança, cidadãos, responsabilidades, pública, Senado, direitos, saúde, políticas, Estados, recursos, Municípios, habitação, serviços, condições, públicas, primária, municípios, direito, ensino, específicas, federativo, pendências, fundamental, leis, privada, dignas, áreas, medidas"
4,"judiciais, Judiciário, decisões, Legislativo, Executivo, ações, Constituição, constitucionais, processos, papel, direitos, reintegração, direito, forma, prerrogativas, cidadãos, posse, poderes, devido, ordens, devido processo, eficiente, processo, autoridades, legalidade, interferências, legal, membros, inconstitucionais, indevidas"
5,"mudanças, significativas, constitucionais, emendas, necessárias, sistema, legislativo, processo, Constituição, político, regras, estruturais, consenso, legislação, parlamentares, eleitorais, difíceis, poder, amplo, constitucional, adequado, amplo apoio, suplentes, apoio, significativo, antecedência, Senado, emenda, mandato, forma"
6,"educação, acesso, Estado, obrigação, áreas, saúde, qualidade, cidadãos, ensino, parte, escolas, orçamento, governo, mínimo, investimento, constitucional, deficiência, pessoas, segurança, crianças, especiais, sociais, prioridade, médio, diretrizes, população, constitucionais, nacional, princípios, fundamental"
7,"terras, indígenas, demarcação, data, demarcações, índios, promulgação, povos, ocupação, União, direitos, Estado, áreas, exploração, Constituição, indígena, direito, naturais, recursos, reservas, produtivas, existente, limites, tradicional, agrária, responsabilidade, situação, governo, decisões, casos"
8,"financeiras, financeira, financeiros, Municípios, dificuldades, financiamento, financeiro, recursos, saúde, responsabilidades, municípios, União, governo, pública, devido, entes, responsabilidade, autonomia, obrigação, federativos, sistema, constitucional, suporte, criação, constitucionais, segurança, Estado, famílias, educação, essenciais"
