Topic,Rotulo
-1,"direitos, aprovação, Senado, lei, criação, forma, recursos, conformidade, política, pública, saúde, desenvolvimento, políticas, medidas, Estado, segurança, proposta, emenda, Estados, processo, provisórias, princípio, governo, Legislativo, legislação, papel, responsabilidade, transparência, aplicação, Presidente"
0,"Senado, direitos, direito, política, medidas, princípios, democracia, emenda, lei, decisão, políticas, processo, segurança, atuação, Estado, respeito, aprovação, pública, liberdade, provisórias, governo, projeto, públicas, conformidade, igualdade, Judiciário, brasileira, defesa, social, falta"
1,"aprovação, proposta, emenda, conformidade, saúde, direito, União, direitos, pública, Senado, forma, recursos, social, Estados, trabalho, sistema, educação, Estado, trabalhadores, desenvolvimento, processo, criação, implementação, financiamento, terras, assistência, brasileiro, autonomia, princípio, brasileiros"
2,"impeachment, processo, Presidente, responsabilidade, crime, base, golpe, legal, legitimidade, crimes, inconstitucional, legais, violação, devido, abertura, mandato, procedimentos, devido processo, afastamento, pedido, jurídica, tentativa, normas, medida, defesa, acusações, forma, Estado, respeito, direito"
3,"marco, Estado, direitos, democracia, transformação, desenvolvimento, papel, consolidação, política, democrático, criação, princípios, democráticos, direito, políticas, democrática, social, elaboração, histórica, brasileira, transição, construção, defesa, públicas, estabilidade, avanços, país, cidadãos, processo, implementação"
4,"fiscal, fiscalização, financeira, recursos, Estados, papel, Municípios, Senado, União, controle, responsabilidade, autonomia, aprovação, fiscalizador, Executivo, transparência, Congresso, pública, maior, revisão, governo, financeiros, medidas, falta, orçamentária, emenda, relação, país, normas, entes"
5,"educação, recursos, direito, professores, educacional, ensino, saúde, educacionais, qualidade, direitos, básica, escolas, universidades, cumprimento, lei, aprovação, projeto, públicas, forma, crianças, nacional, pública, piso, governo, social, pessoas, salarial, aplicação, igualdade, superior"
6,"terras, indígenas, demarcação, temporal, direitos, marco, aprovação, demarcações, comunidades, jurídica, projeto, quilombolas, exploração, Estado, áreas, lei, proteção, indígena, contínua, mineração, outubro, direito, revisão, ambiental, interpretação, nacional, regularização, novo, decisão, forma"
7,"CPI, instalação, CPIs, fiscalização, Senado, criação, direito, minoria, investigação, investigações, requisitos, irregularidades, corrupção, transparência, minorias, requerimento, instauração, base, instrumentos, governo, forma, mesmo, futebol, fiscalizadora, funcionamento, função, uso, leitura, corporativos, cartões"
8,"royalties, petróleo, distribuição, Estados, produtores, Municípios, redistribuição, exploração, equitativa, recursos, projeto, lei, compensação, brasileiros, forma, estados, artigo, gás, União, financeira, conformidade, naturais, proposta, legislação, alteração, justa, tratamento, princípio, jurídico, ordinária"
9,"tributária, reforma, tributário, sistema, Estados, carga, energia, justiça, federativo, distribuição, princípios, elétrica, proposta, cobrança, atual, fiscal, autonomia, pacto, redução, brasileiro, econômico, desigualdades, eficiente, financeira, tributárias, regionais, econômica, imunidade, simplificação, produtores"
