Topic,Words,Frequency,Timestamp
-1,"deve, devem, implica Estado, Estado, implica qualquer",241,2007
0,"deve, não, governo, implica qualquer, constitucional",169,2007
1,"há processo legislativo, implica há processo legislativo, CPMF, governo, Estado",46,2007
2,"implica Estado tem dever, Estado tem dever, tem dever, implica Estado, Estado tem",20,2007
3,"implica Governo Federal, Governo Federal, territorial país implica, territorial país, redivisão territorial",14,2007
4,"educação implica, devem respeitar esse, medidas implica, implica governos estaduais, obrigação cumprir",13,2007
5,"emenda constitucional, emenda, constitucional, não pode cobrar, mecanismo formal",23,2007
6,"violar princípios, prerrogativas Legislativo implica, implica Governo Federal deveria, Governo Federal deveria, Judiciário tem papel",22,2007
7,"provisórias Executivo, não necessário, medidas provisórias Executivo, finalidades, implica voto secreto",13,2007
8,"Mercosul implica, implica possível criar, desses limites, dentro desses limites, papel crucial manutenção",16,2007
9,"expectativa, regras específicas, estabeleceu bases, todos níveis, implica estabeleceu bases",7,2007
10,"condições implica, deve atuar forma imparcial, deve ter papel ativo, Presidente Senado deve, mínimo educação",14,2007
11,"emenda constitucional, emenda, sem aprovação Congresso implica, essa igualdade implica, inconstitucionalidade implica",17,2007
12,"fiscalizar Executivo, emendas constitucionais implica, emendas constitucionais, fiscalizar, implica senadores",19,2007
13,"integridade, interesse, implica governo deve assegurar, governo deve assegurar, entre entes federados implica",25,2007
14,"deve baseado mérito, baseado mérito, deve respeitar essa divisão, respeitar essa divisão, Poder Executivo não deve",13,2007
15,"constitucional seria, aumentar transparência, implementar políticas educacionais, garantir sistema, processo constitucional",18,2007
16,"pessoas, original implica, privilégio, opinião, implica pessoas têm",17,2007
17,"extinção, base critérios, pressões políticas, estrutura política, mudança constitucional implica",6,2007
18,"falhas, sistema político brasileiro, implica atual sistema, político brasileiro, atual sistema",1,2007
19,"Ibama, órgão, patrimônio, ambiental, sociedade",7,2007
20,"reformas políticas, Nacional tem poder alterar, CPMF implica, devem respeitar devido, devem respeitar devido processo",12,2007
21,"todos cidadãos implica, terras indígenas deve respeitar, democráticos estabelecidos implica, indígenas deve respeitar, todos cidadãos implica qualquer",8,2007
22,"devem alocar, implica gestores, públicos implica Estado, gestores públicos, essas áreas implica",13,2007
24,"favorecimentos, decidido, deve baseado mérito, baseado mérito, implica atual sistema",7,2007
25,"vantagens, haver igualdade, acessível todos cidadãos, implica sistema judiciário, implica recursos devem",10,2007
26,"papel constitucionalmente reconhecido, Estado tem responsabilidade prover, tem responsabilidade prover, constitucionalmente, responsabilidade prover",5,2007
27,"implica Senado Federal deve, Senado Federal deve, partidário, pública implica Congresso, cidadão implica",8,2007
28,"transição democracia Brasil, razões, transição democracia Brasil implica, categorias profissionais, implica vista marco transição",9,2007
29,"esses direitos garantias, implica há mecanismo constitucional, diretamente implica, há mecanismo constitucional, devem respeitados protegidos",7,2007
30,"regulamentação específica, diferentes níveis governo implica, níveis governo implica, entre diferentes níveis governo, entre diferentes níveis",3,2007
31,"Estado, tributária, implica Estado tem obrigação, Estado tem obrigação, tem obrigação",1,2007
33,"devem cumprir essa, nepotismo, prestação serviços, implica Estados devem, micro pequenas empresas",7,2007
35,"CPMF implica, tem responsabilidades, fiscalizar Executivo implica, tem direito investigar, responsabilidades constitucionais",7,2007
36,"oportunidade defender, oportunidade defender adequadamente, dívidas, judicialmente, defender adequadamente",4,2007
37,"implica todos acusados, todos acusados, direito defender, direitos incluindo, constitucional implica Congresso",7,2007
38,"implica desenvolvimento, implica sem essa regulamentação, sem essa regulamentação, barreiras, todo território nacional",12,2007
39,"saúde deve, deve atender, sociedade brasileira, sistema saúde, forma justa",1,2007
40,"extinção, decreto presidencial, acusado, implica decreto, ilegal implica",3,2007
41,"implica desenvolvimento, deve tratado, garantir justiça, urbano, segurança implica",9,2007
42,"aprovação Congresso Nacional, implica Governo não pode, Governo não pode, sem aprovação Congresso, implica Governo não",6,2007
43,"Tribunal Federal tem, tem legitimidade, Supremo Tribunal Federal tem, penais, federativa",7,2007
45,"deve ajustado, implica sistema eleitoral deve, sistema eleitoral deve, implica sistema eleitoral, investigar questões interesse público",9,2007
46,"implica Estado Amapá, implica processo eleitoral, Estado Amapá, inclusão pessoas deficiência implica, população brasileira",7,2007
47,"consequências, enfrentar, racismo, crimes, devem",5,2007
48,"peso, pequenas empresas implica, implica governos estaduais, micro pequenas empresas implica, devido processo legislativo",7,2007
49,"manutenção, urgência, tem papel fundamental, papel fundamental, provisórias Executivo",12,2007
50,"prorrogação CPMF, ocupantes cargos, contas Congresso, implica desenvolvimento, nesses critérios",12,2007
51,"significativa orçamentos, destinar parte significativa orçamentos, parte significativa orçamentos, políticas ambientais, legislação restrinja",9,2007
52,"cidadãos tenham acesso, deve respeitar limites constitucionais, cidadãos tenham, União deveria, implica União deveria",6,2007
54,"direitos incluindo, implica decisões Senado, deve respeitar proteger esses, implica decisões Senado devem, decisões Senado devem",8,2007
55,"operações, implica União não, operações crédito, acordo implica, manter",2,2007
56,"prever, implica ações políticas, medicamentos implica, imparcialidade, exceção implica",7,2007
57,"devem ter, direitos, implica processo impeachment, não podem, implica processo impeachment deve",1,2007
58,"papel fundamental, polícias, papel fundamental manutenção, têm papel fundamental, fundamental",3,2007
59,"indefinidamente, colaborar, titularidade, privatização, implica Câmara Deputados",5,2007
60,"respeitar autonomia, constitucionais implica qualquer tentativa, Estado Roraima, sem emenda, Roraima implica",4,2007
61,"marco constitucional, dentro marco, institucionais, Presidente República deve respeitar, República deve respeitar",3,2007
62,"prorrogação CPMF, implica prorrogação, papel fundamental proteção, implica Forças Armadas têm, Forças Armadas têm",4,2007
63,"reduzir desigualdades implica, políticas promover desenvolvimento, políticas promover, marco redemocratização, redemocratização Brasil",6,2007
64,"pode decidir, implica municípios têm, setores, municípios têm, implica governo pode",2,2007
65,"sistema político podem realizadas, político podem, político podem realizadas, implica mudanças estruturais, sistema político podem",1,2007
67,"implica há regras, CPMF implica, há regras, não depende, financiamento saúde",4,2007
68,"extinção, latino, legal implica qualquer, equilíbrio federativo, cidadãos têm direito acesso",6,2007
69,"deve destinar parte, deve destinar, orçamento saúde, desenvolver, destinar parte",3,2007
70,"jurídico político, implica Legislativo deve ter, orçamento implica, Legislativo deve ter, elaboração",3,2007
71,"grupo, não deve haver discriminação, deve haver discriminação, haver discriminação, implica não deve haver",2,2007
72,"inconstitucional implica Senado tem, devem distribuídos, distribuídos, ajustar, inconstitucional implica Senado",2,2007
73,"implica regras, implica Governo não pode, Governo não pode, implica Governo não, Governo não",2,2007
74,"constitucional deve respeitado, agrária, reforma agrária, princípio constitucional, deve respeitado",4,2007
75,"implica Estado Amapá, Estado Amapá, titularidade, implica caso, desenvolvimento implica",4,2007
76,"prorrogação CPMF, implica decisões importantes, decisões importantes, recursos destinados, deve garantir acesso saúde",5,2007
77,"protegido implica, implica direito, voto secreto, secreto, deve respeitado",2,2007
78,"pressupostos, partidos, partidos implica, medidas provisórias, provisórias",3,2007
79,"Estado Amapá, implica Estado Amapá, garantir condições todos, todos tenham acesso moradia, tenham acesso moradia",5,2007
80,"Militar, sistema prisional, Civil, Governadores, implica Roraima",2,2007
81,"estruturado, apenas situações, deve usar, emendas parlamentares, aprovação emendas",7,2007
82,"penal, implica Estados não, não podem julgados adultos, julgados adultos, podem julgados adultos",2,2007
83,"administrativa, objetivos, considerada inconstitucional implica, considerada inconstitucional, implica governo deve",1,2007
84,"caminho, ainda, direitos constitucionais, constitucionais, direitos",1,2007
85,"discriminar, religião, Estado não pode, implica Estado não pode, implica Estado não",2,2007
86,"restaurar, soberania nacional, implica PEC, estrangeiros, soberania",3,2007
87,"cumprir leis, reintegração, implica Municípios deveriam ter, autonomia financeira, governo deve cumprir",6,2007
88,"implica partidos políticos, implica partidos, partidos políticos, políticos, inconstitucionais",2,2007
89,"áreas, dessas áreas, remoção, reservas indígenas, reservas",3,2007
90,"estrutura legal, implica há estrutura, há estrutura, recursos financeiros, financeiros",3,2007
-1,"deve, não, direitos, devem, Estado",229,2008
0,"deve, devem, terras, Estado, direito",139,2008
1,"direitos humanos, humanos, regulamentação, critérios, licitação",34,2008
2,"brasileira, implica iniciativa, Judiciário deve atuar, públicas devem implementadas, políticas públicas devem implementadas",21,2008
3,"indígenas, territoriais povos indígenas, direitos territoriais povos indígenas, direitos territoriais povos, territoriais povos",17,2008
4,"sem autorização judicial, ultrapassando limites, não pode realizar, fere implica, PEC implica",15,2008
