Topic,Words,Frequency,Timestamp
-1,"discurso, CPMF, bilhões, ou, importância",241,2007
0,"Constituinte, Constituintes, foi, promulgação, Brasil",46,2007
1,"Presidente, Sr Presidente, Presidente República, República, Presidente Lula",27,2007
2,"Federal, Congresso, Congresso Nacional, Governo, CPMF",44,2007
3,"Brasil, auto suficiência, suficiência, tão, brasileira",20,2007
4,"menciona, sugerindo, importância, sugerindo já, menciona importância",15,2007
5,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, liminarmente",5,2007
6,"discurso critica, crítica, critica, indicam avaliação, discurso critica falta",19,2007
7,"fiscalização, fiscal, Responsabilidade, Lei Responsabilidade, fiscalizar",11,2007
9,"melhorado, PT não, outro lado não, superficial, tem esse poder",14,2007
10,"inciso, Art, aposentados pensionistas, pensionistas, figura",13,2007
11,"apresentei essa, basta colocar, primeira página, tão importante nosso, não assim",6,2007
12,"Ulysses, Ulysses Guimarães, Guimarães, bandeira, disse",21,2007
13,"democrático, quisermos, Estado democrático, sociedade, democrático direito",7,2007
14,"discurso enfatiza, enfatiza, importância, discurso enfatiza importância, enfatiza importância",13,2007
15,"democracia, maior riqueza, Democracia, liberdade, nos preocupar",9,2007
16,"critica, arbitrária, ações contrárias princípios constitucionais, princípios constitucionais critica, ações contrárias",4,2007
17,"educação, problemas, prioridades, gastos, pressão",10,2007
18,"sugere, atual, sugere vista, avaliação atual, sugere atual não",15,2007
19,"normas, essa denúncia, instrução normativa, instrução, propriedades",12,2007
20,"alcançaram, indígenas negros, povo brasileiro sobretudo, povos indígenas negros, dedicado",2,2007
21,"defender, equilíbrio, público lei, debate aqui, compromisso fundamental",5,2007
22,"crime, crime organizado, narcotráfico, pode aceitar, ninguém pode",7,2007
23,"inciso, ainda precisa, inciso II Federal, implementação prática, teleologia",2,2007
24,"visão, visão positiva, sugere visão positiva, sugere visão, visão positiva papel",3,2007
25,"discurso critica, critica, sugerindo contraria, desenvolvimento regional, crítica",6,2007
26,"Magna, Carta Magna, Carta, será cumprida, após aprovação",2,2007
27,"Casa, Casa tem, Esta Casa, Esta Casa tem, esta Casa",6,2007
28,"tributária, questão política, carga tributária, reforma tributária, distribuição",6,2007
29,"direito adquirido, privado, políticas, necessidade políticas, necessidade políticas públicas",3,2007
30,"ambiental, ambiente, meio ambiente, instrumentos, proteção ambiental",4,2007
31,"democracia soberania, soberania cidadania, voltadas, verdadeiramente, bases",1,2007
32,"discurso sugere prever, Amapá sugere, vista marco positivo, menção relação, sugere prever",2,2007
33,"Câmara, urgência, Senado, matéria, apresentei proposta emenda",4,2007
34,"educação, alinhadas princípios constitucionais, menciona criação, boa qualidade, melhorias sistema",5,2007
35,"Criança Adolescente, Adolescente, Estatuto Criança Adolescente, Estatuto Criança, Estatuto",2,2007
36,"não significa, arcabouço institucional, reforma mais, mais profunda, emergenciais",1,2007
38,"sociedade brasileira, liberdade sindical, alcançado sociedade brasileira, sociedade brasileira partir, obtidas",2,2007
39,"todos homens, democráticos direitos, valores democráticos direitos, inafastável, igualdade todos",1,2007
40,"Judiciário, Poder Judiciário, Poder Judiciário está, Judiciário está, implantá",2,2007
41,"democracia brasileira, democracia, dentro lei Quero, brasileira, Extinguir Senado",4,2007
42,"público, sentido nos, não ilegal, ocupar cargo, ou emprego público",2,2007
43,"então, importante mais, bem estar cidadãos, matéria importante, cidadãos principalmente",3,2007
44,"autonomia, federativa, Banco Central, autonomia Banco Central, autonomia Banco",3,2007
45,"Líderes, tem todo, conhecimento, semana, simples",1,2007
47,"passadas, foi rasgada durante, rasgada durante, foi rasgada, menciona não",1,2007
48,"desenvolver Amazônia, década até, Vargas década, estratégias, planos",1,2007
49,"prefeitos, tem aplicada, assessoria, aqui deu, equação",4,2007
-1,"discurso, importância, nossa, Brasil, democracia",286,2008
0,"Constituinte, Cidadã, Federal, exemplo, promulgação",71,2008
1,"Presidente, Sr Presidente, Presidente República, República, Sr Presidente Srs",38,2008
2,"Congresso, Nacional, Governo, Federal, Congresso Nacional",32,2008
3,"Brasil, brasileira, brasileiro, ficar acima, cidadão tem direito",23,2008
4,"menciona, importância, menciona importância, expressa, parlamentares",23,2008
5,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, Inconstitucionalidade",10,2008
6,"discurso critica, critica, crítica, discurso, sugerindo não",22,2008
7,"Responsabilidade, Lei Responsabilidade, Fiscal, Responsabilidade Fiscal, Lei Responsabilidade Fiscal",13,2008
8,"direitos pessoa humana, perfeita consonância, direitos pessoa, nossa Carta Maior, consonância princípios",1,2008
9,"Constituinte, fizemos, muito mais, foi Constituinte, criadas",17,2008
10,"culturais, Federal, valorização difusão manifestações, culturais acesso fontes, plena eficácia",8,2008
11,"alterarmos, Legislação, parceiro, segredo, constitucional Está",5,2008
12,"Ulysses, Guimarães, Ulysses Guimarães, rasgar, bandeira",20,2008
13,"democrática, democrático, arma, Estado democrático, democrático direito",13,2008
14,"discurso enfatiza importância, enfatiza importância, discurso enfatiza, importância, discurso enfatiza importância cumprir",6,2008
15,"democracia, democracia não, não respeita, respeita, Montesquieu",9,2008
16,"critica, critica falta, operação, demarcação terras, terras",12,2008
17,"educação, professores, Educação, igualdade oportunidades direito, segurança pública menção",8,2008
18,"vista documento, vista, ela vista documento, sugere ela vista documento, documento",9,2008
19,"urgência, provisória, prevalência, possamos ter, aprovação",7,2008
20,"Aqui, Brasil, combate, equilíbrio, Ramos",4,2008
21,"defender, defender essa, Com objetivo, projeto está, juraram respeitar",4,2008
22,"cidadão acesso, não existisse, cometendo crime, acesso saúde, dever Estado direito cidadão",1,2008
23,"regulamentação, ambiental menção, importância marcos, política ambiental, menção",3,2008
24,"visão positiva, visa, ineficiência, visão, positiva",4,2008
25,"crítica tentativa, discurso critica, critica, Governo, centralização",4,2008
