Topic,Words,Frequency,Timestamp
-1,"orador sugere, causa disso orador sugere, disso orador sugere, disso orador sugere que, orador sugere que",183,2007
0,"visa, que visa, de que visa, Lei, orador apoia projeto",40,2007
1,"Brasil, Brasil Por, Brasil Por causa, Brasil Por causa disso, no Brasil",63,2007
2,"orador critica, causa disso orador critica, disso orador critica, sugerindo que, critica postura",53,2007
3,"Constituição de, da Constituição de, Constituição de Por, Constituição de Por causa, de Por causa disso",17,2007
4,"PEC, para garantir que, seja, do Senador, garantir que",23,2007
5,"educação, Educação, da educação, escolas, educacionais",38,2007
6,"Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, do Supremo Tribunal Federal, do Supremo Tribunal",8,2007
7,"disso orador defende que, orador defende que, orador defende que Senado, defende que Senado deve, defende que Senado",11,2007
8,"fiscalização, fiscal, na fiscalização, de fiscalização, controle",12,2007
9,"Presidente, do Presidente, que Presidente, Presidente Lula, Presidente do",13,2007
10,"crimes, penal, maioridade penal, maioridade, redução da maioridade",17,2007
11,"gastos, orador apoia iniciativa, disso orador apoia iniciativa, apoia iniciativa, iniciativa",5,2007
12,"causa disso orador critica, disso orador critica, orador critica, brasileira, Brasil Quilombola",7,2007
13,"reforma política, reforma, política, reforma política acreditando, reforma política acreditando que",9,2007
14,"Congresso, Congresso Nacional, que Congresso, que Congresso Nacional, que Congresso Nacional deve",17,2007
15,"impeachment foi uma, uma injustiça histórica que, injustiça histórica que, usada de forma inadequada, impeachment foi",1,2007
16,"CPI, CPIs, CPI para investigar, CPI para, da CPI",7,2007
17,"administração pública, disso orador defende implementação, orador defende implementação, defende implementação, orador defende implementação de",8,2007
19,"tributária, reforma tributária, carga tributária, uma reforma tributária, uma reforma",13,2007
20,"terras, de terras, terras indígenas, de terras indígenas, demarcação de terras",6,2007
22,"Governo Federal, do Governo Federal, Federal, do Governo, Governo Federal em relação",6,2007
23,"políticas do Ministro, na Previdência, do Fórum Nacional, do Fórum Nacional de, as políticas do Ministro",1,2007
24,"Governo Federal, Federal, apoia os esforços, conflitos sociais Por causa, entraves burocráticos",2,2007
25,"de resultará em uma, de resultará em, de resultará, em uma legislação, resultará em uma",1,2007
27,"democráticos, os princípios democráticos, princípios democráticos, com os princípios democráticos, princípios democráticos do Estado",4,2007
28,"Michel Temer, Michel Temer como, Temer, contraste, contraste com",2,2007
29,"Amazônia, Amazonas, do Amazonas, região amazônica, Industrial de Manaus",5,2007
30,"vetos, vetos presidenciais, de vetos presidenciais, de vetos, presidenciais",3,2007
31,"judicial, um precedente perigoso de, precedente perigoso de, decisão judicial, princípio federativo",2,2007
32,"histórica, para promover igualdade de, de Gênero, memória histórica, nacional destacando importância",2,2007
34,"prazo máximo, processos judiciais, Judiciário, máximo de, judiciais",4,2007
36,"sugere que decisão sobre, econômicos administrativos, sobre criação de novos, análises, conforme proposta de emenda",2,2007
37,"maior equidade entre, para promover maior, royalties do petróleo, dos royalties do petróleo, que visa reformular",1,2007
38,"financeira, financeira dos, financeiro, sugere que necessário revisar, União aos",4,2007
40,"Globo de, elogia Rede Globo, da violência da, violência da, promover valores",2,2007
41,"medicamentos, da Portaria, do Ministério da Saúde, Ministério da Saúde, do Ministério da",4,2007
42,"adolescentes, crianças adolescentes, da Criança, das crianças adolescentes, revisão do Estatuto da",3,2007
44,"CPMF, da CPMF, da CPMF argumentando que, da CPMF argumentando, CPMF argumentando",35,2007
45,"Venezuela, da Venezuela, Venezuela no, Venezuela no Mercosul, os princípios democráticos",8,2007
46,"Estatuto da Igualdade Racial, Estatuto da Igualdade, Igualdade Racial, Racial, da Igualdade Racial",2,2007
47,"regimentais, Regimento, regimentais para, constitucionais regimentais, constitucionais regimentais para",5,2007
48,"Câmara dos Deputados, Câmara dos, Câmara, na Câmara dos, na Câmara dos Deputados",3,2007
49,"orador critica Lei de, disso orador critica Lei, regulamentada, por entender que ela, critica Lei de",1,2007
50,"legitimidade das instituições democráticas, restaurar legitimidade das instituições, defende implementação de uma, Itália, instituições democráticas no Brasil",1,2007
52,"aposentados pensionistas, pensionistas, aos aposentados pensionistas, os aposentados pensionistas, salário mínimo",4,2007
53,"deve guiar, crédito rural, assistência técnica, Ernesto, crédito",1,2007
54,"governo atual não respeita, administração pública sugerindo que, pública sugerindo que governo, administração pública sugerindo, descontentamento com atual",1,2007
55,"orador alerta para, disso orador alerta para, orador alerta, disso orador alerta, causa disso orador alerta",5,2007
56,"lei que visam garantir, os royalties de, de seus projetos, visam garantir um, que visam garantir um",1,2007
59,"promover desenvolvimento regional nacional, descentralização do poder, respeitar pacto, respeitar pacto federativo, defende uma maior",1,2007
-1,"orador sugere que, disso orador sugere que, disso orador sugere, causa disso orador sugere, orador sugere",166,2008
0,"visa, que visa, de que visa, que visa garantir, visa garantir",52,2008
1,"Brasil Por, Brasil Por causa disso, Brasil Por causa, no Brasil, do Brasil",60,2008
2,"disso orador critica, causa disso orador critica, orador critica, medidas provisórias, sugerindo que",62,2008
3,"Constituição de, da Constituição de, Constituição de Por, Constituição de Por causa, de Por causa disso",63,2008
4,"direitos, inclusão, medidas provisórias, deficiência, disso orador sugere",31,2008
5,"educação, professores, da educação, educação no, educação no Brasil",29,2008
