Topic,Words,Frequency,Timestamp
-1,"CPMF, saúde, Constituição estabelece que, lei, do Estado",180,2007
0,"Brasil, do Brasil, brasileiros, Federativa do Brasil, República Federativa do Brasil",23,2007
1,"pública, públicos, público, de provas, públicos Constituição",26,2007
2,"Presidente da República, Presidente da, da República, presidencial, Constituição não",15,2007
3,"afastamento do cargo, afastamento do, em casos de, de impeachment, impeachment",1,2007
4,"art, do art, no art, arts, Constituição no",15,2007
5,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, do Supremo Tribunal",5,2007
6,"Constituição de, Estado Constituição de, de Roraima, do Amapá, Constituição de criou",21,2007
7,"Federal, governo, Constituição Federal, Governo, governo Constituição",17,2007
8,"educação, direito educação, Constituição assegura direito educação, assegura direito educação, incluindo direito",7,2007
9,"direitos garantias, Constituição assegura direitos garantias, assegura direitos garantias, Constituição garante direito, garantias",12,2007
10,"medidas provisórias, de medidas, de medidas provisórias, medida provisória, provisórias Constituição",11,2007
11,"Constituição pode, Constituição pode ser, pode ser emendada, Constituição pode ser emendada, ser emendada",8,2007
12,"democrático, democrática, democrático de, democrático de direito, Estado democrático",8,2007
13,"liberdade de, liberdade, liberdade de expressão, garante liberdade de expressão, garante liberdade de",6,2007
14,"legal, devido processo legal, devido processo, processo legal, devido",9,2007
15,"competência, competências, estabelecidas, federal, de saneamento básico",5,2007
16,"terra, terras indígenas, terras da União, terras da, em terras",7,2007
17,"Congresso Nacional, Congresso, do Congresso Nacional, do Congresso, Congresso Nacional Constituição",7,2007
18,"trabalhistas, trabalhadores, direitos trabalhistas, emendada para incluir medidas, dos trabalhadores como",4,2007
19,"cidadãos, cidadãos Constituição, dos cidadãos, Constituição garante saúde, um direito dos cidadãos",4,2007
20,"tributária, dos Tribunais de, Tribunais de, Tribunais, Nacional dos Tribunais de",9,2007
21,"fiscalização, fiscalizar, Legislativo, de leis, elaboração de leis",11,2007
22,"Constituição de, de direito democrático Constituição, Estado de direito democrático, desde Constituição de estabelece, direito democrático",5,2007
23,"Judiciário, estabelece divisão dos poderes, divisão dos poderes, respeito ao Estado de, Executivo Legislativo Judiciário",2,2007
24,"CPIs, CPI, CPIs Constituição, instalação de, instalação",10,2007
25,"profundas, do autoritarismo, os instrumentos, da Nação brasileira, Nação brasileira",1,2007
