Topic,Rotulo
-1,"dezembro, Sessão, bancada, Orientação, Leis, setembro, providências, Comemoração, julho, Dispõe, janeiro, medidas, âmbito, dispositivos, serviços, inciso, transporte, responsabilidade, nacional, eleições, uso, públicos, federal, primeiro, proposta, relativas, servidores, regras, público, empresas"
0,"presidente, Presidência, eleição, cargo, governo, visita, Cumprimentos, discurso, pronunciamento, trabalhos, política, eleições, crise, Senadores, Leitura, presença, sentido, reforma, afastamento, abertura, sessão, posicionamento, Plenário, escolha, pauta, processo, recente, requerimento, carta, postura"
1,"brasileira, econômica, economia, brasileiro, crise, política, brasileiros, Reflexão, econômico, Análise, crescimento, atual, desenvolvimento, sistema, internacional, aumento, social, corrupção, brasileiras, mundial, medidas, sociedade, problemas, governo, políticas, dados, mundo, públicas, falta, nacional"
2,"Homenagem, transcurso, Dia, aniversário, fundação, cidade, Especial, homenagem, Sessão, Comemoração, centenário, capital, passagem, existência, abril, município, próximo, morte, emancipação, ano, data, março, último dia, último, próximo dia, Mesa, índio, requerimento, primeira, escravatura"
3,"falecimento, pesar, Pesar, Voto, Homenagem, voto, requerimento, cidade, presidente, mãe, escritor, médico, professor, aplauso, pai, Justificação, esposa, radialista, ilustre, aniversário, professora, corrente, transcurso, Justificativas, baiano, semana, atual, janeiro, falta, população"
4,"violência, crimes, mulher, crime, penal, aumento, assassinato, maioridade, adolescentes, crianças, sexual, mulheres, combate, segurança, redução, Indignação, pena, criança, atos, prática, Repúdio, providências, medidas, caso, menores, penas, apresentação, prioridade, hediondo, Necessidade"
5,"educação, professores, Professor, Dia, escolas, ensino, Homenagem, Comemoração, públicas, qualidade, transcurso, investimentos, área, desenvolvimento, piso, salarial, alunos, brasileira, estudantes, professor, básica, valorização, escolar, escola, audiência, brasileiros, educador, melhoria, metas, Importância"
6,"edição, último, artigo, corrente, jornalista, abril, junho, fevereiro, julho, matérias, Anais, mensalão, janeiro, primeiro, Encaminhamento, Governador, crise, inflação, crescimento, oposição, último dia, última, futuro, caos, prisão, Medidas, estado, réus, poderes, pronunciamento"
7,"judicial, União, cargo, indicação, processo, ministros, posse, instalação, Corte, liminar, fidelidade, declarações, partidária, favorável, admissão, Cumprimentos, vaga, mandatos, abertura, Homenagem, autoridades, Congratulações, requerimento, foro, Esclarecimentos, nome, Senadores, Voto, objetivo, novo"
8,"Discussão, Relator, parecer, Leis, providências, deficiência, janeiro, julho, maio, serviços, disciplinar, públicas, exames, hipóteses, estabelecimentos, março, utilização, fins, título, urgência, prática, dispositivo, cálculo, direito, renda, prestadoras, pessoa, regras, base, relativas"
9,"coronavírus, pandemia, novo coronavírus, novo, vacinas, enfrentamento, vacinação, medidas, combate, aquisição, população, decorrente, dengue, Elogio, emergência, Exposição, pessoas, excepcionais, decorrência, auxílio, forma, Crítica, contratação, emergencial, crise, âmbito, internacional, apresentação, social, calamidade"
10,"Crítica, gestão, governo, política, econômica, críticas, crise, medidas, gastos, proposta, forma, crítica, oposição, eleitoral, setor, reforma, segurança, edição, inflação, má, má gestão, investimentos, aposentados, modelo, parte, Criticas, Globo, orçamento, crescimento, empresas"
11,"projetos, tramitação, serviços, públicos, sentido, meio, proteção, regras, empregados, idade, trabalhadores, União, ambiente, valores, domésticos, interesse, assistência, inscrição, eleições, creches, orador, gratuidade, relatoria, agilização, fundo, ações, escolha, filhos, posse, rural"
