Topic,Rotulo
-1,"política, aprovação, direitos, governo, social, democracia, políticas, reforma, pública, desenvolvimento, saúde, impeachment, importância, segurança, justiça, sociais, lei, processo, medidas, medida, recursos, econômico, Estado, reformas, criação, atual, essencial, legislação, sociedade, população"
0,"política, direitos, democracia, governo, importância, Congresso, reforma, social, atual, desenvolvimento, medidas, políticas, proposta, aprovação, Estado, lei, brasileira, justiça, papel, gestão, saúde, brasileiro, relação, instituições, sociedade, constitucional, direito, democráticos, democrático, criação"
1,"aprovação, lei, social, Senador, justiça, desenvolvimento, recursos, legislação, segurança, direitos, maior, sistema, transparência, pública, pessoas, econômico, Estados, maior transparência, projetos, reforma, autoria, criação, população, sociais, implementação, brasileiro, condições, deficiência, públicas, regional"
2,"educação, educacionais, educacional, professores, qualidade, ensino, escolas, recursos, desenvolvimento, aprovação, importância, políticas, saúde, investimento, investimentos, lei, nacional, pública, social, valorização, públicas, superior, falta, criação, implementação, inclusiva, financiamento, profissionais, metas, essencial"
3,"decisão, atuação, decisões, democracia, medidas, impunidade, poderes, justiça, relação, Ministro, Legislativo, instituições, indígenas, postura, respeito, políticos, direitos, terras, povos, judiciais, Estado, importante, passo, questão, lei, importância, ação, provisórias, direito, preocupação"
4,"impeachment, processo, golpe, Presidente, democracia, tentativa, necessário, política, governo, crise, decisão, base, eleições, instituições, oposição, confiança, andamento, pedido, necessária, solução, democrático, políticos, governabilidade, leis, democráticas, soberania, inadequada, jurídica, interesses, fundamento"
5,"crimes, penal, legislação, crime, drogas, maioridade, lei, criminalização, segurança, penas, criminalidade, impunidade, violência, pública, descriminalização, sociedade, hediondos, aprovação, justiça, redução, reforma, corrupção, atual, sistema, projetos, proteção, importância, criação, mudanças, menores"
6,"CPI, CPIs, instalação, investigação, criação, transparência, governo, fiscalização, corrupção, gestão, tentativa, oposição, empresa, condução, importância, Congresso, má, imparcial, denúncias, Judiciário, má gestão, necessária, funcionamento, caso, integridade, nacional, uso, interesse, corporativos, interesses"
7,"aprovação, segurança, necessária, busca, medida, lei, legislação, essencial, direitos, injustiças, pandemia, pessoas, vida, justa, recursos, importante, nacional, necessidades, medidas, sociais, remuneração, retrocesso, Municípios, procedimentos, positivo, projetos, matéria, prazo, famílias, paz"
8,"terras, indígenas, demarcação, demarcações, conflitos, direitos, temporal, jurídica, marco, interesses, política, desenvolvimento, segurança, lei, mineração, reservas, indenização, governo, soberania, nacionais, ecológicas, exploração, rurais, questão, processos, relação, áreas, Estado, nacional, abordagem"
9,"tributária, reforma, carga, recursos, tributário, distribuição, proposta, desenvolvimento, sistema, justiça, justa, entes, União, social, federativo, redução, Tributária, pacto, tributários, eficiência, justo, atual, arrecadação, econômica, produção, equitativa, aprovação, lei, contribuinte, tributos"
10,"ambiental, ambiente, proteção, meio, sustentável, ambientais, preservação, sustentabilidade, legislação, desenvolvimento, licenciamento, global, aprovação, globais, políticas, populações, mundo, criação, direitos, brasileira, lei, regularização, implementação, revisão, indígenas, projetos, atuais, papel, ágil, essencial"
11,"governo, interino, sociais, retrocesso, direitos, golpe, ilegítimo, econômica, conquistas, democracia, democráticos, últimos anos, últimos, proposta, continuidade, relação, econômicas, trabalhistas, ponte, anos, contraste, sociedade, polícia, ameaça, plano, respeito, econômico, programa, integridade, apoio"
12,"desenvolvimento, sustentável, região, econômico, ambiental, preservação, políticas, amazônica, nacional, regionais, locais, desigualdades, habitantes, benefícios, governo, manutenção, redução, governamentais, visão, prorrogação, objetivos, implementação, ecológico, humanista, especificidades, infraestrutura, importância, fiscais, investimentos, soberania"
13,"vetos, veto, presidenciais, derrubada, presidencial, apreciação, aposentados, votação, autonomia, justiça, parlamentares, lei, jurídica, produtores, pública, manutenção, segurança, responsabilidade, necessário, prerrogativas, transparência, credibilidade, eficiência, adicional, cobrança, oportunidade, social, respeito, rejeição, população"
