Topic,Rotulo
-1,"vida, social, educação, democracia, Estados, União, saúde, segurança, governo, responsabilidade, sociais, legislação, criação, públicos, leis, processo, reforma, anos, políticas, Judiciário, crime, papel, nacional, sistema, fundamentais, poder, inconstitucional, brasileiro, inciso, desenvolvimento"
0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
1,"impeachment, processo, crime, responsabilidade, Presidenta, golpe, legal, crimes, base, rito, julgamento, legítimo, legais, afastamento, mandato, político, normas, jurídico, comprovação, legitimidade, atos, devido, defesa, pedido, devido processo, caso, procedimentos, acordo, Casa, jurídica"
2,"democracia, marco, sociais, social, democrático, democrática, redemocratização, políticas, transição, anos, consolidação, país, sistema, história, papel, promulgação, importante, reforma, reformas, sociedade, conquistas, democráticos, instituições, estabilidade, período, brasileiro, avanços, ditadura, elaboração, político"
3,"ministros, Contas, decisões, competência, decisão, papel, Ministro, questão, mandato, Judiciário, indicação, União, leis, crimes, responsabilidade, competências, poder, julgamento, controle, reputação, ilibada, ações, jurídico, jurídica, poderes, casos, anos, independência, notável, inconstitucionalidade"
4,"Municípios, Estados, União, autonomia, entes, federativo, municípios, distribuição, pacto, federativos, financeira, receitas, responsabilidades, federal, administrativa, impostos, divisão, revisão, fundos, tributária, justa, financeiros, bolo, arrecadação, contribuições, governo, receita, atribuições, participação, reforma"
5,"provisórias, medidas, urgência, provisória, medida, relevância, Executivo, uso, edição, casos, excessivo, legislativa, requisitos, prazo, eficácia, situações, instrumento, caso, critérios, apreciação, urgentes, dias, pauta, análise, projetos, Senadores, prática, regime, adoção, constitucionalidade"
6,"terras, indígenas, demarcação, índios, terra, temporal, marco, União, povos, indígena, áreas, propriedade, outubro, comunidades, data, exploração, demarcações, quilombolas, originários, promulgação, bens, ocupação, mineração, reservas, tradições, posse, línguas, regulamentação, social, crenças"
7,"saúde, acesso, universal, dever, Único, Sistema, igualitário, serviços, cidadãos, medicamentos, obrigação, econômicas, sistema, políticas, cidadão, recuperação, gratuito, financiamento, ações, promoção, risco, doença, sociais, população, assistência, adequado, redução, proteção, doenças, brasileiro"
8,"publicidade, moralidade, impessoalidade, público, eficiência, públicos, administração, legalidade, Administração, atos, princípio, transparência, concurso, servidores, serviço, essencial, defesa, necessitados, serviços, jurídica, administrativos, instituição, jurisdicional, públicas, transparentes, função, obrigação, graus, acesso, orientação"
9,"igualdade, iguais, mulheres, gênero, homens, discriminação, distinção, foro, princípio, igual, cotas, natureza, políticas, movimentos, sexual, legislação, fundamentais, justiça, promoção, públicas, feminina, raciais, sociedade, oportunidades, artigo, brasileiros, orientação, racial, inviolabilidade, liberdade"
10,"fiscal, fiscalização, Executivo, responsabilidade, públicos, público, papel, dinheiro, controle, meta, governo, atos, contas, fiscais, irregularidades, orçamentária, dever, gastos, senadores, transparência, administração, leis, limites, Municípios, informações, crime, públicas, normas, entidades, União"
11,"competência, inciso, União, legislativa, matéria, concorrente, proposição, termos, iniciativa, limites, cultura, poder, constitucionalidade, privativa, competências, Executivo, normativos, IX, arts, artigo, matérias, legislativo, concorrência, vícios, delegação, benefícios, proteção, Estados, segurança, legislação"
12,"trabalhadores, trabalhistas, trabalho, trabalhista, domésticos, trabalhador, salário, reforma, jornada, rurais, horas, trabalhadoras, férias, domésticas, urbanos, mínimo, semanais, legislação, proteção, condições, empregados, mesmos, mesmos direitos, carteira, semanal, reformas, redução, greve, aposentadoria, relações"
13,"liberdade, expressão, manifestação, imprensa, censura, livre, pensamento, livre manifestação, anonimato, liberdades, informação, inconstitucional, restrição, opiniões, garantida, artística, opinião, tentativa, fundamentais, violação, comunicação, veículo, democracia, cidadãos, decisão, livre expressão, ideias, plena liberdade, IV, processo"
