Topic,Rotulo
-1,"vida, direitos, Presidente, emenda, brasileira, saúde, Senado, forma, proposta, anos, democracia, povo, social, liberdade, política, União, princípio, segurança, brasileiro, brasileiros, trabalho, respeito, sociais, bem, medida, poder, pessoas, educação, mandato, igualdade"
0,"anos, direitos, promulgação, social, outubro, trabalhadores, Presidente, brasileira, Estados, primeira, sistema, redemocratização, importante, sociais, dia, conquistas, democracia, servidores, criação, saúde, democrático, pacto, mulheres, regime, marco, recursos, processo, atual, princípios, políticas"
1,"inciso, competência, termos, União, arts, disposto, artigo, Regimento, Senado, III, II, iguais, Congresso, XI, Estados, parágrafo, Lei, projeto, único, seguinte, matérias, iniciativa, informações, exercício, Poder, processo, requerimento, natureza, caso, VIII"
2,"Presidente, mandato, Senado, Senadores, cargo, emenda, vacância, proposta, povo, forma, respeito, anos, eleição, medida, provisória, reeleição, governo, terceiro, Executivo, princípio, clara, brasileira, claro, Poder, caso, poder, plebiscito, leis, terceiro mandato, afastamento"
3,"Ministros, decisão, Presidente, inconstitucional, processo, União, brasileira, última, votos, anos, membros, competências, autoridades, político, partidária, medida, federais, leis, dia, crime, notável, política, artigo, missão, jurídico, incisos, mandato, provisória, artigos, maioria"
4,"crime, responsabilidade, crimes, penal, República, racismo, Código, inafiançável, processo, imprescritível, orçamentária, caso, brasileira, pena, atos, etnia, sexo, VI, probidade, investigação, tipo, raça, cor, Senado, matéria, dias, criminal, informações, político, inciso"
5,"emenda, proposta, mandato, propostas, anos, autoria, projetos, regulamentação, respeito, emendas, terceiro, fim, população, iniciativa, fato, projeto, Parlamento, assinaturas, processo, parte, Senado, grande, forma, texto, partir, voto, vigor, terceiro mandato, matéria, plenário"
6,"brasileira, brasileiro, brasileiros, direitos, países, cidadão, legislação, saúde, cidadania, povo, dignidade, Justiça, país, forma, sistema, papel, Senado, pública, acesso, fundamental, públicos, princípio, população, pessoa, função, conhecimento, organização, cidadãos, importante, ideal"
7,"impeachment, melhor, processo, Presidente, golpe, crime, Cada, esperança, possível, previsto, responsabilidade, vez, Presidenta, nova, Senado, julgamento, pedido, legal, base, político, brasileira, mandato, jurídico, preciso, instituto, maioria, decisão, democracia, democrático, oposição"
8,"Senado, federal, público, Municípios, Estados, emenda, estaduais, União, projeto, pública, recursos, anos, sentido, pessoas, intervenção, direitos, saúde, públicos, relação, municipais, Constitucional, complementar, governos, meio, pessoa, municipal, criação, iniciativa, proteção, obrigação"
9,"excessos, direitos, emenda, denúncia, abusos, país, própria, respeito, democracia, maneira, perfeita, verdade, mandato, projeto, proposta, defesa, saúde, maior, momento, segurança, prerrogativa, fundamentais, livre, mandatos, natural, sistema, parte, decisão, limite, trabalho"
10,"educação, ensino, professores, dever, básica, escola, escolas, anos, família, idade, acesso, saúde, sociedade, colaboração, educacional, preparo, pleno desenvolvimento, médio, piso, pleno, qualificação, Estados, trabalho, crianças, infantil, exercício, brasileira, desenvolvimento, profissionais, fundamental"
11,"desigualdades, regionais, República, objetivos, pobreza, marginalização, sociais, III, fundamentais, discriminação, povos, inciso, solidária, livre, desenvolvimento, justa, bem, preconceitos, sociedade, nacional, sexo, origem, raça, formas, cor, objetivo, idade, II, finalidades, autodeterminação"
