Topic,Rotulo
-1,"constitucional, direito, Estado, direitos, obrigação, inconstitucional, governo, saúde, lei, papel, servidores, constitucionais, cargos, fundamental, igualdade, recursos, legislação, pública, população, criação, acesso, processo, poder, país, territorial, medidas, mesmo, proposta, dever, desenvolvimento"
0,"impeachment, processo, legítimo, golpe, legal, legais, Presidente, constitucionais, responsabilidade, preceitos, constitucional, normas, fundamentos, ferramenta, acordo, Senado, tentativa, jurídicos, jurídico, mecanismo, procedimento, inconstitucional, presidente, político, procedimentos, crimes, defesa, pedido, processos, decisão"
1,"responsabilidade, Estado, segurança, responsabilidades, cidadãos, pública, políticas, Senado, saúde, Estados, Municípios, recursos, condições, serviços, primária, públicas, municípios, bens, direito, ensino, prestação, específicas, federativo, obrigação, pendências, leis, povos, privada, dignas, medidas"
2,"medidas, provisórias, medida, urgência, provisória, uso, medicamentos, relevância, médicos, excessivo, Executivo, inconstitucional, requisitos, constitucional, situações, restrito, critérios, tratamentos, questão, acesso, obrigação, Estado, excepcionais, original, separação, cidadãos, necessários, poderes, dispositivos, piso"
3,"Presidente, presidencial, presidente, mandato, Congresso, Presidência, Senado, eleições, atos, aprovação, sucessão, decreto, terceiro mandato, provisórias, poder, terceiro, cargo, medidas, decisão, normas, autoridade, inconstitucional, constitucionais, consecutivo, presidencialista, regimentais, provisória, responsabilidade, situações, medida"
4,"judiciais, Judiciário, decisões, Legislativo, Executivo, sistema, processos, ações, juízes, papel, constitucionais, reintegração, legislativas, independente, posse, funções, leis, ordens, direito, direitos, devido processo, devido, eficiente, forma, cidadãos, prerrogativas, autoridades, função, poderes, interferências"
5,"mudanças, significativas, constitucionais, emendas, necessárias, mudança, sistema, legislativo, estruturais, político, estrutura, processo, legislação, país, amplo, poder, adequado, questões, amplo apoio, legislativas, suplentes, apoio, constitucional, desenvolvimento, forma, emenda, mandato, Senado, governo, regional"
6,"legal, devido processo, devido, legalidade, base, processo, proteção, parlamentares, marco, criação, obrigação, procedimento, medo, formal, autoridades, ações, direitos, exercício, transparência, prazos, necessário, constitucional, parte, funções, fundos, Senadores, medidas, vítimas, penalidades, orçamentário"
7,"legislação, inconstitucional, direitos, inconstitucionais, regulamentação, necessidade, constitucional, emendas, necessário, constitucionais, direito, atual, princípios, ações, votação, ordinária, movimento, inelegibilidades, leis, votações, legislativa, greve, seriedade, federação, obras, efetiva, assegurados, Senado, restrições, propriedade"
8,"Congresso, poder, Executivo, emendas, mudanças, aspectos, constitucionais, autoridade, aprovação, prazo, legislação, legislativa, papel, legislativo, demandas, processo, recursos, necessidades, governo, prerrogativa, internacionais, econômicas, específicos, fundamental, sociais, importantes, legais, equilíbrio, procedimento, devida aprovação"
9,"terras, indígenas, demarcação, data, demarcações, índios, promulgação, povos, ocupação, União, quilombolas, áreas, comunidades, exploração, temporal, direitos, Estado, marco, naturais, obrigação, titularidade, legal, reservas, direito, recursos, titular, produtivas, existente, limites, projeto"
10,"financeiras, financeira, financeiros, dificuldades, Municípios, financiamento, financeiro, recursos, responsabilidades, municípios, saúde, obrigações, União, devido, governo, autonomia, pública, entes, responsabilidade, obrigação, federativos, suporte, sistema, empresas, criação, constitucional, constitucionais, previdenciárias, segurança, famílias"
11,"públicos, público, pública, servidores, segurança, serviço, Estado, públicas, recursos, direito, saúde, defesa, acesso, justiça, serviços, concurso, cidadãos, obras, obrigação, irregularidades, direitos, sistema, ingresso, dever, garantia, contratação, fundamental, greve, interesse, forma"
12,"decisões, decisão, competência, Legislativo, ministros, prisão, extradição, irregularidades, casos, poder, contas, independência, inconstitucionalidade, penais, final, transparência, necessário, Poderes, questões, prerrogativa, função, forma, órgão, leis, controle, autoridades, político, imparcial, responsável, lei"
13,"educação, acesso, Estado, educacional, obrigação, qualidade, áreas, básica, saúde, cidadãos, mínimo, investimento, governo, financiamento, parte, constitucional, sistema, segurança, sociais, menos, diretrizes, especiais, população, gastos, anos, crianças, desenvolvimento, entes, federativos, necessidades"
14,"fiscalização, fiscal, Executivo, poder, Senado, papel, informações, meta, controle, responsabilidade, ações, questões, funções, mecanismos, direito, senadores, função, governo, autorização, públicos, público, administração, interesse, cumprimento, pública, necessárias, aprovação, receitas, esclarecimentos, gastos"
15,"limites, constitucionais, legais, Poder, limitações, ações, projeto, atuação, lei, funções, ação, governo, poder, tentativa, atribuições, autoridades, inconstitucional, competências, legislação, discussão, separação, tributárias, individuais, direitos, intervenção, segurança, União, específicos, Estado, federal"
16,"internacionais, brasileiros, países, brasileira, nações, relações, construção, soberania, direitos, humanos, compromisso, constitucional, sociedade, fundamentais, exploração, acordos, internas, recursos, direito, cidadãos, nacionalidade, papel, legislação, saúde, comunidade, paz, importante, crianças, culturais, regiões"
17,"políticas, políticos, política, político, decisões, popular, crise, legitimidade, solução, vontade, partidos, princípios, estabilidade, ações, voto, direitos, constitucionais, sistema, país, participação, instrumento, Senado, acordo, inconstitucionais, população, conformidade, constitucional, governamentais, base, momentos"
18,"reforma, reformas, direitos, trabalhista, previdência, previdenciária, política, previdenciárias, agrária, constitucionais, constitucional, princípios, inconstitucionais, trabalhadores, fundamentais, tentativa, trabalhistas, governo, necessidade, democráticos, partidos, governabilidade, espaço, político, atuais, sistema, políticas, aperfeiçoamento, improdutivas, essência"
19,"cidadãos, Estado, direitos, obrigação, acesso, saúde, fundamentais, cidadania, serviços, comunidades, negros, trabalho, pleno, dever, pessoa, indígenas, registro, pleno desenvolvimento, preparo, qualificação, povos, exercício, formal, desenvolvimento, , , , , , "
20,"trabalhadores, trabalho, trabalhistas, domésticos, direitos, mesmos, escravo, rurais, mesmos direitos, condições, previdenciários, trabalhadoras, jornada, aposentadoria, proteção, legislação, direito, práticas, urbanos, melhores condições, melhores, relação, redução, semelhantes, propriedades, constitucional, salário, carteira, papel, benefícios"
21,"tributária, tributário, impostos, imposto, tributos, carga, sistema, energia, reforma, consumidores, produtos, complexo, justo, entidades, tribunais, fortunas, grandes fortunas, produtores, legislação, grandes, cobrança, atual, maior, contribuições, geração, arrecadação, burocrático, entes, receita, capacidade"
22,"governo, ações, princípios, Governador, direitos, obrigação, aposentados, constitucionais, agências, setores, acordo, servidores, sustentável, direito, leis, relação, povo, governos, piso, atual, salarial, obrigações, aprovação, divergências, atual governo, ideológicas, recomposição, aumentos, fator, perdas"
23,"discriminação, igualdade, gênero, homens, mulheres, igualitária, forma, legislação, racial, Estado, iguais, oportunidades, medidas, direitos, raça, leis, cor, salarial, base, políticas, atual, trabalhadores, públicas, respeito, direito, importante, acesso, gêneros, passível, etnia"
24,"democrático, democrática, democráticos, democráticas, instituições, marco, princípios, regime, país, processo, escolha, Estado, direito, ordem, fundamental, ameaça, papel, governo, ações, crises, tentativa, ação, candidatos, direitos, garantia, diretores, Senado, democracia, quadro, escolas"
25,"conformidade, lei, projeto, leis, complementar, princípios, ações, constitucionais, Senado, projetos, ação, justiça, interesses, decisão, inconstitucional, seguinte, taxa, questões, edição, compatíveis, coletivo, válidas, repasses, sessão, penais, ano, juros, grupos, solução, individuais"
26,"crimes, crime, responsabilidade, terrorismo, pena, hediondos, graves, penas, prazo, julgamento, casos, comuns, jurídico, autoridades, progressão, legislação, atual, Senado, específica, movimentos, indivíduos, regime, sistema, autorização, Ministro, cumprimento, uso, pessoa, brasileiro, obrigação"
27,"recursos, Municípios, distribuição, Estados, entes, federativos, União, equitativa, justa, parte, municípios, receitas, saúde, porcentagem, significativa, forma, receita, percentuais, arrecadação, partidário, mínimos, federação, riqueza, divisão, naturais, federativa, setor, específica, partidos, necessidades"
28,"públicas, políticas, Estado, objetivos, direitos, regiões, social, pobreza, obrigação, eficazes, igualdade, delegados, inclusão, governo, acesso, deficiência, polícia, país, justiça, políticos, remuneração, pessoas, oportunidades, redução, violência, princípios, específica, mulheres, promotores, procuradores"
29,"social, seguridade, Previdência, previdenciários, déficit, proteção, inclusão, benefícios, condição, propriedade, função, contribuições, cidadãos, pessoas, Estado, direitos, sistema, recursos, mínimo, justiça, sociedade, marco, valor, trabalhadores, promoção, rurais, obrigação, interesse, igualdade, real"
30,"Estado, senadores, direitos, condições, dever, pessoas, direito, indígenas, exercício, adequadas, territoriais, defesa, pleno, interesses, integridade, sociedade, compromisso, dignidade, pleno exercício, instituições, obrigação, posições, segurança, culturais, federativos, crianças, processo, constitucional, , "
31,"normas, norma, constitucionais, normativa, regimentais, normativas, constitucional, legais, diretas, atualização, indicação, processo, decisão, Municípios, promulgação, novos Municípios, complexidade, novos, União, Estados, jurídicas, revisão, matéria, aumento, golpe, aleitamento, passagens, aéreas, materno, inicial"
32,"ambiental, ambiente, ambientais, meio, proteção, preservação, gerações, futuras, Estado, sustentabilidade, políticas, impactos, responsabilidade, legislação, obrigação, futuras gerações, patrimônio, impacto, sociedade, constitucional, governo, suporte, biomas, equilíbrio, presentes, naturais, direitos, regionais, recursos, necessidades"
33,"violação, constitucional, princípios, tentativa, direitos, constitucionais, inaceitável, desobediência, violações, infração, trabalhistas, indenização, terceirização, desvio, grave, terceiro mandato, terceiro, direito, governamentais, legislação, pessoais, mandatos, inconstitucional, humanos, práticas, mulheres, bandeira, usurpação, dano, obstrução"
34,"parlamentares, opiniões, exercício, mandato, represálias, medo, direito, liberdade, emendas, senadores, princípios, imunidade, debates, alocação, orçamentários, ações, legais, declarações, plenário, relacionadas, constitucionais, funções, prerrogativa, protegidos, preconceito, conformidade, recursos, público, verbas, sessões"
35,"federal, recursos, governo, Estados, divisão, Municípios, estados, distribuição, receita, repasse, receitas, arrecadação, níveis, renda, intervenção, inclusão, específica, obrigação, melhor, acessibilidade, acordos, equitativa, regionais, deficiência, desigualdades, constitucional, greves, mão, comprometido, pessoas"
36,"Poder, Poderes, equilíbrio, independente, competências, interferência, indevidas, funções, interferências, forma, harmonia, atribuições, Executivo, poder, institucional, desequilíbrio, Senado, bem, excessiva, decisões, federativo, liberdade, país, estrutura, indevida, sociedade, extinção, autônoma, autonomia, cooperação"
37,"empresas, campanhas, financiamento, empresarial, micro, pequenas empresas, pequenas, privado, inconstitucional, eleitorais, doações, empresariais, empresários, públicas, estatais, trabalhadores, condições, eleições, privadas, atividades, tributário, específica, eleitoral, tratamento, favoráveis, transparência, luz, pequenos, serviços, emenda"
38,"CPI, CPIs, requisitos, instalação, criação, fatos, fato, minoria, assinaturas, requerimento, vontade, investigação, maioria, Senado, direito, constitucionais, vez, legislativa, regimentais, mesmo, desconexos, manobras, Presidente, partidários, válido, líderes, válida, imparcial, parlamentar, constitucional"
39,"direitos, retrocessos, invasões, fundamentais, conquistas, direito, pressões, propriedades, propriedade, garantias, expressões, pessoas, críticas, opinião, pequenas, privacidade, legislativos, contrárias, grandes, secreto, voto, democracia, , , , , , , , "
40,"decisões, monocráticas, importantes, legislativas, Senado, princípios, inconstitucionais, conformidade, constitucionais, contrárias, acordo, leis, funcionamento, propostas, constitucional, nulidade, casos, povo, ditames, poderes, Poderes, hierarquia, população, semelhantes, sessão, minorias, base, desvio, prorrogação, respaldo"
41,"mínimo, salário, suficiente, ministros, trabalhadores, valor, número, básicas, inflação, decreto, aposentados, lazer, necessidades, vida, alimentação, digna, mínima, moradia, famílias, transporte, senadores, necessário, acordo, real, trabalhador, presença, votos, renda, Estado, previdência"
42,"democrática, brasileiro, político, política, transição, democrático, fundamental, sistema, papel, democráticos, econômica, atual, governabilidade, estabilidade, marco, regime, construção, liberdades, representação, atual sistema, sociais, políticas, crucial, governo, eleitores, regimes, princípios, falhas, opressão, democratização"
43,"autonomia, Municípios, Estados, municípios, questões, maior autonomia, recursos, maior, assuntos, estados, gerais, próprios, federação, Executivo, federativo, ambientais, diretrizes, desenvolvimento, novos, regional, gestão, União, legislativa, tutela, urbanas, participação, critérios, novos municípios, criminais, prioridades"
44,"desenvolvimento, desigualdades, políticas, governo, regiões, regional, país, regionais, medidas, sociais, redução, públicas, harmônico, pobres, Estado, Governadores, País, justificativa, equitativa, econômicas, maneira, mecanismos, legislativas, fiscais, , , , , , "
45,"penal, menores, adultos, anos, maioridade, penas, processual, redução, exercício, civil, idade, matéria, mandato, novo, parlamentares, desatualizado, emenda, princípios, inconstitucional, atual, alternativas, sujeitos, legislação, sistema, conformidade, especial, constitucionais, manifestações, mesmo, direito"
46,"legislativo, processo, andamento, processos, específico, cassação, sentido, votação, regras, específicas, transparência, constitucionais, curso, emendas, forma, legítimo, procedimentos, possibilidade, ensino, profissionalizante, assentados, controle, aprovação, alteração, técnico, entendimentos, necessário, apresentação, licitações, títulos"
47,"democracia, papel, crucial, manutenção, fundamental, Senado, ameaça, essencial, país, voto, golpe, direitos, proteção, estabilidade, executivo, conquista, moderna, poder, contrapeso, sociedade, cidadãos, profissão, desrespeito, advogado, desvio, consolidação, secreto, representação, federativos, interesses"
48,"harmônica, independente, forma, poder, Judiciário, Poderes, maneira, democracia, formas, benefício, interferência, complementar, interesse, poderes, político, público, Poder, sistema, , , , , , , , , , , , "
49,"alteração, emenda, meio, constitucional, artigo, alterações, mudança, eleitorais, comedimento, números, pesquisas, direitos, divulgação, sentido, tentativa, sigilo, parâmetros, quebra, fim, restrição, idade, ameaça, objetivos, equilíbrio, poderes, legais, , , , "
50,"trânsito, julgado, prisão, sentença, inconstitucional, execução, penal, pena, instância, segunda instância, segunda, presunção, inocência, provisória, momento, juiz, julgamento, autorização, liberdade, indígenas, terras, acesso, , , , , , , , "
51,"econômico, desenvolvimento, econômicos, Nordeste, econômica, socioeconômico, econômicas, equilíbrio, Estados, fundos, regiões, maior, desigualdades, recursos, regional, ajustes, crescimento, poder, arrecadação, consumidores, candidatos, capacidade, instrumento, regionais, maneira, práticas, dependência, estabilização, produtiva, declaração"
52,"crédito, créditos, autorização, suplementares, abertura, operações, decretos, extraordinário, cartões, extraordinários, situações, legislativa, provisórias, decreto, governo, Congresso, medidas, primário, emissão, crime, responsabilidade, Municípios, bancos, uso, transações, legal, superávit, condições, déficit, estatais"
