Topic,Rotulo
-1,"constitucionais, direitos, importância, constitucional, necessidade, Senado, aprovação, processo, direito, impeachment, princípios, reforma, decisão, forma, social, política, medidas, relação, pública, educação"
0,"direitos, importância, necessidade, constitucionais, aprovação, constitucional, direito, Senado, lei, Estados, processo, reforma, projeto, forma, recursos, Estado, saúde, inconstitucional, conformidade, princípios"
1,"importância, constitucionais, necessidade, educação, Senado, recursos, direitos, medidas, constitucional, proteção, aprovação, ações, Estado, públicas, relação, princípios, funcionamento, PEC, projeto, distribuição"
2,"constitucionais, importância, recursos, constitucional, políticas, Senado, proposta, decisão, proteção, necessidade, forma, legislação, lei, saúde, aprovação, direitos, falta, Estados, emenda, direito"
3,"Senado, constitucionais, constitucional, importância, lei, necessidade, direito, projeto, princípios, democracia, função, saúde, nacional, transparência, respeito, governo, processo, direitos, interesses, Estado"
4,"direitos, reforma, importância, constitucional, segurança, pública, processo, manutenção, política, proposta, Senado, recursos, necessidade, constitucionais, devido, forma, desenvolvimento, ordem, eleições, crise"
5,"Senado, importância, direitos, Congresso, impeachment, medida, constitucional, processo, constitucionais, responsabilidade, direito, princípios, públicos, Presidente, proteção, fiscal, decisão, necessidade, legislativo, parlamentares"
6,"impeachment, processo, Presidente, constitucionais, responsabilidade, aprovação, importância, constitucional, necessidade, projeto, lei, Estado, direitos, segurança, direito, atuação, forma, democracia, saúde, conformidade"
7,"necessidade, importância, constitucional, criação, saúde, constitucionais, projeto, medidas, ação, pública, aplicação, política, recursos, justiça, direito, lei, instituições, ambiental, ordem, Senado"
8,"importância, União, aprovação, Senado, constitucionais, recursos, segurança, democracia, distribuição, constitucional, autonomia, Estados, princípios, estabelecido, mínimo, poderes, financeira, saúde, direitos, processo"
9,"medidas, direitos, constitucionais, importância, provisórias, legitimidade, Senado, princípios, fundamentais, necessidade, democracia, aprovação, processo, legislativo, proposta, eleitoral, conformidade, trabalhadores, políticas, decisões"
10,"importância, Estado, direito, direitos, desenvolvimento, Senado, política, constitucional, atuação, União, representação, criação, educação, CPI, necessidade, constitucionais, princípio, cumprimento, brasileiro, forma"
11,"política, direitos, pública, transparência, constitucional, sessão, Judiciário, respeito, Senado, impeachment, preservação, constitucionais, parlamentares, saúde, reforma, segurança, democracia, mandatos, direito, lei"
12,"constitucional, importância, igualdade, Congresso, marco, constitucionais, Senado, regulamentação, política, emenda, necessidade, implementação, direito, direitos, cumprimento, crise, transparente, administração, uso, militar"
13,"constitucional, portos, constitucionais, uso, provisória, democrático, recomposição, públicos, provas, condenação, princípios, papel, Senado, contas, forma, proposta, produtores, aprovação, Estado, segurança"
14,"salário, direitos, Estado, mínimo, Senado, constitucionais, conformidade, forma, importância, emenda, aprovação, mulheres, reforma, drogas, necessidade, emendas, elétrica, atuação, povo, projeto"
15,"importância, direito, Estado, processo, eleitoral, projeto, constitucional, provisórias, constitucionais, democrático, medidas, impeachment, lei, Ministro, reforma, defesa, necessidade, justiça, papel, forma"
16,"impeachment, processo, responsabilidade, base, crime, direito, legal, direitos, proteção, prazo, constitucional, Senado, saúde, inconstitucional, Congresso, importância, constitucionais, julgamento, medida, ilegítimo"
17,"previsto, lei, Presidente, política, importância, igualdade, indígenas, recursos, públicas, econômico, políticas, redução, necessidade, Mais, processo, Médicos, direitos, projeto, segundo, maior"
18,"importância, Senado, necessidade, forma, criação, constitucionais, direitos, aprovação, emendas, papel, emenda, Presidente, legislativas, juízes, constitucional, regulamentação, consistente, objetivos, federais, escolha"
19,"processo, impeachment, conformidade, direito, constitucional, importância, emenda, fundamental, federativo, distribuição, aprovação, crime, saúde, Congresso, admissibilidade, necessidade, cobrança, pressupostos, competência, Senado"
