Topic,Rotulo
-1,"política, aprovação, direitos, governo, social, democracia, políticas, pública, reforma, saúde, desenvolvimento, impeachment, segurança, justiça, país, sociais, processo, lei, medidas, medida, econômico, recursos, Estado, reformas, criação, atual, essencial, legislação, sociedade, transparência"
0,"aprovação, lei, Senador, social, justiça, desenvolvimento, recursos, legislação, segurança, maior, direitos, sistema, transparência, pessoas, econômico, pública, maior transparência, Estados, autoria, projetos, criação, reforma, população, sociais, implementação, condições, deficiência, brasileiro, públicas, percentual"
1,"brasileira, política, democracia, brasileiro, desenvolvimento, social, essencial, reforma, país, sistema, aprovação, contribuição, papel, instituições, político, Estado, lei, interesses, exemplo, brasileiras, respeito, direito, eleições, democrática, reformas, passo, econômica, estabilidade, Senador, continuidade"
2,"governo, atual, falta, gestão, Congresso, medidas, provisórias, prática, postura, política, ação, relação, democracia, direitos, instituições, Executivo, Estado, políticas, pública, uso, país, corrupção, recursos, ações, democrático, saúde, públicos, públicas, constitucional, papel"
3,"direitos, democráticos, sociais, marco, democracia, social, política, papel, valores, desenvolvimento, Estado, democrática, elaboração, reforma, justiça, brasileira, promoção, democrático, atual, reformas, políticas, fundamental, estabilidade, histórica, governo, construção, liberdade, país, contribuição, democráticas"
4,"direitos, Senador, lei, emenda, proposta, aprovação, pessoas, inclusão, deficiência, transparência, democracia, sociedade, legislação, preocupação, respeito, parlamentares, direito, constitucional, medidas, projetos, senadores, iniciativas, processo, saúde, sessão, responsabilidade, decisões, medida, justa, sociais"
5,"educação, educacionais, educacional, professores, qualidade, ensino, escolas, recursos, desenvolvimento, políticas, país, aprovação, investimento, saúde, investimentos, valorização, nacional, lei, pública, públicas, social, superior, falta, implementação, criação, inclusiva, profissionais, financiamento, metas, essencial"
6,"decisão, atuação, decisões, democracia, medidas, impunidade, poderes, justiça, relação, Ministro, Legislativo, indígenas, postura, políticos, terras, povos, direitos, judiciais, importante, Estado, passo, questão, ação, provisórias, direito, preocupação, pública, democrático, discussão, inconstitucionais"
7,"principal, manutenção, democracia, direitos, política, poderes, proteção, lei, equilíbrio, solução, país, parte, continuidade, sociais, papel, proposta, responsabilidade, luta, projetos, Estado, nacional, soluções, mudanças, povos, governo, meios, inclusão, indígenas, autoritários, modelo"
8,"fiscal, fiscalização, responsabilidade, transparência, gestão, governo, controle, recursos, falta, administração, pública, econômica, papel, proposta, corrupção, justiça, pagamento, aprovação, social, constitucional, criação, política, lei, essencial, órgãos, Estados, econômico, transparente, eficiência, Estado"
9,"Presidente, liderança, confiança, Congresso, presidente, medidas, política, iniciativa, decisão, credibilidade, democracia, políticas, lei, Estado, provisórias, governo, direitos, país, independência, Legislativo, aposentados, posição, diálogo, medida, novo, processo, desenvolvimento, social, demandas, provisória"
10,"crimes, penal, crime, legislação, drogas, maioridade, criminalização, lei, penas, segurança, criminalidade, impunidade, violência, descriminalização, hediondos, pública, sociedade, redução, aprovação, justiça, reforma, corrupção, sistema, atual, projetos, proteção, menores, vítimas, mudanças, criação"
11,"gastos, sociais, públicos, social, educação, retrocesso, petróleo, saúde, direitos, desenvolvimento, Estados, áreas, investimentos, medida, alíquotas, produtores, econômico, aprovação, energia, ameaça, unificação, lei, partilha, necessária, proposta, nacional, governo, desigualdades, público, fiscais"
12,"política, governo, brasileiro, atual, brasileira, postura, democracia, saúde, externa, desenvolvimento, internacionais, interesses, país, Estado, decisão, sistema, proposta, nacional, soberania, relação, brasileiras, relações, econômica, recursos, atuação, políticas, extinção, públicos, públicas, ações"
13,"reforma, política, financiamento, campanhas, sistema, político, mudanças, reformas, campanha, partidos, eleitoral, democracia, políticas, participação, popular, público, eleitorais, proposta, exclusiva, políticos, crises, eficiente, representativo, eleições, distrital, partidário, democrático, abrangente, mecanismos, reeleição"
14,"medidas, provisórias, Executivo, competência, Legislativo, papel, democracia, sociedade, direitos, funções, Judiciário, transparência, parlamentares, voto, legislativa, uso, aprovação, Poderes, regulamentação, poderes, vez, fim, temas, secreto, necessário, soberania, função, separação, comissão, orçamento"
15,"impeachment, processo, golpe, necessário, democracia, constitucional, legítimo, política, país, responsabilidade, crise, ordem, curso, legitimidade, governo, estabilidade, confiança, instituições, população, pedido, meio, econômica, governabilidade, processos, diálogo, solução, brasileira, legalidade, brasileiras, prejudiciais"
16,"CPI, CPIs, instalação, investigação, criação, transparência, governo, fiscalização, corrupção, tentativa, empresa, gestão, oposição, condução, imparcial, má, denúncias, Congresso, má gestão, Judiciário, necessária, funcionamento, caso, integridade, nacional, corporativos, interesse, uso, interesses, cartões"
17,"implementação, públicos, pública, públicas, políticas, serviços, público, segurança, servidores, administração, justiça, acesso, direitos, greve, cargos, essenciais, população, setor, regulamentação, valorização, direito, recursos, cidadãos, fortalecimento, privado, país, constitucional, dignidade, capacitação, social"
18,"aprovação, necessária, medida, lei, legislação, essencial, direitos, injustiças, pandemia, pessoas, vida, justa, importante, recursos, necessidades, medidas, indígenas, remuneração, sociais, retrocesso, procedimentos, positivo, Municípios, projetos, matéria, prazo, mercado, sociedade, reconhecimento, construção"
19,"tributária, reforma, carga, tributário, recursos, distribuição, proposta, desenvolvimento, sistema, justiça, justa, entes, União, federativo, social, Tributária, redução, tributários, pacto, eficiência, justo, arrecadação, produção, equitativa, econômica, atual, contribuinte, tributos, aprovação, fiscais"
20,"terras, indígenas, demarcação, demarcações, conflitos, temporal, direitos, jurídica, marco, interesses, mineração, política, segurança, desenvolvimento, lei, reservas, indenização, soberania, ecológicas, governo, nacionais, exploração, rurais, processos, questão, relação, áreas, abordagem, Estado, fundiários"
21,"Presidente, governo, postura, atuação, política, democracia, gestão, ações, instituições, crise, integridade, tentativa, econômica, país, Ministro, administração, ameaça, decisão, Câmara, democráticas, relação, uso, democrática, declarações, caso, manifestações, autoridade, declaração, eleitoreira, corrupção"
22,"federal, falta, governo, relação, gestão, ação, saúde, políticas, atuação, estadual, política, Estado, desenvolvimento, administração, federativo, recursos, regulamentação, pública, postura, fundiária, ações, compromissos, questão, papel, manutenção, insuficiente, atenção, operações, pensionistas, desacordo"
23,"previdência, reforma, proposta, pobres, Previdência, reformas, previdenciária, trabalhadores, direitos, social, governo, prejudicial, prejudiciais, injusta, mulheres, sociais, sistema, atual, previdenciário, aposentadoria, mudanças, homens, renda, parlamentares, manutenção, políticas, comissões, afronta, solidariedade, deficiência"
24,"federal, intervenção, autonomia, pública, governo, segurança, Estado, região, saúde, local, medida, aparelhamento, desenvolvimento, investimentos, política, municípios, potencial, apoio, servidores, esforços, plena, político, direitos, necessário, estadual, corrupção, reajuste, conflitos, salarial, infraestrutura"
25,"ambiental, ambiente, meio, proteção, sustentável, ambientais, preservação, sustentabilidade, legislação, licenciamento, desenvolvimento, global, aprovação, globais, populações, políticas, mundo, criação, brasileira, lei, direitos, regularização, obras, implementação, revisão, indígenas, atuais, ágil, projetos, infraestrutura"
26,"impeachment, processo, golpe, tentativa, narrativa, democracia, políticos, política, país, governo, base, prejudicial, político, oposição, fundamento, crise, democrática, legal, interesses, Câmara, jurídico, resultante, defesa, popular, Presidente, legitimidade, democráticas, soberania, erro, manobra"
27,"democrático, democráticos, democráticas, democrática, Estado, instituições, direito, valores, integridade, processo, compromisso, estabilidade, emenda, defesa, cívica, preocupação, participação, constitucional, tramitação, país, fortalecimento, sociedade, atual, popular, proposta, democracia, papel, partidos, memória, institucionais"
28,"governo, interino, sociais, retrocesso, direitos, golpe, ilegítimo, econômica, conquistas, últimos anos, democráticos, últimos, democracia, continuidade, relação, proposta, ponte, econômicas, contraste, polícia, trabalhistas, anos, sociedade, ameaça, plano, respeito, econômico, programa, integridade, apoio"
29,"desenvolvimento, sustentável, região, econômico, ambiental, preservação, amazônica, políticas, nacional, regionais, locais, habitantes, desigualdades, benefícios, governo, governamentais, manutenção, redução, visão, prorrogação, objetivos, ecológico, humanista, implementação, especificidades, infraestrutura, fiscais, investimentos, soberania, vida"
30,"vetos, veto, presidenciais, derrubada, presidencial, apreciação, aposentados, votação, autonomia, justiça, parlamentares, produtores, jurídica, lei, pública, manutenção, segurança, responsabilidade, necessário, transparência, eficiência, adicional, cobrança, oportunidade, rejeição, respeito, reajuste, social, população, aumento"
31,"judicial, ativismo, decisão, judicialização, liberdade, sistema, expressão, processo, equilíbrio, brasileiro, política, legislativa, porte, eleitoral, ameaça, direito, constitucional, jurídica, imprensa, democracia, aprovação, papel, perigoso, lei, práticas, Ministro, riscos, aborto, político, respeito"
32,"histórica, gênero, igualdade, mulheres, injustiça, direitos, servidores, histórico, luta, justiça, papel, política, reconhecimento, sociedade, aprovação, participação, social, passo, ato, construção, políticos, gratidão, domésticos, feminina, inclusão, trabalhadores, nacional, cultural, constitucional, legislativa"
33,"impeachment, processo, país, responsabilidade, leis, gestão, má, necessária, política, confiança, má gestão, decisão, base, crime, caracterizado, jurídica, incapaz, corrupção, atual gestão, abertura, atual, transição, governabilidade, conformidade, discussão, ação, União, medida, , "
34,"Judiciário, judiciais, judiciário, eficiência, Legislativo, juventude, decisões, processos, direitos, sistema, atuação, aprovação, prazo, lei, sensação, máximo, demandas, conclusão, impunidade, anos, aplicação, leis, Executivo, dispositivos, propriedade, regulamentação, justiça, criminalidade, separação, públicos"
35,"trabalhista, trabalhadores, reforma, direitos, trabalhistas, retrocesso, Consolidação, previdenciária, condições, previdência, propostas, reformas, país, escravidão, ilegal, medida, empresários, debate, terceirização, empregos, retrocessos, defesa, partido, aprovação, discussão, acesso, doutrina, atualidade, análogas, grande debate"
36,"econômico, desenvolvimento, crescimento, regional, Estados, econômicos, benefícios, criação, investimentos, sociais, lei, região, social, eletrônico, comércio, infraestrutura, dívidas, sustentável, Municípios, Estado, regiões, novos, econômica, crise, equilíbrio, redução, União, territorial, positivo, aprovação"
37,"petróleo, royalties, distribuição, redistribuição, produtores, Estados, federativo, justa, proposta, lei, Municípios, recursos, equilíbrio, mudança, direitos, educação, municípios, busca, equitativa, provenientes, emenda, prejudicial, riqueza, atual, destinação, maior, legislação, previdência, indenizações, equânime"
38,"financeira, Municípios, Estados, financeiro, orçamentária, financeiras, autonomia, distribuição, municípios, recursos, gestão, dívidas, dívida, federativo, Previdência, renegociação, revisão, pacto, aprovação, criação, compensações, administrativa, emenda, desenvolvimento, repasse, hídricos, financeiros, novo, dependência, precatórios"
39,"Ministro, impeachment, pedido, atuação, ações, democracia, liberdade, expressão, requerimento, prerrogativas, direitos, medidas, devido processo, contrárias, processo, legal, judicial, devido, Requerimento, arbitrárias, presença, Estado, pedidos, Senadores, democrático, inconstitucional, ativismo, Direito, possibilidade, decisão"
40,"TV, digital, informação, telecomunicações, inclusão, televisão, telefonia, acesso, democratização, serviços, operadoras, consumidores, liberdade, aprovação, projetos, expressão, comunicação, uso, sociedade, valores, programação, ambiente, básico, exclusão, essencial, rede, direito, transparência, medida, usuários"
41,"Médicos, Mais, médicos, saúde, medicamentos, programa, carentes, médico, Medicina, estrangeiros, acesso, profissionais, medida, regiões, carência, cubanos, continuidade, pública, distribuição, carreira, criação, contratação, cursos, Portaria, iniciativa, essenciais, suficiente, veículos, brasileiros, adequadas"
42,"adolescentes, crianças, violência, proteção, maioridade, direitos, penal, sexual, menores, sociedade, exploração, políticas, vez, dignidade, combate, aprovação, trabalho, infratores, públicas, pedofilia, crimes, mudança, juvenil, infância, família, alterações, implementação, revisão, lei, ações"
