Topic,Words,Frequency,Timestamp
-1,"não, Federal, discurso, nossa, direitos",302,2007
0,"bilhões, CPMF, País, mas, discurso",153,2007
1,"Brasil, discurso, Estado, menção, CPMF",83,2007
2,"pressão, saúde, antes, direito, prioridades",42,2007
3,"Ulysses, líder, imposto, integração, SUS",24,2007
4,"sindical, Amazonas, não, Cidadã, dar",38,2007
5,"norma, Presidente Fernando Henrique, Presidente Fernando, teriam, Governo Lula",45,2007
6,"simples, iguais, lei mas, avanço, oportunidades",22,2007
7,"devem, Saúde, prerrogativas, promover, saúde",23,2007
8,"podemos aceitar, não podemos aceitar, aceitar, existe, não podemos",3,2007
9,"critica falta ação governo, pública discurso, constitucionais sugere, Estatuto Idoso, falta ação governo",9,2007
10,"Sistema, formulada, precisa, sugestão, isenção",10,2007
11,"VII, eliminar, competências, dever República, Bolsa Família",11,2007
12,"governar, normativa, denúncia, acima, domínio",13,2007
13,"Federal Estado, carga tributária, carga, setor, CPMF",20,2007
14,"Roraima, Estado, Sergipe, extensa, aparte",9,2007
15,"municípios, igualdade, distribuição, República, dar efetividade",16,2007
16,"Igualdade, Racial, Igualdade Racial, eliminação, defendido",18,2007
17,"Poder, responsabilidade Estado, essas instituições, cidadania povo, moderno",6,2007
18,"aposentados, militar, Desobedecer rasgar, liberdade culto, nascer",10,2007
19,"medidas provisórias, provisórias, medidas, espírito democrático, resolve",13,2007
20,"questionar, menciona marco, emendada, defendeu, Câmara",8,2007
21,"desobedecer rasgar, disse desobedecer, substituir, brasileira já, Constituinte exclusiva",9,2007
22,"projetos, urgência, CPMF, acrescenta, Bolsa Família",9,2007
23,"distribuição, sistema público, distribuição mais, plena democracia, monocrática",12,2007
25,"DRU, nossas crianças, Federal nos, concessões, indicam avaliação negativa",6,2007
26,"consagrada, Dr, revelando, outras áreas, planos",10,2007
27,"Direito, Senadores, latino, direitos já, disseram",11,2007
28,"ou não, nossa porque, domínio, porque trata, inalienável",6,2007
29,"penal, sugere avaliação positiva protetora, atacar, avaliação positiva protetora desses, validade",3,2007
30,"decidido, Jefferson, compensação, impostos, Plano",4,2007
31,"promover desenvolvimento, vulneráveis, papel proteção, discurso defende, estados",4,2007
32,"contra, Presidente não podemos, democracia contra, Jefferson, Apesar",6,2007
33,"negar, benefícios, esta tribuna, direito democrático, tratada",6,2007
34,"republicana, início, vitória, regime, também",4,2007
35,"Governo Federal, depois, entre, Governo, Federal",7,2007
36,"corrupção, prioridades, partidos, nossa, ainda não",1,2007
37,"indicado, objetivo, autoriza, latino, quanto antes",5,2007
38,"afetam, indicam visão, prefeitos, municipais, contribuições",5,2007
39,"instituições republicanas, quase anos, homenagens, Não basta, passados",8,2007
40,"Raposa Serra, Raposa, Serra Sol, Raposa Serra Sol, Sol",4,2007
41,"prefeitos, aprovando, garantir essa, todo Brasil, vitória",1,2007
42,"União Estados Municípios, tributação, III, aprovação PEC, União Estados",1,2007
43,"alternância poder, alternância, protegidos, influência, importância democracia",2,2007
44,"Reafirmo, ponto vista político, vista político, desde Constituinte, Senado tem",6,2007
46,"prazo, temos dever, dezembro, injusto, deveria ter",2,2007
47,"verdade, políticos, Estado, exista, garantir esse",9,2007
48,"prorrogação, CPMF, vista proteção, improbidade administrativa, permitiu",15,2007
49,"setor, atacar, Vice, Constituinte exclusiva, foi Constituinte",2,2007
50,"discursos, mulheres, seletiva, elege, mais precisam",1,2007
51,"bem maior, permanentemente, foi conquista, Tocantins, Constituintes",2,2007
52,"cláusulas pétreas, cláusulas, mudar, neste País, podemos",1,2007
53,"porque está, está Federal, direito propriedade, propriedade, própria",1,2007
55,"linhas, precisa, nós, independência Brasil, Federal leis",1,2007
56,"capítulo, somos, mensagem, constitucionalidade, normalidade",3,2007
57,"nas leis, implementar, perspectiva, legislativos, apresentar",1,2007
58,"provisórias inconstitucionais, Nacional Senado, Congresso Nacional Senado, medidas provisórias inconstitucionais, falta regulamentação",2,2007
59,"numa, história, pelos direitos, direito trabalho, devia",4,2007
60,"Agradeço, liberdade não, brasileira foi, estamos num, conquistada",5,2007
-1,"não, discurso, direitos, País, constitucional",324,2008
0,"Governo, Federal, não, discurso, Nacional",151,2008
1,"discurso, recursos, Brasil, saúde, direitos",95,2008
2,"Amazônia, injustiças, País, discurso, não",54,2008
3,"futuro, rasgar Bandeira Brasil, Bandeira Brasil, rasgar Bandeira, Bandeira",30,2008
4,"muito mais, estado, Presidente, estado democrático, Central",50,2008
5,"luta direitos, conquista, social, direitos humanos, proteger",26,2008
6,"acredito, não dá, ação, Esse projeto, não",21,2008
7,"décadas, mudar, Concordo, diziam, estamos comemorando",14,2008
8,"domínio, AGU, competência Congresso, complexo, reflexão",4,2008
9,"Senado Câmara, devolver, estivesse, muito clara, teria",1,2008
10,"direito trabalho, tem direito, constituição, trabalho, sinal",11,2008
11,"homens, leis País, direito básico, Arinos Mário Covas, seja cumprida",14,2008
12,"Roraima, novo regime, Seguridade Social, Seguridade, parte",16,2008
13,"deficiência, também, Assembléia, discurso, consciência",25,2008
14,"opinião, terras, precisamos, regras, direito",12,2008
15,"créditos, abusivo, consideração, avaliação positiva promotora, comparação",13,2008
