Topic,Rotulo
-1,"discurso, democracia, Estado, importância, constitucionais, Presidente, social, orador, República, política, menção, defesa, povo, Congresso, necessidade, princípios, liberdade, democrático, sociedade, anos, brasileiro, proposta, sociais, igualdade, voto, importante, pública, instituições, leis, desenvolvimento"
0,"Presidente, conhecimento, democracia, brasileira, Estado, Nação, destinos, Congresso, Senado, povo, democrático, brasileiro, sociedade, lei, Senador, respeito, brasileiros, momento, democrática, população, leis, dia, defesa, instituições, processo, importante, decisão, legislação, Estados, político"
1,"orador, discurso, importância, necessidade, menção, avaliação, crítica, constitucionais, positiva, falta, documento, defesa, princípios, recursos, emenda, democracia, ações, saúde, papel, essencial, protetora, trabalhadores, pública, respeito, liberdade, participação, mudanças, necessidades, meio, cumprimento"
2,"anos, Estado, promulgação, redemocratização, brasileira, sociedade, partir, conquistas, sociais, social, grande, avanços, democrática, conquista, processo, trabalhadores, período, questão, história, luta, saúde, participação, avanço, importante, tempo, outubro, Senador, brasileiros, maior, elaboração"
3,"decisão, tribunal, Senado, Justiça, decisões, Presidente, respeito, brasileira, Ministro, orador, papel, defesa, ministros, Congresso, constitucionalidade, constitucionais, importância, emenda, mérito, caso, relação, razão, afronta, Estado, proposta, princípios, intervenção, matéria, ações, favor"
4,"impeachment, processo, golpe, Presidente, crime, orador, discurso, legal, democracia, responsabilidade, pedido, jurídico, brasileira, previsto, legitimidade, Presidenta, política, maioria, importância, políticos, lei, embasamento, rito, legalidade, constitucionais, decisão, parlamentar, Congresso, vez, Câmara"
5,"inciso, artigo, arts, União, termos, publicidade, Estado, artigos, matéria, princípios, legalidade, moralidade, eficiência, IV, lei, nacional, brasileira, regra, proposição, sentido, garantias, texto, III, legal, dever, impessoalidade, II, educação, dispositivo, único"
6,"Cidadã, cidadã, outubro, bandeira, legado, saudoso, Presidente, promulgação, brasileira, dia, anos, sábia, homens, Pátria, história, cidadania, ditadura, democracia, Estado, momento, discurso, civilização, brasileiro, processo, liderança, melhor, garantias, homem, democrático, cidadão"
7,"educação, saúde, escola, qualidade, pública, básica, ensino, Estado, recursos, pessoas, vinculação, comum, escolas, educacionais, gastos, segurança, família, emenda, políticas, entes, profissão, apoio, dinheiro, dever, proposta, ciência, área, superior, transitória, importante"
8,"democracia, liberdade, brasileira, lei, sociedade, defesa, projeto, interesses, Senado, respeito, fundamental, povo, legalidade, maior, essência, princípios, brasileiro, política, voto, mesma, ritos, expressão, compromisso, império, equilíbrio, memória, ditadura, anos, golpista, vez"
9,"crime, crimes, responsabilidade, lei, penal, Presidente, brasileira, processo, Presidenta, Estado, legislação, acusação, etnia, leis, jurídico, criminal, prisão, atos, cor, investigação, religião, sexo, decisão, corrupção, II, anterior, respeito, legal, anos, voto"
10,"fiscal, fiscalização, responsabilidade, gastos, importante, Executivo, controle, inflação, Municípios, medida, recursos, soluções, função, arrecadação, administração, gestão, prerrogativa, habitantes, flexibilização, auxílio, clara, públicos, crime, cidadão, lei, gente, legislação, cultura, brasileira, grande"
11,"visão, positiva, proposta, papel, menção, discurso, orador, inclusão, importância, trabalhadores, necessidade, promotora, reforma, social, projeto, constitucionais, atual, disputas, ineficiência, melhorias, defesa, alinhado, base, lei, benefício, educação, princípios, processo, sociedade, aprovação"
12,"Carta, regime, democrático, atribuição, Estado, artigo, cidadão, social, passo, elevado espírito, ato, espírito, importante passo, equívocos, caput, caminhada, necessitados, termos, elevado, função, iniciativa, essencial, vício, jurisdicional, injusto, aprovação, avanços, gratuita, erros, fácil"
13,"tributária, reforma, tributário, sistema, Estados, Municípios, tributos, tributação, carga, simplificação, distribuição, necessidade, federativo, recursos, atual, grandes, Tributária, usinas, pacto, justiça, discurso, arrecadação, então Deputado, tributários, emenda, distorção, menção, grandes fortunas, fortunas, isonomia"
14,"Casa, PEC, Senadores, Casas, Judiciário, liberdades, individuais, função, casa, número, instituto, Plenário, emenda, cima, processo, membros, inconstitucionalidade, legislação, vida, longo, obrigação, caso, proposta, regulamentação, Comissões, compromisso, aprovação, defesa, prazos, sexo"
15,"cidadania, cidadão, cidadã, Estado, acessíveis, cidadãos, chamada, acesso, conteúdos, democracia, exercício, atuação, lazer, arma, defesa, cidade, influência, cidadãs, territórios, cultura, educação, anos, verdade, garantias, dia, instrumento, dever, trabalho, seguros, novas bases"
16,"fiscal, fiscalização, responsabilidade, orador, discurso, importância, transparência, controle, público, constitucionais, essencial, cumprimento, avaliação, obrigações, desorganização, Senado, limites, crítica, recursos, dinheiro, fiscalizador, papel, atuação, visão, públicos, necessidade, instrumento, premissa, última, informações"
17,"ambiente, meio ambiente, ambiental, meio, proteção, ecologicamente, ambientais, VI, essencial, positiva, importância, vida, defesa, bem, instrumento, avaliação, qualidade, ordem, humano, comum, preservação, menção, necessidade, áreas, princípio, econômica, discurso, inciso, uso, regulamentação"
18,"adolescentes, crianças, proteção, criança, juventude, anos, penal, Convenção, idosos, artigo, integral, sobrevivência, garantias, social, corpo, brasileira, promoção, educação, atenção, respeito, menção, iniciativa, conquistas, história, plenos, plenos direitos, inovadoras, Presidente, responsabilidade, mundiais"
19,"Ministro, Ministros, mínimo, portaria, salário, mérito, questão, mínimos, carta, lei, aspas, respaldo, cargo, escrito, diferente, assegurado, decisão, justiça, posição, democracia, inconstitucional, menos, tanto, mandato, fato, legal, gente, contribuintes, substancial, interessante"
20,"Senadores, processo, questão, enquadramento, providência, aberração, emenda, portaria, Executivo, marco, mesmo tempo, brasileira, pobres, respeito, justo, prerrogativa, humanos, provisórias, compromisso, servidores, ponto, públicos, tempo, medidas, pessoas, instrumental, irregularidade, moralizadora, laços, novo marco"
21,"Cerrado, biomas, brasileira, ambiental, área, florestas, bioma, biodiversidade, nacional, ambientais, indígenas, terra, ambientalistas, futuro, ambiente, terras, floresta, habitantes, territórios, território, matérias, setores, primeiros, seguinte, brasileiros, patrimônio, proteção, importante, modo, pena"
22,"autonomia, Estados, administrativa, Municípios, federativo, princípio, federação, federativa, financeira, maior, subsídio, recursos, subnacionais, centralização, independência, exemplo, municipal, públicos, Estado, orçamentária, efetiva, forte, municípios, entes, modelo, regras, soberania, situação, maior autonomia, irredutibilidade"
23,"Municípios, Estados, saúde, prefeitos, recursos, Prefeitos, penúria, atual modelo, ultrapassado, financeira, prefeituras, União, prova, federativo, receita, total, aumento, sistema, lei, equivalentes, atual, modelo, área, gasto, corrente, bolo, situação, fundos, brasileiros, certo"
24,"CPI, CPIs, fiscalização, minoria, objeto, fatos, maioria, importância, instalação, instrumento, defesa, esvaziamento, controle, discurso, poderoso, irregularidades, transparência, desvio, orador, criação, investigação, destinação, requerimento, finalidade, formal, alta, garantidora, constitucionais, democráticos, força"
25,"defensor, defesa, aparte, candidatura, questão, Congresso, República, grande defensor, época, reforma, fala, bem, dignidade, Presidente, relatório, alta, Poderes, fundamentos, grande, momento, decisão, importante, entendimento, Estado, partidos, humana, preocupação, legitimidade, razão, política"
26,"Judiciário, independência, Poderes, decisões, judiciais, juiz, Executivo, caso, manobra, independente, inaceitável, harmonia, brasileiro, emenda, prerrogativas, poderes, legitimidade, interpretação, oportunidade, sentido, essencial, ditadura, história, Justiça, anulação, judiciários, corretos, população, recomposição, infeliz"
27,"terras, indígenas, demarcação, discurso, terra, elevação, transferência, temporal, data, Estado, solução, interpretação, orador, metade, marco, atual, importância, implementação, avaliação, problemas, condição, uso, regulamentação, constitucionais, jurídica, chão, devolução, gargalos, melhora, proprietários"
28,"judicial, ativismo, judicialização, discurso, decisão, insegurança, Judiciário, grande insegurança, jurídica, interferência, Poderes, grande, instituto, crítica, resultado, econômico, possibilidade, constitucionais, equilíbrio, cumprimento, verdade, automática, fática, questão, maior autoridade, seio, sistema, questionamento, desdobramentos, impasse"
29,"reforma, política, reformas, carta, profunda, profunda reforma, preciso, eleitor, Estado, urgente, Judiciário, político, compromissos, federativa, sistema, momento, coisas, aspectos, economia, constituinte, econômica, segundo, crise, nova, ordem, cidadão, quórum, máquinas, drástica, avessas"
