Topic,Words,Frequency,Timestamp
-1,"orador destaca importância, disso orador destaca importância, destaca importância, orador destaca importância de, destaca importância de",153,2007
0,"visa, que visa, de que visa, causa disso orador apoia, disso orador apoia",41,2007
1,"forma irregular, de forma irregular, ele foi, seu afastamento, conduzido de forma",1,2007
2,"Brasil, no Brasil, Brasil Por causa, Brasil Por causa disso, Brasil Por",39,2007
3,"Tribunal, Supremo, Supremo Tribunal, Supremo Tribunal Federal, do Supremo",11,2007
4,"pela Constituição de, Constituição de Por, Constituição de Por causa, disso orador destaca importância, orador destaca importância",24,2007
5,"educação, da educação, direito educação, Educação, educacional",28,2007
6,"que qualquer, contra, pela Constituição Por, pela Constituição Por causa, vida pessoal",17,2007
7,"fiscalização, fiscalizar, fiscal, Lei de Responsabilidade, de Responsabilidade",26,2007
8,"Presidente, um terceiro mandato, terceiro mandato, presidencial, um terceiro mandato presidencial",19,2007
9,"terras, indígenas, terras indígenas, de terras, de terras indígenas",12,2007
10,"disso orador destaca importância, orador destaca importância, destaca importância, orador destaca importância de, destaca importância de",18,2007
11,"do governo, falta de, orador critica falta, orador critica falta de, disso orador critica falta",24,2007
12,"penal, crimes, crime, maioridade penal, da maioridade penal",24,2007
13,"CPI, instalação, CPIs, da CPI, defende instalação",12,2007
14,"políticas, de políticas, políticas públicas, públicas que, defende implementação",15,2007
15,"disso orador apoia, orador apoia, causa disso orador apoia, garantindo que todos, de emenda",12,2007
16,"financeira, financiamento, garantir financiamento adequado, garantir financiamento, financiamento adequado",18,2007
17,"da Constituição de, Constituição de, importância da Constituição de, importância da Constituição, importância da",13,2007
18,"Senado Federal, do Senado Federal, Senado Federal como uma, os suplentes, do Senado Federal como",11,2007
19,"petróleo, royalties, do petróleo, de petróleo, dos royalties",5,2007
20,"tributária, reforma tributária, uma reforma tributária, uma reforma, reforma tributária que",9,2007
21,"art, art da, art da Constituição, do art, do art da",8,2007
22,"medicamentos, medidas, de medidas, garantir acesso, medidas provisórias",9,2007
23,"regulamentação da Emenda, regulamentação, regulamentação da, saúde pública, pública Por causa",11,2007
24,"Constituição de, do partido Por causa, considerando contrária, contrária ao espírito, correção da",2,2007
25,"reforma política, reforma, da participação feminina, na reforma política, uma reforma",6,2007
27,"judiciais, intervenção judicial, judicial, Judiciário, ações judiciais",6,2007
28,"vetos, vetos presidenciais, presidenciais, veto, apreciar",4,2007
29,"Regimento, Regimento Interno, Interno do Senado, Regimento Interno do Senado, Regimento Interno do",9,2007
30,"nova determinação constitucional, projetos de lei complementar, conforme nova determinação, estabelecida pela Emenda Constitucional, conforme nova determinação constitucional",1,2007
31,"Congresso, Congresso Nacional, no Congresso, voto secreto no Congresso, secreto no Congresso Nacional",7,2007
33,"de medidas provisórias, medidas provisórias, de medidas, orador critica uso, disso orador critica uso",17,2007
35,"que divide, divide, discutida com, mais bem, gestão ambiental",1,2007
37,"Presidente, orador critica gestão do, critica gestão do, do Presidente, critica gestão",3,2007
38,"pacto federativo, pacto, federativo, entre União Estados, entre União Estados Municípios",4,2007
40,"medidas para garantir, rádio, internet, televisão, medidas para garantir transparência",3,2007
43,"Ministério Público, Público, Ministério, do Ministério Público, do Ministério",2,2007
44,"do Amazonas, Amazonas, abaixo do, prática inconstitucional deve, essa prática inconstitucional deve",2,2007
45,"legal, devido processo legal, processo legal, processo legal deve ser, legal deve",6,2007
47,"CPMF, da CPMF, prorrogação da CPMF, prorrogação da, CPMF deve",31,2007
48,"transposição dos servidores, de Rondônia para, para quadro, Rondônia para, Rondônia para quadro",1,2007
49,"que tratamento, conformidade com as normas, para garantir conformidade, para garantir conformidade com, garantir conformidade",1,2007
50,"que contribui para crise, líquida em saúde pública, obrigação constitucional de investir, não cumprir obrigação constitucional, por não cumprir obrigação",1,2007
51,"do Judiciário, critica atuação do Judiciário, atuação do Judiciário, Judiciário, atuação do Judiciário do",2,2007
-1,"medidas provisórias, orador destaca importância, disso orador destaca importância, destaca importância, urgência",172,2008
0,"visa, que visa, disso orador apoia, causa disso orador apoia, orador apoia",48,2008
2,"Brasil, no Brasil, Brasil Por, Brasil Por causa, Brasil Por causa disso",47,2008
3,"Tribunal, Supremo, Supremo Tribunal Federal, Tribunal Federal, Supremo Tribunal",22,2008
4,"Constituição de, disso orador destaca importância, orador destaca importância, destaca importância, da Constituição de",34,2008
5,"educação, professores, da educação, Educação, educacional",30,2008
6,"dos benefícios, assegurado pela Constituição Por, conforme assegurado pela, conforme assegurado pela Constituição, conforme assegurado",16,2008
7,"fiscalização, fiscal, fiscalizar, Fiscal, Lei de Responsabilidade",23,2008
8,"Presidente, Presidente do Senado, Presidente do, do Presidente, República",22,2008
9,"terras, indígenas, de terras, terras indígenas, de terras indígenas",39,2008
10,"orador destaca importância, disso orador destaca importância, destaca importância, orador destaca importância de, destaca importância de",18,2008
11,"falta de, orador critica falta de, orador critica falta, disso orador critica falta, critica falta de",30,2008
12,"crime, crime de, crime de responsabilidade, de responsabilidade, por crime",14,2008
13,"CPI, CPIs, instalação, uma CPI, para investigar",22,2008
14,"políticas, políticas públicas, públicas que, de políticas, de políticas públicas",14,2008
15,"suplentes, orador apoia, causa disso orador apoia, disso orador apoia, decoro parlamentar",10,2008
16,"financeira, financiamento, saúde pública, para garantir financiamento adequado, para garantir financiamento",13,2008
17,"Constituição de, orador destaca importância, disso orador destaca importância, destaca importância, importância da Constituição de",21,2008
18,"Distrito Federal, Federal especialmente, Constituição Federal especialmente, Federal especialmente no, Constituição Federal",8,2008
19,"petróleo, royalties, dos royalties, do petróleo, distribuição dos",10,2008
20,"tributária, reforma tributária, uma reforma tributária, de uma reforma tributária, uma reforma",12,2008
21,"art, art da, art da Constituição, do art, do art da",10,2008
22,"medidas provisórias, provisórias, medidas, de medidas, de medidas provisórias",10,2008
23,"públicos, dentro do prazo constitucional, de para garantir os, ao SUS conforme estabelecido, garantir mais recursos ao",4,2008
24,"Constituição de, critica concentração de poder, de poder no Executivo, concentração de poder no, orador critica concentração de",7,2008
25,"reforma, reforma política, política, reformas, uma reforma",8,2008
