Topic,Rotulo
-1,"documento, direitos, instrumento, marco, proteção, importante, fundamentais, sociais, democracia, pública, brasileira, sistema, história, ordem, termos, mudanças, necessidades, indígenas, combate, segurança, dignidade, baluarte, liberdade, decisões, Executivo, atuais, democrática, eficaz, lacunas, população"
0,"democracia, documento, direitos, instrumento, pilar, fundamentais, fundamental, Estado, direito, marco, democrático, atual, essencial, trabalhadores, importante, governo, cidadania, saúde, importantes, defesa, jurídica, regional, participação, símbolo, desigualdades, humanos, popular, ordem, igualdade, baluarte"
1,"marco, importante, direitos, avanço, social, sociais, democrático, conquista, conquistas, significativo, brasileiro, brasileira, Estado, história, sistema, trabalhadores, grande, democracia, desenvolvimento, importantes, democrática, positivo, país, liberdade, fundamentais, municípios, descentralização, garantia, político, questão"
2,"impeachment, processo, curso, legal, base, legalidade, documento, político, instrumento, paraguaia, orador, vigor, jurídica, detalhes, descontentamento, estável, abertura, atribuições, constitucionais, , , , , , , , , , , "
3,"educação, educacionais, educacional, importante, marco, direito, saúde, recursos, investimento, investimentos, qualidade, vinculação, áreas, pública, financiamento, superior, documento, dever, mínimo, valorização, relação, gratuita, políticas, evolução, suficiente, profissionais, desenvolvimento, social, aplicação, avanço"
4,"igualdade, gênero, documento, lei, justiça, promoção, direitos, ideal, marco, inclusão, luta, importante, sociais, religiosa, avanço, liberdade, acesso, necessidade, significativo, saúde, relação, proteção, , , , , , , , "
5,"fiscal, fiscalização, responsabilidade, instrumento, essencial, controle, públicos, transparência, recursos, justiça, gestão, governo, papel, documento, maior, Congresso, exercício, marco, instrumentos, gastos, importante, ações, socioambiental, maior justiça, privados, cobrança, oportunidade, injusto, sábia, empresas"
6,"responsabilidades, responsabilidade, claras, documento, Senado, transparência, entes, Municípios, federativos, representantes, recursos, Estado, social, atos, municípios, segurança, governo, pública, institucionais, federal, sistema, necessários, educação, descentralização, estrutura, relação, regulamentação, dívidas, estaduais, privada"
7,"Judiciário, judiciais, decisões, recentes, estrutura, aumento, risco, transparência, democratização, marco, mecanismos, práticas, altos, politizadas, nomeações, importante, avanço, brechas, precedentes, jurídicas, eficazes, detrimento, inadequadas, cargos, ética, demandas, reforma, atuais, autonomia, "
8,"crimes, crime, responsabilidade, maioridade, relação, estupro, Presidente, clara, hediondos, criminalidade, legislação, clamor, presidente, penas, punição, lei, fiscal, instrumento, casos, anos, legislativa, justiça, direito, gravidade, severa, rígidas, injustas, créditos, políticas, decreto"
9,"autonomia, Estados, municipal, Municípios, administrativa, independência, documento, financeira, marco, política, universidades, sindical, relação, orçamentária, Parlamento, importante, forma, legislação, prática, princípio, suficiente, federativo, poder, funcional, finanças, específica, atual, encargos, norma, municípios"
