Topic,Words,Frequency,Timestamp
-1,"defende, CPMF, importância, garantir, constitucionais",282,2007
0,"importância, destaca importância, critica, necessidade, reforma",193,2007
1,"cumprir obrigações constitucionais, cumprir obrigações, mais eficiente, obrigações constitucionais, recursos destinados",2,2007
2,"presidenciais, garantido, redução, continuidade, recursos Estados",26,2007
3,"infundada, municipal, policiais, interesses, defende",26,2007
4,"CPMF, Manaus, pública, Brasil especialmente relação, CPMF deve",20,2007
5,"setor, respeitar processo legislativo, decisões parlamentares, apela Governo, interpretação atual",20,2007
6,"político, mas critica falta, cláusula desempenho, diferenciadas, constitucional visa",13,2007
7,"desenvolvimento região, região amazônica, amazônica, revisão normas constitucionais, educação",6,2007
8,"Renan, formação, integral, importância seguir, Amapá",15,2007
9,"importância autonomia, pertencem União, solidariedade, elaboração leis, promover desenvolvimento econômico social",14,2007
11,"lei complementar, complementar, penal, redução, acelerar processo",13,2007
12,"implementação, defende implementação políticas públicas, implementação políticas públicas, defende implementação políticas, implementação políticas",17,2007
13,"Estado Amapá, transferência, Amapá, educação pessoas deficiência, educação pessoas",8,2007
14,"Estado, conformidade dever constitucional, Federal Tribunal, transparência tributária, conforme estabelecido",26,2007
15,"segurança saúde educação, cobrar ICMS, integração nacional, conquistas constitucionais, educação sugere",14,2007
16,"Congresso Nacional destaca importância, defende extinção, negociações, Nacional destaca importância, legislativa Congresso Nacional",3,2007
17,"propõe apresentação projeto, devido omissão, efetivação direito, recursos educação saúde, Branco",12,2007
18,"prorrogação, promulgação defende, deve agir acordo, defende Senado deve, moralização",10,2007
19,"deve usada, pesquisas, erro, proibição, avanços",3,2007
20,"saneamento, Nacional Saúde, iniciativa privada, dez anos, esse princípio",10,2007
21,"Município, restabelecer, Câmara Deputados, desmembramento Municípios, destaca importância Emenda",13,2007
22,"Estado Roraima, Estado, Roraima, Governo Federal, cobrar ICMS",14,2007
23,"polícias, importância respeitar, defende manutenção, percentuais, mínimos investimento",16,2007
25,"Mesa, saúde pública, defende aprovação propostas, gestão, critica gestão estadual",12,2007
26,"recriação, CPMF, CPMF deve, Apagão Aéreo, CPI Apagão Aéreo",9,2007
27,"foi conduzido, contra ele, normas constitucionais legais, argumenta processo impeachment contra, Presidência República",1,2007
28,"cursos, responsabilidade Senado, cargos executivos, defende autonomia, enfatiza responsabilidade",12,2007
29,"área saúde, Empresa, incentivem, Cidadã, defende Estado deve",5,2007
30,"Judiciário Ministério Público, Judiciário Ministério, Ministério Público defende, Público defende, controle externo",6,2007
32,"penais, partidária, competência Congresso Nacional, nas leis, competência Congresso",3,2007
33,"defende constitucionalidade, alinhando legislação, garantir igualdade gênero, regulamentar Emenda Constitucional, destaca importância regulamentar Emenda",11,2007
34,"propõe voto, eleitoral brasileiro, propõe voto aberto, necessidade reformas políticas, deliberações",5,2007
35,"princípio constitucional, defende ampliação, constitucional saúde, propõe Projeto Lei Senado, garantindo recursos sejam",13,2007
36,"exercer poder, critica submissão, submissão, reequilibrar, medidas provisórias Executivo",2,2007
37,"competências, ressocialização, mandatos presidenciais, terras quilombolas, especialmente nas regiões",13,2007
38,"transparência responsabilidade parlamentares perante, responsabilidade parlamentares perante, parlamentares perante, transparência responsabilidade parlamentares, responsabilidade parlamentares",10,2007
39,"defende revisão normas, Senado adote, propaganda, alcoólicas, bebidas",5,2007
40,"especialmente contextos, propriedade conforme, financiamento saúde pública, importância respeitar direito, normas constitucionais regimentais",8,2007
41,"critica concentração, escolas públicas, diretores, pacto federativo estabelecido, nas escolas",5,2007
42,"garantir maior transparência responsabilidade, maior transparência responsabilidade parlamentares, aprovação Emenda Constitucional, maior transparência responsabilidade, propõe fim voto secreto",6,2007
43,"CPI Apagão, Aéreo, fiscalização Legislativo, CPI Apagão Aéreo, Apagão Aéreo",4,2007
44,"importância políticas públicas promovam, constitucionais justiça social, princípios constitucionais justiça social, alinhadas princípios constitucionais, alinhadas princípios",1,2007
45,"garantir imparcialidade, Renan Calheiros, integridade processo, Presidência Senado, Senado garantir",1,2007
47,"federais, CPI Apagão Aéreo, defende Forças Armadas devem, CPI Apagão, Forças Armadas devem",8,2007
48,"Comissão Direitos, importância Comissão, Comissão Direitos Humanos, defesa direitos humanos, sociedade civil",2,2007
49,"reforça importância seguir, integridade, Michel Temer, Michel, respeita",1,2007
51,"CPI, decisão monocrática, monocrática, jurídica, garantir segurança",5,2007
53,"liberdade expressão conforme, CPMF deve, direito liberdade, expressão conforme, proteger direito",3,2007
54,"transição democrática, proteção direitos fundamentais, povo brasileiro, transição, defesa direitos",1,2007
