Topic,Rotulo
-1,"importância, processo, impeachment, direitos, Presidente, aprovação, Senado, lei, decisão, criação, política, princípios, conformidade, social, inconstitucional, forma, segurança, políticas, pública, recursos, Estado, responsabilidade, proposta, emenda, medidas, proteção, saúde, desenvolvimento, legitimidade, Estados"
0,"aprovação, proposta, emenda, saúde, conformidade, União, pública, forma, acesso, trabalho, Estados, Senado, sistema, educação, Estado, trabalhadores, financiamento, desenvolvimento, administrativa, implementação, criação, população, processo, Justiça, terras, brasileiro, autonomia, assistência, parlamentares, importância"
1,"decisão, atuação, Senado, decisões, ministros, prisão, Legislativo, competência, relação, Ministro, questão, constitucionalidade, princípio, julgamento, poderes, caso, Justiça, Judiciário, lei, casos, medidas, mandato, princípios, inconstitucionais, importância, aplicação, limites, emenda, partidária, direitos"
2,"brasileiro, brasileira, democracia, política, importância, brasileiros, sistema, princípios, reforma, Estado, político, social, reformas, governo, direitos, emenda, defesa, cláusula, integração, forma, país, respeito, democrática, eleitoral, desenvolvimento, mudanças, fundamental, políticas, externa, paz"
3,"liberdade, lei, expressão, salário, Senado, mínimo, foro, parlamentares, imprensa, forma, manutenção, princípio, proteção, democracia, igualdade, direitos, emenda, prisão, democrático, Estado, mandato, princípios, inconstitucional, conformidade, proposta, legislação, jurídica, mudança, política, mandatos"
4,"educação, professores, educacional, ensino, recursos, qualidade, educacionais, saúde, importância, escolas, básica, universidades, direitos, cumprimento, implementação, aprovação, financiamento, lei, crianças, projeto, nacional, superior, metas, públicas, autonomia, piso, forma, pública, salarial, pessoas"
5,"fiscal, fiscalização, papel, controle, Senado, gastos, fiscalizador, públicos, importância, Executivo, recursos, transparência, responsabilidade, Congresso, contas, cumprimento, relação, governo, falta, país, medidas, maior, limites, normas, Estados, atuação, Municípios, essencial, leis, esclarecimentos"
6,"importância, direitos, trabalhadores, democracia, crise, pessoas, deficiência, domésticos, trabalho, trabalhistas, princípios, Deficiência, respeito, igualdade, política, liberdade, proteção, momentos, Convenção, inclusão, justiça, contexto, jornada, domésticas, consumidor, papel, sociais, país, Senado, desenvolvimento"
7,"falta, governo, atuação, relação, gestão, saúde, direitos, cumprimento, violação, prática, princípios, pública, ações, ação, política, públicos, forma, atual, políticas, práticas, indígenas, administração, autoridades, Estado, princípio, segurança, federal, obrigações, revisão, Senado"
8,"financeira, saúde, financiamento, recursos, autonomia, financeiros, municípios, financeiras, União, adequado, regulamentação, pública, distribuição, importância, desenvolvimento, revisão, aprovação, administrativa, entes, gestão, orçamentária, emenda, fundo, regional, obrigações, manutenção, federativos, repasse, investimentos, receita"
9,"Presidente, Presidência, presidencial, Senado, mandato, eleições, diretas, vacância, caso, cargo, decreto, terceiro, crise, presidenciais, Regimento, decisão, política, terceiro mandato, emenda, eleição, presidente, forma, julgamento, reeleição, Presidentes, anos, processo, possibilidade, conformidade, novas eleições"
10,"terras, indígenas, demarcação, temporal, marco, direitos, povos, demarcações, comunidades, terra, quilombolas, conflitos, aprovação, indígena, exploração, mineração, áreas, segurança, contínua, projeto, outubro, Estado, atuação, lei, interpretação, homologação, reserva, proteção, área, decisão"
11,"penal, crimes, crime, maioridade, terrorismo, religiosa, legislação, lei, redução, criminalização, liberdade, discriminação, projeto, penas, hediondos, anos, proteção, conformidade, homofobia, direitos, combate, novo, criminalidade, violência, segurança, prisão, sociedade, garantias, hediondo, pena"
12,"CPI, instalação, CPIs, fiscalização, Senado, minoria, investigação, criação, irregularidades, investigações, requisitos, Toga, minorias, requerimento, pandemia, possíveis, transparência, abertura, instauração, importância, instrumentos, base, leitura, fiscalizadora, corporativos, mesmo, cartões, funcionamento, forma, espionagem"
13,"políticas, públicas, implementação, igualdade, importância, pública, social, segurança, direitos, gênero, princípios, cotas, inclusão, cidadania, desenvolvimento, públicos, mulheres, conformidade, raciais, responsabilidade, redução, participação, econômico, oportunidades, sociedade, afirmativas, programas, ação, promoção, humanos"
14,"emenda, Senador, mandato, projeto, compromisso, proposta, lei, transparência, suplentes, voto, Senado, votação, discussão, parlamentares, preocupação, princípios, leis, aprovação, propostas, parlamentar, maior, representatividade, direitos, legislação, Plenário, inconstitucional, conformidade, decoro, senadores, projetos"
15,"importância, marco, democracia, consolidação, redemocratização, brasileira, democrática, transição, papel, política, direitos, elaboração, construção, democrático, estabilidade, histórica, promulgação, econômica, democráticos, princípios, defesa, partido, Estado, desenvolvimento, fundamentais, país, consonância, sociedade, participação, garantias"
16,"reforma, trabalhista, previdência, trabalhadores, direitos, reformas, Previdência, salário, proposta, trabalhistas, trabalho, mínimo, previdenciária, proteção, seguridade, aposentadoria, social, inconstitucional, Senado, principal, governo, propostas, relações, mulheres, servidores, precarização, retirada, prejudicial, contrato, regras"
17,"inciso, regulamentação, alteração, projeto, lei, pública, segurança, aprovação, recursos, artigo, Lei, manutenção, complementar, Estados, emenda, saúde, União, cumprimento, indígenas, polícias, criação, distribuição, anos, apresentação, locais, XLIII, sistema, pena, artigos, municípios"
18,"impeachment, processo, golpe, rito, responsabilidade, curso, legitimidade, legítimo, julgamento, crime, legal, procedimentos, legais, legalidade, Senado, preceitos, devido processo, devido, acordo, comprovação, paraguaia, pedidos, importância, política, normas, ritos, procedimento, crimes, imparcial, interpretações"
19,"medidas, provisórias, médicos, saúde, tramitação, medicamentos, Legislativo, implementação, legislativo, provisória, medida, Senado, Executivo, análise, rito, militares, processo, emenda, papel, proposta, aprovação, acesso, apreciação, revisão, uso, Único, forma, criação, mínimo, tempo"
20,"tributária, reforma, tributário, sistema, Estados, carga, justiça, energia, tributos, justa, fiscal, federativo, União, princípios, distribuição, atual, recursos, elétrica, equitativa, autonomia, tributárias, econômico, legislação, eficiente, redução, desigualdades, importância, financeira, pacto, forma"
21,"federal, intervenção, Senado, pública, direitos, cumprimento, servidores, Governador, segurança, importância, governo, ordem, regionais, emenda, humanos, suplentes, Estado, proposta, estadual, sucessão, livre, ações, regiões, princípios, poder, leis, competências, iniciativa, coordenação, justiça"
22,"pública, regulamentação, públicos, saúde, recursos, transparência, segurança, aplicação, publicidade, servidores, atos, teto, princípios, urgente, administração, correta, remuneração, administrativos, desvios, cidadãos, projeto, cumprimento, Estado, direitos, conformidade, publicação, aprovação, forma, criação, rigorosa"
23,"royalties, petróleo, distribuição, Estados, produtores, redistribuição, equitativa, Municípios, federativo, exploração, compensação, contratos, recursos, projeto, lei, brasileiros, pacto, estados, inconstitucional, forma, financeira, gás, União, justa, legislação, naturais, equilíbrio, maneira, conformidade, artigo"
24,"reforma, governo, previdência, trabalhista, reformas, direitos, propostas, trabalhistas, social, relação, sociais, proposta, trabalhadores, interino, previdenciária, seguridade, retrocesso, avanços, conquistas, incoerência, princípios, ações, postura, partido, respeito, políticas, contrárias, agrária, falta, econômica"
