Topic,Rotulo
-1,"aprovação, política, social, pública, políticas, direitos, governo, segurança, saúde, democracia, justiça, desenvolvimento, reforma, medidas, país, recursos, proposta, medida, sociais, públicas, essencial, econômico, implementação, sociedade, continuidade, transparência, reformas, criação, atual, falta"
0,"aprovação, emenda, forma, Senador, social, justiça, desenvolvimento, recursos, maior, legislação, segurança, sistema, educação, direitos, pessoas, inclusão, econômico, pública, autoria, Estados, projetos, criação, reforma, qualidade, jurídica, condições, sociais, deficiência, brasileiro, país"
1,"brasileira, política, democracia, brasileiro, desenvolvimento, social, sistema, essencial, reforma, país, contribuição, aprovação, instituições, preocupação, papel, político, história, defesa, direitos, sociedade, nacional, internacionais, pública, políticas, valores, partidos, brasileiras, exemplo, saúde, regiões"
2,"direitos, democráticos, sociais, marco, democracia, papel, social, avanços, política, valores, conquistas, desenvolvimento, elaboração, democrática, promoção, fundamental, brasileira, justiça, democrático, reforma, atual, reformas, cidadania, políticas, estabilidade, histórica, construção, defesa, popular, progresso"
3,"impeachment, processo, golpe, Presidente, democracia, tentativa, necessário, governo, país, legítimo, constitucional, política, crise, continuidade, político, econômica, ordem, base, eleições, forma, democrática, mecanismo, popular, legal, decisão, mandato, instituições, pedido, oposição, confiança"
4,"governo, atual, falta, gestão, postura, administração, ação, política, direitos, instituições, relação, políticas, interpretação, oposição, país, atuação, democrático, democracia, corrupção, pública, prática, saúde, situação, ações, mídia, públicas, proposta, justiça, imprensa, decisão"
5,"educação, educacionais, professores, educacional, qualidade, ensino, escolas, recursos, prioridade, desenvolvimento, país, investimento, políticas, básica, investimentos, saúde, valorização, nacional, superior, aprovação, pública, inclusão, públicas, piso, salarial, social, falta, inclusiva, forma, criação"
6,"direitos, emenda, Senador, proposta, aprovação, transparência, preocupação, legislação, pessoas, sociedade, deficiência, democracia, parlamentares, senadores, votação, liberdade, processo, direito, legislativo, medidas, constitucional, forma, inclusão, saúde, iniciativas, projetos, provisórias, respeito, voto, parlamentar"
7,"decisão, atuação, ministros, indicação, decisões, democracia, mandato, impunidade, confiança, Presidente, medidas, defesa, processo, Legislativo, relação, mudanças, justiça, instituições, maior, políticos, soberania, respeito, novos, Corte, aprovação, terras, judiciais, importante, passo, ação"
8,"fiscal, fiscalização, responsabilidade, transparência, gestão, ajuste, controle, recursos, governo, meta, falta, administração, gastos, públicos, pública, econômica, medidas, papel, fiscais, medida, pagamento, corrupção, públicas, proposta, justiça, emenda, necessária, constitucional, órgãos, criação"
