Topic,Rotulo
-1,"Implícito, democracia, Estado, social, saúde, políticas, sociais, pública, desenvolvimento, reforma, recursos, fundamentais, Estados, fundamental, segurança, sistema, processo, importante, transparência, República, instituições, igualdade, população, poder, decisão, Senador, públicas, emenda, leis, crise"
0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
1,"sociais, social, democracia, importante, conquistas, Estado, democrático, avanço, avanços, história, destinos, Nação, anos, democrática, fundamental, cidadã, redemocratização, conquista, reforma, saúde, sistema, políticas, democráticos, significativo, promulgação, desenvolvimento, liberdade, grande, participação, retrocesso"
2,"segurança, pública, gestão, medida, processo, desenvolvimento, recursos, provisórias, apoio, social, econômico, regimentais, necessária, atuação, falta, parlamentares, públicas, conformidade, legitimidade, discussão, normas, comissões, debate, situação, cumprimento, nacional, funcionamento, fortalecimento, integridade, indicação"
3,"pública, saúde, provisórias, segurança, social, fundamentais, transparência, públicos, falta, emenda, aposentados, menção, sociais, medida, regulamentação, políticas, prática, administração, gestão, legislativo, avaliação, crítica, sistema, públicas, Executivo, recursos, cidadãos, público, controle, implementação"
4,"democracia, democrático, Estado, pilar, instituições, democrática, fundamental, democráticas, ameaça, regime, ordem, liberdade, democráticos, estabilidade, povo, ações, manutenção, Direito, processo, tentativa, liberdades, risco, ditadura, importante, poder, valores, leis, voto, desrespeito, ação"
5,"impeachment, processo, golpe, democracia, crime, Presidenta, legal, legítimo, político, Implícito, tentativa, políticos, crise, legitimidade, ordem, crimes, decisão, processos, democrático, necessário, ações, parlamentar, democrática, políticas, mecanismo, Câmara, poder, Estado, eleições, uso"
6,"Judiciário, Ministro, decisões, decisão, jurídica, judicial, ministros, democracia, judiciais, Legislativo, atuação, segurança, poder, processo, sistema, instituições, competência, Estado, mudanças, vontade, independência, ações, mandato, fundamental, controle, limites, União, prisão, questão, impunidade"
7,"educação, educacionais, educacional, qualidade, ensino, professores, recursos, Implícito, saúde, políticas, social, desenvolvimento, prioridade, investimento, importante, inclusão, Estado, sociais, pública, básica, fundamentais, escolas, piso, áreas, escola, públicas, investimentos, deficiência, pessoas, implementação"
8,"fiscal, fiscalização, transparência, gastos, gestão, públicos, Implícito, controle, Executivo, fiscais, econômica, recursos, administração, público, Estados, estabilidade, pública, Municípios, falta, contas, dinheiro, limites, fundamental, corrupção, necessário, Parlamento, emenda, financeira, diretrizes, Estado"
9,"conhecimento, desenvolvimento, regional, regionais, desigualdades, regiões, econômico, políticas, região, incentivos, integração, modelo, nacional, ambiental, redução, preservação, República, social, amazônica, Estado, soberania, objetivos, prorrogação, Amazônica, territorial, implementação, promoção, benefícios, anos, igualdade"
10,"trabalhadores, trabalhistas, reforma, trabalhista, trabalho, reformas, Implícito, sociais, retrocesso, escravo, previdência, terceirização, social, trabalhador, propostas, domésticos, condições, medida, salário, fundamentais, tentativa, dignidade, relações, mínimo, conquistas, escravidão, oradora, crítica, humanos, prejudicial"
