Topic,Rotulo
-1,"dezembro, votação, Sessão, bancada, Orientação, Leis, setembro, providências, julho, Dispõe, janeiro, medidas, âmbito, dispositivos, serviços, inciso, transporte, responsabilidade, nacional, eleições, autoria, uso, públicos, federal, primeiro, proposta, relativas, servidores, regras, público"
0,"último, Homenagem, transcurso, violência, Dia, corrente, brasileira, revista, artigo, brasileiro, crise, autoria, mulher, pronunciamento, crime, abril, jornalista, penal, Comemoração, mulheres, crescimento, mandato, junho, fevereiro, julho, Indignação, primeiro, centenário, criminalidade, falta"
1,"presidente, Presidência, governo, visita, eleição, política, cargo, apoio, pronunciamento, votação, eleições, providências, discurso, trabalhos, sentido, declarações, Senadores, Leitura, presença, federal, Governador, autoria, posicionamento, abertura, reforma, processo, pauta, afastamento, Repúdio, recente"
2,"falecimento, pesar, Pesar, Voto, Homenagem, voto, requerimento, cidade, presidente, mãe, escritor, médico, professor, aplauso, pai, Justificação, esposa, radialista, ilustre, aniversário, professora, corrente, transcurso, Justificativas, baiano, semana, atual, janeiro, falta, população"
3,"educação, professores, Professor, Dia, escolas, ensino, Homenagem, Comemoração, qualidade, transcurso, investimentos, área, desenvolvimento, piso, salarial, alunos, brasileira, estudantes, professor, básica, valorização, escolar, escola, audiência, brasileiros, educador, melhoria, autoria, sociedade, desempenho"
4,"judicial, União, cargo, indicação, processo, ministros, posse, instalação, Corte, liminar, fidelidade, declarações, partidária, favorável, admissão, Cumprimentos, vaga, Homenagem, mandatos, abertura, autoridades, Congratulações, requerimento, foro, Esclarecimentos, nome, Senadores, Voto, objetivo, novo"
5,"Discussão, Relator, parecer, Leis, providências, janeiro, julho, maio, serviços, disciplinar, públicas, hipóteses, março, fins, título, urgência, prática, dispositivo, direito, autoria, prestadoras, regras, relativas, medidas, entidades, arena, espetáculo, desportivo, lucrativos, prazos"
6,"coronavírus, pandemia, novo coronavírus, novo, vacinas, enfrentamento, vacinação, medidas, combate, aquisição, população, decorrente, dengue, Elogio, emergência, Exposição, pessoas, excepcionais, decorrência, auxílio, forma, Crítica, contratação, emergencial, crise, âmbito, internacional, apresentação, social, calamidade"
7,"Crítica, gestão, política, governo, econômica, críticas, crise, medidas, gastos, proposta, forma, oposição, crítica, reforma, setor, eleitoral, segurança, inflação, má, investimentos, má gestão, aposentados, modelo, parte, Criticas, Globo, último, orçamento, crescimento, empresas"
8,"autoria, projetos, tramitação, apoio, serviços, públicos, sentido, meio, proteção, regras, empregados, idade, trabalhadores, União, ambiente, valores, domésticos, interesse, assistência, inscrição, eleições, creches, orador, gratuidade, relatoria, ações, agilização, fundo, escolha, filhos"
