Topic,Rotulo
-1,"Constituição, emenda, Presidente, proposta, lei, República, Estado, direito, País, Congresso, reforma, direitos, povo, democracia, forma, Estados, anos, leis, saúde, pública, sociedade, projeto, brasileiro, ano, União, processo, legislação, sociais, Poder, texto"
0,"ano, orçamento, frente, , , , , , , , , , , , , , , , , , , , , , , , , , , "
1,"Constituição, emenda, proposta, lei, Senador, constitucional, propostas, projeto, cumprimento, Senado, saúde, Executivo, medidas, recursos, regulamentação, momento, processo, acordo, dever, discussão, provisórias, pessoas, vez, complementar, princípio, segurança, população, situação, tema, Estados"
2,"Constituição, direitos, Estado, social, promulgação, anos, direito, sociais, brasileira, conquistas, conquista, avanços, público, mulheres, cidadã, constitucional, brasileiros, grande, liberdade, maior, mesmo, processo, pacto, nova, homens, transformação, democrática, dia, Territórios, condição"
3,"Presidente, Constituição, Senadores, emenda, Senado, proposta, Senador, País, brasileira, constitucional, lei, direitos, medida, sociedade, vez, povo, direito, mandato, Estado, importante, dia, processo, constitucionais, projeto, forma, política, poder, cumprimento, fato, decisão"
4,"brasileira, Constituição, brasileiro, brasileiros, democracia, povo, direito, direitos, Estado, País, sociedade, anos, constitucional, emenda, cidadania, liberdade, lei, trabalho, pública, princípios, social, brasileiras, leis, luta, constitucionais, proposta, acesso, momento, vida, política"
5,"Constituição, inciso, arts, direito, União, artigo, direitos, disposto, saúde, matéria, emenda, Estado, II, proposta, princípios, IX, IV, acesso, cultura, forma, cumprimento, social, constitucionais, participação, administração, Presidente, vida, maior, culturais, nova"
6,"Constituição, Senado, direito, constitucional, emenda, respeito, projeto, responsabilidade, público, direitos, forma, processo, Estado, inclusão, Estados, administração, saúde, pessoas, cidadão, trabalho, sentido, acesso, compromisso, União, indígenas, sociedade, profissão, advogado, servidores, dever"
7,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
8,"Tribunal, Constituição, decisão, Presidente, Ministro, proposta, Justiça, Senador, constitucional, emenda, matéria, União, brasileira, direito, Estado, processo, respeito, anos, constitucionalidade, controle, sentido, dever, legalidade, cumprimento, pública, imediata, ato, nova, acordo, apoio"
9,"democrático, democrática, Estado, direito, Constituição, democracia, País, respeito, princípios, mais, defesa, regime, liberdade, sociedade, regras, mandato, cumprimento, políticas, sólida, fundamentais, direitos, forma, republicana, cidadania, alta, juramento, jogo, consolidação, limites, dia"
10,"impeachment, golpe, Constituição, processo, crime, previsto, responsabilidade, constitucional, Presidenta, Presidente, legal, Senado, instrumento, democracia, base, instituto, brasileira, Estado, claro, jurídico, clara, pedido, democrático, violação, caso, fundamentado, direitos, atalho, mesmo, militares"
11,"Casa, emenda, Constituição, PEC, proposta, propostas, projeto, Senado, constitucional, dias, Municípios, Estados, mesmo, lei, Justiça, primeiro, entendimento, Plenário, forma, mais, autoria, período, texto, constitucionais, compromisso, País, Regimento, matéria, Presidente, população"
