Topic,Rotulo
-1,"direitos, documento, instrumento, democracia, marco, fundamentais, importante, direito, sociais, social, Estado, atual, justiça, democrático, brasileira, governo, proteção, trabalhadores, desenvolvimento, cidadania"
0,"direitos, documento, marco, instrumento, importante, democracia, fundamentais, justiça, atual, relação, democrático, social, direito, Estado, trabalhadores, igualdade, essencial, pilar, saúde, regional"
1,"documento, democracia, direitos, marco, social, clara, Estado, fundamental, avanço, instrumento, pilar, impeachment, democrático, atual, indígenas, direito, importante, proteção, anos, Estados"
2,"marco, instrumento, brasileira, direitos, documento, sociedade, Estado, democracia, pilar, importante, medidas, fundamentais, provisórias, social, justiça, proteção, redução, conquista, públicas, governo"
3,"documento, direitos, instrumento, democracia, importante, marco, sociais, públicos, essencial, parlamentar, brasileiro, relação, governo, proteção, forma, regionais, recursos, participação, papel, processo"
4,"documento, necessidades, direitos, democracia, relação, instrumento, país, marco, responsabilidades, desenvolvimento, fundamental, pilar, sociais, entes, falhas, importantes, políticas, provisórias, Executivo, Judiciário"
5,"direitos, fundamentais, documento, igualdade, instrumento, democracia, educação, marco, civis, social, justiça, direito, política, obrigações, equilíbrio, Estados, lei, pessoas, sociais, ditadura"
6,"documento, importante, igualdade, desenvolvimento, direitos, política, democracia, governo, responsável, trabalhadores, base, fundamentais, nacional, administração, cidadã, liberdade, mínimo, instrumento, marco, nacionais"
7,"documento, democracia, importante, marco, pilar, justiça, políticas, social, legislativa, instrumento, direitos, responsabilidade, lei, transparência, essencial, territorial, religiosa, democrática, Estado, liberdade"
8,"política, estabilidade, instrumento, fundamentais, país, direitos, relação, marco, indígenas, pilar, fiscal, quilombolas, combate, processo, corrupção, direito, democracia, especial, brasileiro, povos"
9,"política, marco, fundamental, pilar, democracia, essencial, nacional, externa, defesa, administrativa, documento, processo, impeachment, democrático, insuficiente, direitos, tecnologia, democráticas, guia, justiça"
10,"sociais, instrumento, direitos, documento, igualdade, novos, jurídico, autoridades, garantia, justificativa, população, trabalhadores, marco, processo, impeachment, claro, justiça, transparência, avanço, direito"
11,"documento, democracia, marco, justiça, direitos, brasileiro, legais, social, proteção, claras, importante, educação, fundamental, competências, indígenas, povos, sistema, instrumentos, procedimentos, desafios"
12,"leis, desigualdades, econômica, documento, social, medidas, fundamentais, defesa, inconstitucionais, valores, provisórias, maior, direitos, regionais, instrumento, termos, caso, justiça, democracia, Estado"
13,"instrumento, justiça, democracia, princípio, brasileira, cidadania, fundamental, importante, termos, proteção, pilar, documento, direitos, significativo, avanço, marco, educação, defesa, sociedade, essencial"
14,"respeito, direitos, democrática, regulamentação, documento, saúde, desenvolvimento, resistência, fundamentais, discussão, inclusão, importante, pública, igualdade, provisórias, democracia, instrumento, medidas, segurança, práticas"
15,"leis, públicos, área, instrumento, trabalhadores, documento, limites, gastos, intervenção, governo, direitos, saúde, essenciais, social, trabalhistas, sistema, promoção, legitimidade, justa, avanços"
16,"clara, direitos, alinhada, transparência, salvaguarda, política, norma, relação, pública, garantia, situação, saúde, Senado, documento, regime, segurança, compromisso, democrática, grande, público"
17,"significativa, documento, parlamentares, importante, fundamentais, leis, melhor, decisões, marco, aposentados, educação, poderes, vontade, tributária, brasileira, respeito, gestão, direitos, população, modelo"
18,"essencial, serviços, política, direito, instrumento, guia, consonância, importantes, livre, sociais, princípios, direitos, documento, organização, sociedade, proteção, servidores, justa, saúde, públicos"
19,"excessivo, adequada, história, marco, documento, normas, professores, saúde, piso, retrocesso, fundamentais, recursos, realidade, educacional, pública, direitos, provisórias, aplicação, adolescentes, importante"
20,"tributário, econômico, compromisso, desenvolvimento, sustentável, dorsal, vontade, espinha, documento, jurídica, estados, democracia, Estado, cidadania, direitos, sistema, marco, democrático, importância, sociais"
21,"parlamentares, eficiência, impeachment, prerrogativas, direitos, documento, princípios, brasileiros, recursos, investimentos, educação, naturais, áreas, regras, ambiente, necessidades, construção, Senado, processos, direito"
22,"Estado, redemocratização, clara, situações, fundamentais, brasileira, social, eficaz, terras, direitos, documento, hediondos, poderes, republicanas, instituições, democracia, punição, excepcionais, princípios, policiais"
23,"Municípios, encargos, justiça, econômicos, participação, popular, necessários, importante, instrumento, democracia, marco, fundamentais, recursos, administração, uso, legislativo, proteção, baluarte, criação, pública"
24,"nacional, estruturais, comunidades, problemas, positivo, políticos, atribuições, redução, obrigações, autoridades, liberdades, vida, documento, sociais, legitimidade, soberania, impeachment, fiscal, quilombolas, complexos"
25,"sólida, gênero, democrático, igualdade, estados, conquista, entes, política, recursos, uso, promoção, luta, educação, instrumento, desigualdades, culto, novos estados, única, intenção, democracia"
