Topic,Words,Frequency,Timestamp
-1,"destaca importância, critica, propõe, Estado, aprovação",169,2007
0,"visa, PEC visa, apoia, aprovação, defende aprovação",41,2007
1,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, fidelidade partidária",11,2007
2,"Brasil, brasileiro, brasileira, Venezuela, Brasil defende",41,2007
3,"salário mínimo, vida pessoal, Exame, Exame Ordem, mudança",22,2007
4,"educação, DRU, direito educação, Educação, educação defende",28,2007
5,"fiscalização, fiscalizar, fiscal, Lei Responsabilidade, Responsabilidade",27,2007
6,"importância, destaca importância, trabalhadores, importância respeitar, enfatiza importância",19,2007
7,"critica, falta, critica falta, governo, governo federal",22,2007
8,"financeira, financeiros, financiamento, saúde, garantir financiamento adequado",21,2007
9,"presidencial, terceiro mandato presidencial, mandato presidencial, Presidente, Presidente Senado",15,2007
10,"terras, terras indígenas, demarcação, demarcação terras, demarcação terras indígenas",11,2007
11,"penal, crimes, maioridade penal, redução maioridade, redução maioridade penal",22,2007
12,"CPI, instalação, CPIs, instalação CPI, CPI Apagão",12,2007
13,"políticas, públicas, políticas públicas, implementação, defende implementação",15,2007
14,"voto aberto, propõe voto, propõe voto aberto, garantindo todos, transparência",13,2007
15,"Brasil, destaca importância, destaca importância marco, importância, Brasil destaca importância",13,2007
17,"regulamentação, polícias, permitir, necessidade maior respeito, Executivo alinhando princípios",8,2007
19,"medicamentos, medidas, saúde propõe, garantir acesso, medidas provisórias",10,2007
20,"tributária, reforma tributária, reforma, necessidade reforma tributária, necessidade reforma",9,2007
21,"Senado Federal, eleições diretas suplentes, Justiça Federal, Polícia Federal, Distrito Federal",12,2007
22,"regulamentação Emenda, regulamentação, pública, saúde pública, defende regulamentação",12,2007
23,"royalties, petróleo, prioritariamente, ações segurança pública, ou não",2,2007
24,"decisão Conselho Monetário, destacando contradição entre, relação destacando contradição, contrária espírito, decisão Conselho Monetário Nacional",2,2007
26,"reforma política, reforma, política, participação feminina, política tramitação",6,2007
27,"vetos, vetos presidenciais, presidenciais, veto, apreciar",4,2007
28,"transformação, importância transformação, destaca importância transformação, desenvolvimento, importância transformação Roraima",3,2007
30,"medidas provisórias, medidas, critica uso, uso excessivo, uso excessivo medidas provisórias",17,2007
31,"Regimento, Regimento Interno, Regimento Interno Senado, Interno Senado, regimentais",9,2007
