Topic,Rotulo
-1,"vida, direitos, Presidente, emenda, brasileira, saúde, Senado, forma, proposta, anos, democracia, povo, social, liberdade, União, política, princípio, brasileiro, segurança, recursos, brasileiros, trabalho, respeito, sociais, bem, medida, poder, educação, pessoas, mandato"
0,"Presidente, República, inciso, emenda, crime, Senado, União, brasileira, direitos, responsabilidade, proposta, Lei, termos, competência, processo, pública, artigo, desigualdades, projeto, Estados, mandato, caso, sociais, constitucionais, saúde, dever, mesmo, leis, arts, princípio"
1,"anos, promulgação, direitos, liberdade, social, outubro, Presidente, trabalhadores, brasileira, marco, Estados, sistema, dia, expressão, terras, importante, sociedade, democracia, indígenas, sociais, saúde, servidores, democrático, Território, mulheres, processo, pacto, regime, recursos, princípios"
2,"decisão, Ministros, Presidente, inconstitucional, processo, União, brasileira, votos, última, anos, membros, competências, autoridades, político, medida, leis, partidária, federais, dia, crime, política, artigo, notável, missão, jurídico, mandato, incisos, provisória, artigos, maioria"
3,"impeachment, melhor, processo, Presidente, golpe, crime, Cada, esperança, possível, previsto, responsabilidade, vez, nova, Presidenta, Senado, julgamento, pedido, legal, base, brasileira, político, mandato, jurídico, poder, preciso, instituto, decisão, democracia, maioria, democrático"
4,"educação, ensino, dever, professores, básica, escola, anos, escolas, família, idade, saúde, acesso, sociedade, colaboração, Estados, educacional, pleno desenvolvimento, preparo, médio, brasileira, piso, trabalho, pleno, exercício, crianças, qualificação, infantil, desenvolvimento, fundamental, profissionais"
5,"orador, importância, poderes, discurso, independência, necessidade, separação, constitucionais, democracia, autonomia, emenda, menção, princípios, relacionado, referência, direitos, equilíbrio, normativa, igualdade, alinhado, desenvolvimento, projetos, políticas, regional, implícita, violação, federativo, aprovação, hierarquia, contrárias"
6,"mínimo, salário, Ministro, Ministros, ministro, ministros, mínima, prerrogativa, ilibada, Presidente, vinculação, salários, Senado, decisão, notório, renda, clara, anos, mínimos, condições, piso, jurídico, lugar, aposentadorias, aposentadoria, reajuste, reputação, jornalista, acordo, amigo"
7,"Regimento, regimental, Senado, Presidente, questão, sessão, mesmo, ordem, acordo, leis, Regimentos, momento, urgência, fato, tempo, CPI, votação, cima, legal, posse, dia, partido, princípio, respeito, situação, secreto, indicações, partidárias, nomes, matéria"
8,"Municípios, saúde, Estados, educação, fundos, União, constitucionais, prefeitos, dinheiro, orçamentos, bolo, receita, receitas, Prefeitos, ano, líquida, investimentos, recursos, obrigação, governadores, Presidente, Orçamento, divisão, corrente, acordo, emenda, bolão, menos, força, participação"
9,"petróleo, exploração, Estados, União, royalties, Municípios, natural, compensação, mar, produtores, participação, resultado, continental, recursos, energia, plataforma, territorial, elétrica, território, minerais, combustíveis, órgãos, termos, destino, financeira, direta, origem, administração, lavra, jazidas"
10,"provisória, medida, urgência, medidas, provisórias, relevância, edição, Executivo, matéria, emenda, pressupostos, apreciação, urgentes, proposta, constitucionais, aprovação, admissão, matérias, inconstitucionais, Senado, relevantes, prazos, tramitação, clara, primeiro, tempo, necessário, projeto, respeito, oportunidade"
11,"Câmara, Deputados, Senado, emenda, proposta, projeto, Senadores, quintos, votos, entendimento, época, recursos, constitucionalidade, segundo turno, pior, constituintes, dia, turno, tarefa, Executivo, federais, dispositivos, comissão, problema, sessão, vezes, inconstitucional, sentido, segundo, iniciativa"
12,"criança, adolescente, família, prioridade, crianças, absoluta, absoluta prioridade, adolescentes, sociedade, convivência, comunitária, profissionalização, alimentação, dignidade, familiar, dever, lazer, cultura, crueldade, opressão, violência, proteção, exploração, vida, respeito, salvo, educação, discriminação, saúde, liberdade"
13,"cidadã, Carta, democracia, cidadania, Presidente, outubro, liberdade, direitos, promulgação, conjunto, brasileira, dia, equívoco, bandeira, sociais, arcabouço, responsável, garantias, liberdades, cidadão, resultado, elaboração, palavra, brasileiros, anos, novo arcabouço, desespero, fundamentais, brasileiro, novo"
14,"ambiente, meio, ecologicamente, ambiental, gerações, futuras, futuras gerações, coletividade, essencial, qualidade, comum, uso, presentes, vida, dever, bem, povo, poder, público, ambientais, competência, artigo, área, principal, sociedade, política, patrimônio, questões, regulamentação, brasileiro"
