Topic,Words,Frequency,Timestamp
-1,"Não aplica, Não, menciona, defende, critica",161,2007
0,"Não, Não aplica, aplica Não, aplica Não aplica, Não aplica Não aplica",239,2007
1,"aplica, Não, Não aplica, aplica Não aplica, aplica Não",241,2007
2,"aplica, Não aplica, Não, governo, governo federal",51,2007
3,"não, democracia, menciona, menciona discutir, Não aplica",38,2007
4,"aplica No aplica critica, aplica critica atual situação, pública Não aplica Não, excessivo medidas provisórias Executivo, não permitir",10,2007
5,"exploração recursos, regulamentação, recursos minerais, Presidentes, exploração recursos naturais",12,2007
6,"transparência, autonomia, sistema político, reforma política, Não aplica",25,2007
7,"normas legais, ela igualdade, positivos, igualdade, democrático Ele",9,2007
8,"diminuir, ensino, serviços, critica, menciona",20,2007
9,"paternidade, aplica menciona forma positiva, Não aplica menciona forma, aplica menciona forma, Não aplica menciona",19,2007
10,"exalta importância, público, positiva, cidadania plena, combater desigualdades",19,2007
11,"Não aplica, Não, menciona, mas, critica",4,2007
12,"aplica, Não aplica, aplica Não, aplica Não aplica, Não aplica Não",1,2007
13,"aplica aplica, No aplica, aplica, Não aplica, Não",5,2007
14,"discriminação, governo tentar, qualquer forma discriminação, forma discriminação, CPMF",9,2007
15,"avaliação positiva ou negativa, avaliação positiva ou, faz avaliação positiva ou, faz avaliação positiva, não faz avaliação positiva",7,2007
16,"aplica Não aplica Não, menciona específicos garantem, menciona específicos, importância obedecer, Não aplica Não aplica",9,2007
17,"recursos destinados, FGTS, regulamentação Emenda, sociais Brasil, área",9,2007
18,"direito defesa, considera positivo, Lei Maria, Lei Maria Penha, Maria Penha",7,2007
19,"direitos, menciona, constitucional, sociais, opinião clara si",2,2007
20,"Não aplica, Não, Não aplica Não aplica, Não aplica Não, aplica",2,2007
21,"projeto lei, não discriminação, la Não, la Não aplica, compromisso Federal",17,2007
22,"Não aplica Não, Não aplica Não aplica, aplica Não aplica, aplica Não, Não aplica",5,2007
23,"estrangeiros, voto, secreto, menciona papel, afirmando está",8,2007
24,"manter direitos, Pública União, Defensoria Pública União, eliminar desigualdades, mencionar emenda",11,2007
26,"vereadores, deve cumprido, autonomia política, esperança, símbolo",5,2007
27,"polícias, critica utilização excessiva, excessiva medidas provisórias, excessiva medidas, petróleo energia elétrica",15,2007
28,"trabalho livre, trabalho livre iniciativa, valores sociais trabalho, papel redemocratização Brasil, valores sociais",5,2007
29,"considera distorção, critica ter introduzido, Pública União, Legislativo Ele, Defensoria Pública União",8,2007
