Topic,Rotulo
-1,"direito, direitos, Estado, lei, Senado, União, processo, saúde, República, Estados, Presidente, liberdade, impeachment, social, Municípios, brasileira, responsabilidade, fundamentais, recursos, pública"
0,"direitos, direito, Estado, lei, pública, social, União, constitucional, saúde, recursos, Senado, trabalhadores, Estados, liberdade, iguais, princípio, política, anos, emenda, Municípios"
1,"direitos, sociais, parlamentares, princípios, Estado, direito, Municípios, democrático, papel, liberdade, dever, trabalho, Estados, saúde, impessoalidade, processo, emendas, Presidente, legalidade, moralidade"
2,"lei, direitos, responsabilidade, indígenas, direito, meio, impeachment, leis, crimes, salários, Estado, projetos, invioláveis, privada, pessoas, País, operações, Senado, ambiente, social"
3,"sociais, direito, direitos, nova, Estados, dever, educação, Estado, públicos, caminho, saúde, Presidente, voto, servidores, União, previdenciários, indígenas, anos, principais, organização"
4,"educação, fundamentais, direitos, Estado, públicas, poderes, governo, direito, social, popular, criação, princípios, exercício, sociais, gastos, trabalho, igualdade, União, povo, tipo"
5,"direitos, recursos, Senado, responsabilidade, Presidente, União, crime, social, provisórias, eleitorais, públicas, educação, medidas, Estado, compensação, direito, poderes, exploração, medida, meio"
6,"lei, educação, polícia, Governador, social, direitos, advogado, atribuição, provisórias, penal, medidas, federais, mandato, propostas, serviço, condição, Executivo, casos, pública, Judiciário"
7,"União, política, mulheres, extraordinário, provisórias, Estados, medidas, saúde, País, Municípios, recursos, constitucional, proposta, possibilidade, piso, Presidente, participação, controle, direito, independência"
8,"crimes, eleições, nacional, competências, Plenário, Senado, Estado, voto, construção, leis, matérias, desenvolvimento, segurança, prisão, Regimento, abertura, criação, anos, tortura, crédito"
9,"bem, preconceitos, processo, direito, sociedade, sistema, social, possibilidade, liberdade, nuclear, democracia, grave, discriminação, Presidente, subsídio, vigência, lei, calamidade, Estado, eleições"
10,"prevista, União, abusos, despesa, crianças, direito, Judiciário, adolescentes, criação, capital, nacional, lei, redução, base, distinção, famílias, fixa, impeachment, Congresso, classe"
11,"salário, cidadãos, forma, União, Estado, direito, sexo, cor, estado, civil, acesso, benefícios, capaz, reputação, ilibada, mínimo, calamidade, lei, Justiça, sessão"
12,"competência, legislativa, trabalhadores, última, Estado, União, segurança, Presidente, adolescentes, trabalho, Congresso, pública, ambiente, militares, Senado, período, Executivo, última instância, educação, receita"
13,"democracia, liberdade, básica, legal, direito, educação, direitos, exercício, trabalho, princípios, consolidação, cargos, nacional, expressão, manifestação, cidadania, gastos, pleno, precatórios, pessoa"
14,"exercício, votos, democracia, trabalhistas, maioria, Senado, populares, opiniões, livre, federativo, história, transparência, direitos, voto, Estado, legalidade, livre exercício, sessões, pública, direito"
15,"digna, iniciativa, escolha, União, direito, curso, Estados, concorrente, inabilitação, mínimo, repartição, saúde, direitos, tributárias, social, sigilo, pena, pagamento, educação, realização"
16,"sessão, partidária, correção, princípio, diferentes, direito, mudança, proporcionalidade, saneamento, federal, saúde, provisória, povos, serviços, Estados, medida, governo, legislativa, mesma, direitos"
17,"impeachment, valor, novos Estados, aposentadorias, votação, secreta, terras, dias, verbas, indígenas, sistema, salário, mínimo, proteção, administração, responsabilidade, deliberação, regras, legislativa, dignidade"
18,"setor, orçamentos, impeachment, saúde, eleição, cidadania, vigor, regiões, fundamental, direito, processo, liberdade, tributos, existência, Estado, legislação, condições, educação, provisórias, cartões"
19,"indígenas, acesso, obrigatória, suplentes, meio, normativos, Senadores, próprio, básicos, políticas, adolescentes, brasileiros, públicos, condenação, integração, respeito, atos, informações, termos, Estado"
