Topic,Rotulo
-1,"importância, direitos, direito, democracia, constitucional, respeito, processo, Estado, clara, princípios, opinião, social, marco, constitucionais, relação, forma, fundamentais, emenda, positiva, papel"
0,"importância, direitos, direito, constitucionais, respeito, Estado, clara, democracia, opinião, relação, constitucional, processo, necessidade, papel, princípios, governo, sociais, lei, positiva, proteção"
1,"importância, direitos, constitucionais, constitucional, direito, clara, opinião, democracia, respeito, princípios, relação, necessidade, processo, papel, marco, Estado, política, liberdade, emenda, brasileira"
2,"importância, direitos, relação, clara, Estado, opinião, constitucional, marco, forma, fundamentais, constitucionais, positiva, cumprimento, governo, respeito, educação, necessidade, lei, medidas, falta"
3,"importância, Estado, direitos, constitucionais, clara, democracia, opinião, direito, constitucional, democrático, medidas, decisão, necessidade, social, papel, relação, princípios, indígenas, positiva, terras"
4,"importância, constitucionais, respeito, direitos, processo, direito, Estado, princípios, opinião, clara, constitucional, criação, apoio, relação, papel, necessidade, saúde, lei, proteção, cumprimento"
5,"importância, direitos, positiva, opinião, clara, relação, constitucionais, respeito, democracia, Estados, visão, direito, igualdade, constitucional, saúde, proteção, recursos, lei, princípios, garantia"
6,"direitos, importância, sociais, direito, democracia, constitucionais, emenda, respeito, decisão, Estado, necessidade, Estados, responsabilidade, Congresso, preocupação, medidas, reforma, igualdade, visão, positiva"
7,"direitos, legislação, constitucionais, impeachment, importância, constitucional, respeito, lei, opinião, clara, criação, igualdade, decisão, petróleo, Governador, cumprimento, processo, democracia, proteção, Estado"
8,"importância, direitos, democracia, direito, relação, clara, democrático, lei, opinião, jurídica, garantias, brasileira, trabalhadores, respeito, sociais, apoio, liberdade, marco, emenda, saúde"
9,"importância, impeachment, respeito, processo, Presidente, cumprimento, direitos, constitucionais, instrumento, Estado, proteção, sistema, proposta, democracia, liberdade, direito, responsabilidade, papel, defesa, elaboração"
10,"direitos, respeito, importância, lei, sociais, leis, democracia, educação, Estado, forma, constitucionais, reformas, desenvolvimento, atual, públicos, salário, mínimo, necessidade, União, papel"
11,"importância, direito, constitucionais, respeito, direitos, defesa, democracia, atuação, Estado, princípios, opinião, apoio, papel, brasileira, criação, clara, terras, Senado, contexto, ordem"
12,"política, decisão, princípios, constitucionais, Estado, importância, humanos, direitos, positiva, exclusiva, constitucional, sociedade, brasileira, respeito, fundamentais, Ministro, forma, papel, marco, competência"
13,"constitucionais, importância, governo, impeachment, constitucional, direitos, democracia, político, respeito, Estado, cumprimento, golpe, processo, proteção, papel, direito, reformas, decisão, ensino, falta"
14,"clara, importância, opinião, necessidade, governo, medidas, saúde, constitucional, social, legislação, atual, forma, interpretação, direitos, pena, emenda, mudanças, Estado, inclusão, provisórias"
15,"democrático, direitos, marco, clara, opinião, importância, proteção, processo, Judiciário, moralidade, relação, princípios, fundamentais, pública, Presidente, desenvolvimento, sistema, social, direito, necessidade"
16,"princípio, importância, direitos, fundamentais, popular, saúde, direito, bandeira, soberania, papel, cidadãos, relação, social, transformação, Estado, educação, democracia, objetivos, salário, mínimo"
17,"opinião, relação, clara, saúde, resultados, importância, direitos, terras, petróleo, indígenas, recursos, democracia, consolidação, constitucionais, demarcação, Estados, culturais, área, interpretação, emendas"
18,"opinião, clara, importância, constitucional, Congresso, brasileira, direito, relação, processo, constitucionais, lei, legislativo, acordo, históricos, defesa, necessidade, devido processo, princípios, anos, positivo"
19,"direitos, constitucional, sociais, importância, clara, impeachment, comércio, opinião, necessidade, proposta, saúde, social, relação, princípios, emenda, legalidade, princípio, pública, processo, Estado"
20,"apoio, importância, direitos, fundamentais, história, lei, clara, cargos, democracia, opinião, subsequentes, carreira, liberdade, sociais, social, marco, servidores, civis, importantes, democrático"
21,"princípios, direitos, públicos, democratização, constitucionais, respeito, importância, questão, valores, democracia, ideia, construção, igualdade, inquérito, independência, educação, brasileira, valor, emenda, fundamentais"
22,"Presidente, processo, importância, tribunais, necessidade, agentes, impeachment, opinião, clara, pacto, povo, poder, contexto, regras, aprovação, Estados, constitucional, transporte, devido processo, constitucionais"
23,"direitos, estrangeiros, proposição, importância, lei, fundamentais, igualdade, voto, social, secreto, garantias, iniciativa, leis, constitucionais, direta, positiva, decisão, opinião, clara, original"
24,"grau, importância, direitos, democracia, exclusiva, jurisdição, verdadeira, emenda, forma, constitucional, atendimento, pena, constitucionais, aposentados, leis, respeito, princípio, igualdade, assistência, deficiência"
25,"saúde, discurso, direito, apoio, importância, ditatorial, brasileiro, direitos, forma, sociais, escravo, tempos, trabalho, povo, emenda, Estado, constitucional, marco, royalties, manutenção"
26,"social, significativos, atuação, participação, mandato, direitos, estado, sistema, território, pública, marco, importância, princípios, país, Judiciário, democrático, ativismo, brasileira, expressão, golpe"
27,"advogados, constitucionais, respeito, polícias, avanço, manifestações, poderes, democracia, legislativas, transparência, autonomia, emendas, previsões, brasileira, provisórias, atos, importância, significativo, positiva, defesa"
28,"processo, impeachment, compromisso, norma, democracia, importância, conformidade, constitucional, ambiental, brasileira, sábia, Defensoria, forma, positiva, patrimônio, petróleo, legalidade, cultural, pleno, Congresso"
29,"garantia, relação, importância, educação, direitos, preceitos, constitucionais, pilar, sociais, população, drogas, importante, direito, opinião, sintonia, específica, arcabouço, competência, democracia, princípios"
30,"áreas, futuro, educação, direitos, Previdência, recursos, falta, Congresso, importância, nucleares, constitucional, desvinculação, saúde, princípio, mulheres, preocupação, povo, greve, governo, vetos"
31,"sociais, constitucionais, Estado, moradia, dignidade, trabalho, positiva, eficiência, federal, importância, preâmbulo, direitos, humana, distribuição, importante, pessoas, recursos, respeito, proteção, país"
32,"redução, momento, escolha, importância, marco, partidos, temporal, social, necessidade, prevista, visão, direito, educação, democracia, saúde, positiva, Estados, sintonia, constitucional, falta"
33,"atual, Estado, país, importância, direito, anterior, fundos, concentração, Municípios, autonomia, relação, governo, adequado, União, disposições, estado, ações, federativo, opinião, dispositivos"
34,"direitos, segurança, constitucionais, provisória, importância, respeito, relação, medida, ações, Estado, parlamentarismo, princípios, legal, violação, sociais, saúde, social, direito, pública, descontentamento"
35,"marco, importância, constitucional, direitos, trabalho, positiva, profissionais, visão, categorias, terras, forma, redemocratização, momentos, direito, nacional, papel, político, históricas, econômicas, progresso"
36,"povos, drogas, indígenas, direitos, cumprimento, desigualdade, tentativa, documento, prejudicial, concessão, direito, avanços, Estado, forma, clara, constitucional, necessidade, papel, serviços, significativos"
37,"direito, Estado, dever, Senado, estabilidade, tributária, desenvolvimento, saúde, programa, opinião, necessidade, clara, parlamentares, democrática, democrático, importância, direitos, estabelecido, falta, relação"
38,"terrorismo, texto, democracia, relação, individuais, cassação, brasileira, processo, uso, direito, estrutura, judicial, Regimento, propriedade, medidas, financiamento, ações, pilar, soberania, Congresso"
39,"cargo, produtores, mobilidade, sociais, fontes, acessibilidade, direitos, normalidade, importância, importantes, visão, país, idosos, Senado, requisitos, processo, direito, leis, militar, positiva"
40,"impeachment, responsabilidade, processo, base, democracia, golpe, constitucional, saúde, crime, importância, justiça, legalidade, respeito, referência, cidadania, liberdade, uso, emenda, direitos, casos"
