Topic,Rotulo
-1,"aprovação, criação, recursos, decisão, conformidade, política, social, pública, desenvolvimento, saúde, políticas, medidas, inconstitucional, segurança, Estado, proposta, emenda, Estados, reforma, trabalhadores, provisórias, princípio, governo, participação, legislação, popular, papel, inclusão, responsabilidade, transparência"
0,"aprovação, proposta, emenda, conformidade, saúde, União, pública, recursos, social, Estados, trabalho, sistema, educação, Estado, trabalhadores, desenvolvimento, criação, implementação, financiamento, terras, assistência, brasileiro, autonomia, brasileiros, princípio, pessoas, reforma, situação, regulamentação, ambiental"
1,"impeachment, Presidente, responsabilidade, crime, base, golpe, legal, legitimidade, crimes, inconstitucional, legais, violação, devido, abertura, procedimentos, mandato, devido processo, afastamento, pedido, jurídica, tentativa, normas, medida, acusações, defesa, respeito, Estado, popular, ação, então"
2,"brasileiro, democracia, brasileira, política, brasileiros, sistema, Estado, reforma, social, emenda, reformas, político, integração, defesa, aprovação, cláusula, país, respeito, políticas, democrática, eleitoral, desenvolvimento, mudanças, legislação, países, justiça, externa, conformidade, paz, institucional"
3,"decisão, atuação, decisões, prisão, relação, Ministro, questão, constitucionalidade, União, Justiça, julgamento, medidas, mandato, casos, Judiciário, emenda, aplicação, inconstitucionais, crimes, foro, independência, expressão, provisórias, partidária, maior, necessário, legislação, políticos, nomeação, cargos"
4,"Estado, transformação, desenvolvimento, criação, políticas, política, democráticos, papel, democracia, públicas, histórica, elaboração, avanços, defesa, estado, cidadãos, essencial, democrática, participação, reforma, trabalhadores, local, representação, regional, implementação, administração, acesso, Estados, políticos, país"
5,"educação, professores, recursos, educacional, ensino, educacionais, qualidade, saúde, escolas, básica, universidades, cumprimento, implementação, aprovação, projeto, públicas, crianças, nacional, profissionais, metas, piso, pública, pessoas, salarial, governo, autonomia, social, aplicação, superior, igualdade"
6,"liberdade, foro, expressão, democracia, princípio, democrático, emenda, proteção, igualdade, Estado, prisão, projeto, proposta, imunidade, jurídica, legislação, justiça, mudança, tentativa, segurança, prerrogativas, leis, mandatos, defesa, Parlamento, política, legais, acordo, alteração, garantias"
7,"fiscal, fiscalização, papel, controle, responsabilidade, gastos, públicos, fiscalizador, Executivo, recursos, transparência, Congresso, cumprimento, governo, contas, relação, medidas, país, gestão, público, Estados, normas, maior, limites, Municípios, respeito, atuação, leis, aprovação, pública"
8,"Presidente, Presidência, presidencial, mandato, eleições, diretas, vacância, caso, cargo, presidenciais, decreto, Regimento, crise, terceiro, política, terceiro mandato, emenda, inconstitucional, eleição, possibilidade, julgamento, reeleição, anos, Presidentes, novas eleições, medidas, ano, provisórias, proposta, legalidade"
9,"terras, indígenas, demarcação, temporal, marco, demarcações, comunidades, aprovação, jurídica, quilombolas, exploração, projeto, áreas, Estado, proteção, indígena, mineração, contínua, outubro, ambiental, revisão, interpretação, regularização, nacional, novo, decisão, públicas, soberania, fundiária, minerais"
10,"democracia, trabalhadores, crise, Deficiência, pessoas, deficiência, respeito, igualdade, trabalho, política, liberdade, Convenção, inclusão, tempos, momentos, fundamental, contexto, papel, sociedade, país, pilar, emenda, leis, consumidor, desenvolvimento, jornada, mesmos direitos, recursos, rurais, mesmos"
11,"falta, governo, atuação, relação, saúde, gestão, cumprimento, pública, política, ações, ação, públicos, administração, políticas, federal, Estado, práticas, indígenas, segurança, autoridades, obrigações, recursos, igualdade, públicas, postura, inconstitucional, revisão, efetivas, competência, decisão"
12,"penal, crimes, crime, maioridade, legislação, terrorismo, religiosa, redução, projeto, liberdade, criminalização, penas, discriminação, hediondos, proteção, anos, conformidade, casos, homofobia, combate, responsabilização, responsabilidade, violência, novo, revisão, prisão, segurança, sociedade, garantias, criminalidade"
13,"CPI, instalação, CPIs, fiscalização, criação, minoria, investigação, investigações, requisitos, irregularidades, corrupção, minorias, requerimento, transparência, instauração, instrumentos, base, governo, futebol, mesmo, fiscalizadora, funcionamento, função, uso, leitura, corporativos, cartões, parlamentar, regimentais, respeito"
14,"políticas, públicas, implementação, igualdade, social, gênero, inclusão, cidadania, cotas, dignidade, mulheres, desenvolvimento, eficazes, conformidade, meio, econômico, oportunidades, programas, humana, raciais, acessibilidade, pessoa, afirmativas, promoção, moradia, municípios, liberdade, redução, desigualdade, produção"
15,"emenda, Senador, mandato, proposta, compromisso, projeto, transparência, suplentes, propostas, voto, votação, maior, leis, aprovação, União, conformidade, parlamentar, constitucionalidade, alteração, Estados, ensino, decoro, proteção, distorção, suficiente, prática, receita, uso, líderes, contribuições"
16,"financeira, autonomia, financiamento, saúde, recursos, municípios, financeiros, União, financeiras, regulamentação, adequado, aprovação, pública, entes, distribuição, administrativa, emenda, orçamentária, obrigações, gestão, federativos, ações, segurança, repasse, fundo, investimentos, participação, custeio, mínimos, criação"
17,"marco, democracia, consolidação, brasileira, redemocratização, democrática, papel, transição, política, social, construção, democrático, estabilidade, elaboração, econômica, Estado, partido, país, consonância, proteção, legitimidade, implementação, autoritário, regime, segurança, cidadãos, aliados, defensor, retorno, ameaças"
18,"federal, intervenção, pública, segurança, servidores, Congresso, cumprimento, ordem, Estado, livre, defesa, aprovação, regionais, emenda, suplentes, corrupção, legalidade, ações, emendas, área, estadual, poder, leis, proposta, devido, justiça, iniciativa, constituições, combate, garantias"
19,"royalties, petróleo, distribuição, Estados, produtores, Municípios, redistribuição, exploração, equitativa, recursos, projeto, compensação, brasileiros, estados, gás, artigo, financeira, União, naturais, legislação, alteração, conformidade, proposta, justa, tratamento, princípio, jurídico, ordinária, beneficie, plataforma"
20,"tributária, reforma, tributário, sistema, Estados, carga, energia, justiça, federativo, distribuição, elétrica, cobrança, atual, proposta, fiscal, pacto, autonomia, redução, brasileiro, econômico, desigualdades, eficiente, tributárias, financeira, regionais, econômica, imunidade, simplificação, produtores, distorções"
21,"inciso, regulamentação, projeto, alteração, aprovação, recursos, Estados, emenda, União, cumprimento, criação, manutenção, prazo, distribuição, polícias, anos, municípios, locais, pena, maior, crimes, XLIII, arts, respeito, critérios, regime, viabilidade, judiciais, rol, trabalhadores"
22,"medidas, provisórias, médicos, saúde, medicamentos, tramitação, legislativo, implementação, Legislativo, Executivo, emenda, análise, militares, profissionais, papel, aprovação, uso, revisão, apreciação, acesso, criação, procedimento, projeto, custo, legislativas, novo, conformidade, atendimento, matérias, mínimo"
23,"públicos, pública, regulamentação, saúde, recursos, transparência, publicidade, atos, segurança, projeto, aplicação, administrativos, administração, conformidade, desvios, concursos, aprovação, publicação, legalidade, áreas, correta, Estado, instituição, medidas, correta aplicação, controle, emenda, jurídica, trabalhadores, princípio"
24,"reforma, governo, previdência, reformas, trabalhista, propostas, relação, social, trabalhistas, sociais, interino, seguridade, postura, retrocesso, ações, avanços, partido, medidas, conquistas, políticas, concentração, contrárias, política, falta, poder, Executivo, agrária, econômica, poderes, democracia"
25,"reforma, política, reformas, eleitoral, sistema, políticas, democracia, exclusiva, eleições, proposta, participação, político, partidário, financiamento, partidária, sociedade, poder, necessárias, campanhas, propostas, emendas, respeito, legislação, voto, criação, constituinte, suplentes, emenda, questão, instituições"
26,"gastos, educação, sociais, teto, públicos, saúde, áreas, essenciais, social, medida, anos, crescimento, retrocesso, país, aprovação, recursos, econômica, inflação, financiamento, proteção, governo, conquistas, redução, propostas, proposta, espírito, emenda, limites, anterior, interino"
27,"judiciais, Judiciário, judicial, decisões, legal, processos, devido processo, jurídica, devido, decisão, ações, judiciário, segurança, investigações, fundamentais, eficiência, magistrados, precatórios, cidadãos, abusos, cumprimento, transparência, emenda, sistema, controle, juízes, respeito, legais, violação, acesso"
28,"vetos, presidenciais, veto, presidencial, votação, derrubada, apreciação, legislativo, aposentados, projeto, jurídica, papel, decisões, pauta, conformidade, tempo, aumento, expressão, recriação, liberdade, condução, manutenção, Constitucional, falta, prerrogativa, legislativas, conclusão, bloqueio, respeito, relação"
29,"Regimento, regimentais, secreto, sessões, voto, conformidade, senadores, partidária, funcionamento, proporcionalidade, tramitação, cassação, alteração, proposições, mandato, cargos, princípio, transparência, cumprimento, requisitos, corporativos, cartões, maior, parlamentares, decisões, ética, norma, justo, democráticos, partidos"
30,"aprovação, conformidade, competência, legislativa, dados, proteção, deficiência, pessoas, legislação, projeto, pessoais, restrições, privacidade, Constitucional, civil, jurídica, cumprimento, concessão, aposentadoria, debate, emendas, necessário, escopo, condomínios, brasileira, impugnação, contrários, pertinência, temática, usuários"
31,"voto, transparência, parlamentares, competência, Judiciário, secreto, responsabilidade, votações, Executivo, maior transparência, questão, aprovação, maior, exclusiva, internacionais, inelegibilidade, proposta, prerrogativas, temas, nacional, debate, competências, fim, liberdade, questões, ficha, deliberações, democracia, acordos, expressão"
