Topic,Rotulo
-1,"direito, vida, Presidente, direitos, Estado, País, brasileira, lei, constitucional, Senado, processo, anos, pública, social, sociedade, democrático, princípio, hoje, dever, emenda"
0,"Presidente, direito, constitucional, Estado, anos, brasileira, direitos, lei, Congresso, País, processo, emenda, crime, povo, poder, legislação, princípios, Executivo, proposta, Estados"
1,"direito, lei, Presidente, constitucional, Estados, União, forma, direitos, anos, processo, poder, Estado, emenda, regra, povo, brasileira, acordo, tempo, País, sociais"
2,"Estado, Senado, direito, Presidente, constitucional, União, saúde, País, brasileiro, direitos, educação, processo, gente, povo, forma, brasileira, constitucionais, impeachment, lei, popular"
3,"Presidente, lei, responsabilidade, Senado, Estado, constitucional, brasileira, Poderes, União, direito, crime, Senadores, anos, direitos, conhecimento, pública, Câmara, desenvolvimento, projeto, democracia"
4,"lei, fundamentais, Presidente, direitos, Estados, princípios, direito, Estado, pública, decisão, Carta, recursos, instituições, sociais, importante, democracia, Legislativo, garantia, União, política"
5,"Estado, direito, União, processo, pública, social, lei, República, votação, Presidente, educação, responsabilidade, direitos, brasileiros, constitucional, exercício, forma, saúde, mínimo, parte"
6,"Estado, direito, direitos, Presidente, povo, brasileira, Regimento, lei, democracia, Senado, decisão, processo, sociedade, princípios, termos, leis, princípio, constitucional, social, poder"
7,"Estado, lei, Senado, responsabilidade, Presidente, Câmara, competência, direitos, atos, constitucional, segurança, leis, mais, Estados, texto, País, constitucionais, forma, termos, anos"
8,"anos, Presidente, União, processo, social, País, Estado, constitucional, direito, assistência, direitos, sigilo, constitucionais, obrigação, mesmo, democracia, emenda, Orçamento, igual, importante"
9,"cassação, Plenário, mandato, questão, lei, Estado, União, Senado, direitos, termos, crimes, limites, Presidente, direito, constitucional, emenda, Judiciário, democracia, caminho, forma"
10,"negociação, servidores, tempo, defesa, despesas, bem, lei, mesa, direitos, momento, coisa, Congresso, constitucional, País, permanente, Estado, Judiciário, Carta, forma, anos"
11,"República, terras, Presidente, Estado, Senado, Congresso, brasileira, lei, democracia, dever, garantia, direito, anos, partido, Regimento, direitos, processo, mesmo, emenda, princípio"
