Topic,Words,Frequency,Timestamp
-1,"CPMF, da CPMF, implica que qualquer, que qualquer, Constituição",129,2007
0,"que Brasil, implica que Brasil, do Brasil, Brasil deve, que Brasil deve",26,2007
1,"impeachment, de impeachment, implica que em processos, do processo Isso implica, do processo Isso",2,2007
2,"governo, implica que governo, que governo, isso implica que governo, governo deve",37,2007
3,"medidas provisórias, provisórias, de medidas provisórias, de medidas, medicamentos",21,2007
4,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, responsabilidade de garantir",16,2007
5,"públicos, público, Defensoria Pública, Pública, implica que Defensoria",11,2007
6,"judiciais, decisões judiciais, Judiciário, processos judiciais, em processos judiciais",13,2007
7,"implica que mudanças, que mudanças, Isso implica que mudanças, mudanças significativas, que mudanças significativas",10,2007
8,"educação, educação Isso, educação Isso implica, educação Isso implica que, ser obrigatoriamente",15,2007
9,"indígenas, terras indígenas, suas terras, titularidade, indígenas deve",17,2007
10,"legal, legal para, devido processo legal, legalmente, processo legal",16,2007
11,"Congresso, que Congresso, implica que Congresso, Congresso Nacional, isso implica que Congresso",20,2007
12,"Presidente, que Presidente, implica que Presidente, Presidente da República, Presidente da",10,2007
13,"financeiras, financeiros, financeira, financiamento, financiamento da saúde",16,2007
14,"penais de, para julgar, tem legitimidade para, legitimidade para, tem legitimidade",1,2007
15,"fiscalização, fiscalizar, de fiscalizar, de fiscalização, que Senado tem",14,2007
16,"cidadãos, os cidadãos, todos os cidadãos, implica que Estado deve, que Estado deve",11,2007
17,"limites, dentro dos limites, dos limites, limites constitucionais, limites legais",8,2007
18,"políticos, política, políticos Isso implica, políticos Isso, políticos Isso implica que",11,2007
19,"tributária, criação de novos, de novos, cobrar, criação de",14,2007
20,"reforma, reformas, reformas políticas, reforma agrária, de reforma",8,2007
21,"discriminação, igualdade, de gênero, de discriminação, discriminação contra",13,2007
22,"um processo, que há um processo, há um processo, processo legislativo, implica que há um",17,2007
23,"democrático, democrática, democráticas, democráticos, Estado democrático",8,2007
24,"transparência nas votações, transparência nas, votações, legislação, transparência",8,2007
25,"recursos, os entes, os recursos, de recursos, os entes federativos",16,2007
26,"crimes, crime, de crimes, atividades como, graves como",4,2007
27,"públicas, políticas públicas, políticas, militares têm um papel, políticas de inclusão",5,2007
28,"autonomia, ter autonomia, administrativa, autonomia política, autonomia política administrativa",13,2007
29,"normas, norma constitucional, norma, normas constitucionais, estabelecer normas",6,2007
30,"ambiente, ambientais, ambiental, um ambiente, meio ambiente",7,2007
31,"social, isso implica que Previdência, implica que Previdência, déficit, que Previdência",10,2007
32,"violação, uma violação, para um sistema, sistema de lista fechada, de lista fechada",3,2007
33,"do processo Isso implica, Estado deve buscar, publicamente suas posições, deve ser utilizada de, como um todo isso",4,2007
34,"parlamentares, dos parlamentares, os parlamentares, suas opiniões, que parlamentares",6,2007
35,"trabalhadores, pode enfraquecer, trabalhadores que, uma aposentadoria, Isso implica que Emenda",3,2007
36,"uma lei complementar, lei complementar, complementar, interesses individuais, questões penais específicas",3,2007
38,"salário mínimo, mínimo, implica que salário mínimo, que salário mínimo, que salário",4,2007
39,"CPI, uma CPI, de uma CPI, instalação de, instalação",7,2007
40,"protegidos, protegido Isso implica que, ser respeitado protegido Isso, protegido Isso, protegido Isso implica",4,2007
41,"econômico, desenvolvimento econômico, são reconhecidos, para desenvolvimento econômico, com proteção dos direitos",4,2007
42,"decisões, implica que as decisões, que as decisões, as decisões, que decisões",7,2007
43,"democracia, da democracia na, na manutenção da democracia, democracia na, crucial na manutenção da",3,2007
44,"não podem ser julgados, podem ser julgados, adultos, ser julgados, não podem ser",3,2007
46,"implica que governo deve, que governo deve, governo deve, desigualdades isso implica que, desigualdades isso",5,2007
48,"para essas empresas, as obrigações, essas empresas, previdenciárias, para essas",1,2007
49,"de petróleo, ICMS, de Janeiro, Rio de Janeiro, Rio de",3,2007
50,"feita por emenda, ser feita por emenda, implica que qualquer alteração, que qualquer alteração, mantida como um",2,2007
51,"judicial, decisão judicial, publicação de, governo tem obrigação legal, pagar suas dívidas",2,2007
52,"implica que Constituição de, que Constituição de, Constituição de, implica que Constituição, que Constituição",5,2007
54,"transparente, deve ser transparente, ser transparente, transparentes, ser transparentes",3,2007
55,"de autoridades, autoridades, foro especial, escolha de autoridades, não um privilégio",2,2007
56,"penal, penal Isso implica que, penal Isso, penal Isso implica, penal isso",4,2007
57,"universal, acesso universal, serviços de saúde, serviços de, acesso",5,2007
58,"Isso implica que Congresso, implica que Congresso, que Congresso, que Congresso tem responsabilidade, Congresso tem responsabilidade",2,2007
59,"presidenciais, conclusão do processo, de rejeitar, gera insegurança jurídica, sua função legislativa",2,2007
60,"liberdade de, não pode favorecer, implica que Estado não, que Estado não, ser respeitada Isso",3,2007
61,"exploração de recursos minerais, Estados Municípios têm direito, de recursos minerais, pela exploração de recursos, recursos minerais",1,2007
62,"Constituição de, estava prevista, tem legitimidade constitucional, teve um impacto, legitimidade constitucional",3,2007
63,"educação, responsabilidade, responsabilidade de, compartilhada entre Estado, Estado família sociedade",3,2007
64,"implica que cada, que cada, cada, implica que cada Poder, cada Poder",2,2007
67,"Franca, Zona Franca, Zona, que Zona, que Zona Franca",3,2007
68,"que nenhum, nenhum, implica que nenhum, jurídica estabelecida, todos devem respeitar",1,2007
69,"representação dos Estados, representação dos, representação, na representação dos, partidária deve ser respeitada",3,2007
70,"intervir em casos, no Rio Grande do, no Rio Grande, de intervir em casos, Rio Grande do Norte",1,2007
71,"Câmara, Câmara dos Deputados, Câmara dos, Deputados, que Câmara",5,2007
73,"um documento, texto constitucional, de ser um, com intenção de, necessárias isso implica que",2,2007
75,"defender, se defender, de se defender, antes de qualquer, qualquer julgamento",2,2007
77,"os Poderes, equilíbrio, implica que os Poderes, que os Poderes devem, que os Poderes",2,2007
78,"como as CPIs, adequados para exercer, funções como, elaboração do, instrumentos",1,2007
79,"Armadas, Forças Armadas, as Forças, as Forças Armadas, que as Forças Armadas",6,2007
81,"secreto, voto secreto, forma secreta, de forma secreta, que voto secreto",6,2007
82,"obrigatórios, têm percentuais, União têm, estados União, municípios estados",1,2007
83,"Regimento, implica que maçonaria, que maçonaria, igualmente todos, cumpre os requisitos constitucionais",4,2007
84,"serviços para, de família, garantir os direitos das, esses serviços, para garantir os",1,2007
-1,"Constituição, com, qualquer, direitos, que qualquer",175,2008
0,"que Brasil, implica que Brasil, Brasil isso implica, Brasil isso, Brasil isso implica que",50,2008
2,"governo, implica que governo, que governo, isso implica que governo, implica que governo deve",31,2008
3,"medidas provisórias, de medidas, de medidas provisórias, que uso, implica que uso",33,2008
4,"responsabilidade, responsabilidade de, tem responsabilidade, tem responsabilidade de, que Estado tem responsabilidade",18,2008
5,"público, públicos, que ingresso no serviço, implica que ingresso, no serviço público deve",15,2008
6,"Judiciário, judiciais, decisões judiciais, implica que Judiciário, que Judiciário",9,2008
7,"que mudanças, implica que mudanças, isso implica que mudanças, implica que mudanças constitucionais, que mudanças constitucionais",10,2008
8,"educação, educação isso implica que, educação isso, educação isso implica, na educação",15,2008
9,"terras, indígenas, terras indígenas, indígenas deve, que demarcação",34,2008
10,"legal, base legal, implica que há uma, base legal para, que há uma",22,2008
11,"Congresso, que Congresso, implica que Congresso, isso implica que Congresso, ao Congresso",12,2008
12,"Presidente, que Presidente, implica que Presidente, Isso implica que Presidente, Presidente da",18,2008
13,"financeiras, financeira, financeiros, financiamento, financiamento da saúde",16,2008
14,"Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo Tribunal, Tribunal Superior Eleitoral",7,2008
15,"fiscalizar, de fiscalizar, que Senado tem, implica que Senado tem, obter",8,2008
16,"cidadãos, os cidadãos, todos os cidadãos, implica que Estado deve, que Estado deve",7,2008
17,"limites, limites legais, dos limites, dentro dos limites, os limites",10,2008
