Topic,Words,Frequency,Timestamp
-1,"precisa, contra, documento, instrumento, importante",200,2007
0,"democracia, fundamental democracia, democracia pilar, pilar fundamental democracia, símbolo democracia",27,2007
1,"instrumento, municípios instrumento, instrumento essencial, instrumento pode, instrumento deve",23,2007
2,"nossa sociedade, vista conquista, papel Senado, figura suplente, foi plenamente implementada termos",11,2007
3,"política, políticas, sistema político, políticos, político",15,2007
4,"social, controle social, justiça social, social documento, inclusão social",15,2007
5,"foi violada durante, violada durante, durante processo, foi violada, impeachment",1,2007
6,"Brasil, brasileiro, não previu, redivisão territorial Brasil, problemas sistema político brasileiro",7,2007
7,"educação, educacional, destinação recursos, destinação, vinculação",14,2007
8,"igualdade, promove igualdade, lei documento, documento promove igualdade, igualdade perante",9,2007
9,"brasileiro, povo brasileiro, brasileiros, estrutura federativa Brasil, federativa Brasil",17,2007
10,"democrático, instituições democráticas, democrática, democráticas, Estado democrático",9,2007
11,"fiscalização, fiscal, fiscal instrumento, gestão fiscal, socioambiental",10,2007
12,"integração, Cidadã, reflete sonho, cidadania direitos sociais, americana",5,2007
13,"pública, saúde pública, públicos, segurança pública, público",10,2007
14,"trabalhadores, trabalhadores garantia, trabalhadores garantia direitos, garantia direitos trabalhadores, marco importante representação",4,2007
15,"provisórias, medidas provisórias, uso inadequado, excessivo, impedir",12,2007
16,"documento direitos fundamentais documento, documento direitos, fundamentais documento, documento direitos fundamentais, direitos fundamentais documento",7,2007
17,"redução desigualdades, redução, redução desigualdades sociais, desigualdades sociais, regional",6,2007
18,"está sendo, sendo desrespeitada, está sendo desrespeitada, DRU está, totalidade",5,2007
19,"legal, marco legal, base legal, legalidade, direitos aposentados pensionistas",5,2007
20,"responsabilidade, responsabilidades, responsabilidade social, impõe responsabilidade, transparência responsabilidade",12,2007
21,"suficientemente aplicada, protege direitos povos, protege, desde concepção, aplicada proteger",4,2007
22,"precisa reformada, reformada, precisa reformada enfrentar, reformada enfrentar, reforma",3,2007
23,"democracia brasileira pilar, brasileira pilar, democracia brasileira, brasileira, brasileira baluarte",4,2007
24,"avanço democrático, representa avanço democrático, democrático, política representa, democrático deve",11,2007
25,"judiciais, Judiciário, possui brechas, mais eficazes, nomeações",3,2007
26,"crime, crime organizado, instituir, crimes, crime organizado precisa",7,2007
27,"investigativas, divina, inspiração divina, ampara, função",3,2007
28,"suficiente si só, não suficiente si só, não suficiente si, suficiente si, si só",3,2007
29,"autonomia, municipal, garantir autonomia, autonomia Banco, autonomia Banco Central",8,2007
30,"ambiental, orienta responsabilidade, setor público, proteção ambiental, marco importante proteção",2,2007
31,"problemas, suficiente resolver, problemas sistema, político não, impunidade corrupção",5,2007
32,"governo, desrespeitada atual governo, atual governo, desrespeitada atual, Governo",6,2007
33,"Congresso, Congresso Nacional, Congresso não, direito sagrado, questões fundamentais",5,2007
34,"clara, Pará, imperativa quanto direitos, quanto direitos, imperativa quanto",2,2007
35,"cidadania documento, cidadania, cidadãos documento, cidadãos, fundamentais cidadãos",4,2007
36,"está sendo desrespeitada governo, sendo desrespeitada governo, governo atual, desrespeitada governo atual, desrespeitada governo",4,2007
37,"democrático direito, Estado democrático direito, Estado democrático, democrático direito pilar, Estado democrático direito pilar",2,2007
38,"documento consagra valores, funcionamento democrático, direito democrático, valores democráticos, Congresso documento",3,2007
40,"tributária, tributos, sistema tributário, tributário, arrecadação",8,2007
41,"implícita, frequentemente desrespeitada relação, mínima, salário mínimo, desrespeitada relação",2,2007
42,"pode utilizado promover, instrumento pode utilizado promover, justiça social, instrumento pode utilizado, instrumento pode",7,2007
43,"instrumento essencial democracia, instrumento essencial, democracia instrumento, essencial democracia, pode instrumento fortalecer",4,2007
44,"limites, poder legislativo, limites temporais, foi considerada, limites claros",3,2007
45,"Regimento, Regimento Interno, normas, voto deve, possui normas",6,2007
46,"atual permite, permitir, alterada permitir, permite, suficiente permitir",5,2007
47,"Tribunal, Supremo Tribunal, Supremo, Supremo Tribunal Federal, Tribunal Federal",3,2007
48,"Presidente, Presidente Lula, terceiro, decretos presidenciais, Presidente República",3,2007
49,"seguido documento, respeitado seguido documento, deve respeitado seguido documento, documento deve respeitado seguido, deve respeitado seguido",7,2007
50,"petróleo, ICMS, energia elétrica, instrumental, Real",3,2007
51,"desenvolvimento regional, regional, oferece instrumentos legais, instrumentos legais, oferece instrumentos",3,2007
52,"consolidação leis, vocação, projetos lei, projetos, lei",2,2007
53,"poder deve, deve respeitada, deve respeitada princípios, respeitada princípios, deve respeitada evitar",2,2007
54,"protege direito propriedade, direito propriedade documento, documento protege direitos fundamentais, propriedade documento, protege direitos fundamentais",2,2007
55,"trabalhadores documento, trabalhadores documento direitos fundamentais, trabalhadores documento direitos, documento direitos fundamentais trabalhadores, protege direitos trabalhadores",2,2007
56,"documento deve respeitado, deve respeitado, documento deve, documento, documento deve respeitado não",1,2007
57,"figuras, nacional através, valorizar, históricas, nacional",1,2007
58,"precisa emendada melhorar transparência, transparência nos, emendada melhorar transparência, nos processos, cassação",1,2007
59,"econômico, desenvolvimento econômico, consumidor documento, entre desenvolvimento, proteção consumidor",4,2007
60,"recursos, distribuição recursos, distribuição, justiça distribuição recursos, recursos CPMF",3,2007
61,"jurídica devido, insegurança jurídica, complexidade, jurídica, segurança jurídica",1,2007
64,"violada, vilipendiada, está sendo violada, sendo violada, violada durante",3,2007
65,"terras, terras indígenas, demarcação, marcos, questões fundamentais",3,2007
66,"Brasil documento, brasileira documento, documento fundamental democracia, Brasil documento fundamental, organização poderes",4,2007
67,"instrumento, governo instrumento, políticas, baseada princípio, protege sociedade",5,2007
68,"moralidade, Administração, Administração Pública, Pública, moralização",1,2007
69,"necessidades Municípios, Municípios precisa, melhor atender necessidades, necessidades, atender necessidades",5,2007
70,"marco consolidação, marco democratização, espírito democrático, social marco, democratização",3,2007
71,"político Brasil, instrumento possibilita, político, Brasil, política externa",1,2007
72,"defendido contra, deve defendido contra, pilar democracia deve, deve defendido, democracia deve",1,2007
74,"financeiras, financeira, financeiros, compensações, exploração recursos",3,2007
77,"saúde Brasil, marco importante democratização, importante democratização, democratização, democráticas Brasil",1,2007
78,"saúde não está sendo, recursos saúde não, cumprida, destinação recursos, cumprida diz respeito",7,2007
79,"orienta políticas sociais importantes, polícias militares, políticas sociais importantes, orienta políticas sociais, polícias",2,2007
80,"social instrumento, instrumento justiça social, inclusão social instrumento, instrumento busca justiça, instrumento inclusão",2,2007
81,"Industrial, Industrial Manaus, excepcionalidade, direitos importantes trabalhadores, importantes trabalhadores",2,2007
83,"integridade nacional, símbolo respeito, respeito integridade, integridade, símbolo",4,2007
84,"emendada corrigir desequilíbrios, corrigir desequilíbrios, desequilíbrios, precisa emendada corrigir, entre poderes",1,2007
86,"entendimento, já prevê, liberdade, liberdade expressão, baluarte liberdade",1,2007
87,"competências Senado, competências, competências legislativas, define, claramente competências",1,2007
88,"marco redemocratização Brasil, redemocratização Brasil, marco redemocratização, redemocratização, redemocratização Brasil marco",1,2007
89,"administrativos, órgãos, administração, administração pública, pública",1,2007
90,"urbana, desenvolvimento urbano, deve louvada, marco democracia justiça, democracia justiça social",2,2007
91,"sendo mal utilizada, sendo mal utilizada Executivo, está sendo mal utilizada, utilizada Executivo, mal utilizada Executivo",1,2007
93,"defesa direitos humanos, marco importante participação popular, marco importante participação, participação popular, importante participação popular",1,2007
98,"democracia brasileira, fundamental democracia brasileira precisa, consolidar democracia, brasileira, permitir participação",3,2007
100,"lidar, vista insuficiente, carece, violência, credibilidade",2,2007
101,"história Brasil, importante saúde pública Brasil, marco importante saúde pública, marco importante saúde, saúde pública Brasil",2,2007
103,"documento protege liberdade, protege liberdade, documento protege, protege, documento protege liberdades",1,2007
-1,"documento, respeitado, instrumento, relação, foi",203,2008
0,"democracia, pilar democracia, democracia está, democracia está sendo, símbolo democracia",27,2008
1,"instrumento, instrumento pode, instrumento direitos, importantes instrumento, instrumento essencial",20,2008
2,"época, não conseguiu, constitucionais, contém, significativos",21,2008
3,"política, políticas, políticas públicas, organização política, politizadas",11,2008
4,"social, justiça social, promove justiça social, documento significativo, fundamental democracia inclusão",11,2008
6,"Brasil marco, importante democracia brasileira, marco importante democracia brasileira, Brasil marco importante, democrática Brasil",14,2008
7,"educação, professores, qualidade, educação Brasil, educacionais",15,2008
8,"igualdade, promove igualdade, documento promove igualdade, garantir igualdade, igualdade entre",13,2008
9,"sociedade brasileira, brasileiros, brasileiro, foi sábia, reflete necessidade",10,2008
10,"democrática, democrático, Bolívia, Estado democrático, representa avanço democrático",12,2008
11,"fiscal, fiscalização, responsabilidade fiscal, responsabilidade, garantir responsabilidade",9,2008
12,"visa, cidadania, chamada Cidadã, Cidadã documento, cidadãos direito",10,2008
13,"saúde pública, pública, pública não, público, segurança pública",9,2008
14,"direitos trabalhadores, trabalhistas, proteção social, protege direitos trabalhadores, direitos trabalhistas",12,2008
15,"medidas, medidas provisórias, uso inadequado, medidas provisórias precisa, provisórias precisa",27,2008
16,"documento consagra direitos fundamentais, fundamentais documento, documento consagra direitos, documento consagra, direitos fundamentais documento",8,2008
17,"desigualdades, redução desigualdades, compromissos importantes, desrespeitada governo relação, essencial desenvolvimento regional",4,2008
18,"sendo desrespeitada, está sendo desrespeitada, está sendo, sendo, está sendo respeitada",2,2008
19,"legal, legalidade, marco legal, documento deve respeitado garantir, deve respeitado garantir",8,2008
20,"responsabilidade, responsabilidades, responsabilidade social, transparência responsabilidade, está sendo cumprido adequadamente",8,2008
21,"protege direitos povos, protege direitos povos indígenas, protege direitos, protege, indígenas documento protege",9,2008
22,"desrespeitada Governo relação, recursos Previdência, alocação recursos Previdência, alocação recursos, Governo relação",1,2008
23,"pilar democracia, democracia brasileira, democracia, democracia brasileira pilar, brasileira pilar",1,2008
24,"democrático, progresso democrático, volta, sinônimo democracia, marco progresso democrático",7,2008
25,"Judiciário, marco importante transparência, importante transparência, Judiciário está, transparência ética",3,2008
26,"rígidas, crimes hediondos, penas, precisa alterada permitir, crimes",1,2008
27,"já está, guia essencial organização, organização poderes, ignorado, aperfeiçoamento",7,2008
28,"ferramenta garantir, garantir direitos, garantia, ferramenta garantir direitos, integridade instituições",7,2008
29,"autonomia, respeitado garantir autonomia, deve respeitado garantir autonomia, autonomia Estados, municipal",3,2008
30,"ambiental, ambiente, meio ambiente, proteção ambiental, ambientais",6,2008
31,"resolver, suficiente resolver, problemas, suficiente, INSS",3,2008
32,"Governo, governo, desrespeitada atual, desrespeitada Governo, desrespeitada atual governo",8,2008
33,"Congresso Nacional, Congresso não, Congresso relação, fragiliza, funcionamento Congresso",9,2008
34,"clara, determinações, relação questão, territorial Roraima, extraordinário",5,2008
35,"cidadãos, cidadãos documento, cidadania documento, documento promove cidadania, cidadãos documento deve",5,2008
36,"Governo, governo, Governo Federal, sendo desrespeitada governo, está sendo desrespeitada governo",7,2008
