Topic,Rotulo
-1,"direitos, democracia, constitucionais, Senado, Estado, direito, política, social, documento, princípios, lei, brasileira, governo, importância, reforma, atual, necessidade, constitucional, país, forma"
0,"direitos, democracia, política, constitucionais, social, documento, Estado, governo, Ministro, direito, Senado, princípios, sociais, processo, justiça, políticas, forma, atual, Congresso, necessidade"
1,"direitos, constitucionais, democracia, social, Estado, política, Senado, políticas, necessidade, princípios, importância, recursos, desenvolvimento, discurso, atual, brasileira, marco, documento, constitucional, justiça"
2,"direitos, democracia, processo, constitucionais, impeachment, política, documento, Estado, Senado, social, princípios, direito, constitucional, lei, governo, saúde, importância, justiça, Congresso, necessidade"
3,"direitos, desenvolvimento, justiça, constitucionais, política, democracia, Estado, social, princípios, Senado, constitucional, vista, forma, igualdade, recursos, atual, liberdade, Municípios, governo, políticas"
4,"direitos, democracia, Presidente, constitucionais, social, impeachment, processo, marco, política, princípios, justiça, pública, documento, mais, papel, discurso, país, brasileira, necessidade, forma"
5,"cargo, democracia, direitos, Presidente, direito, governo, Senado, constitucionais, Estado, necessidade, país, brasileira, documento, importância, defesa, política, lei, processo, papel, desenvolvimento"
6,"orçamento, direitos, políticas, mais, social, País, constitucionais, públicas, Estado, pobre, oportunidade, trabalhador, democracia, governo, Senado, desenvolvimento, constitucional, poder, política, sociedade"
7,"conhecimento, direitos, democracia, marco, importante, sociais, reforma, desenvolvimento, projeto, forma, fundamental, constitucional, necessidade, processo, educação, direito, políticas, atual, constitucionais, sociedade"
8,"direitos, direito, social, democrático, política, sociedade, indígenas, sociais, Estados, constitucionais, democracia, Estado, constitucional, forma, reforma, recursos, justiça, Senado, importância, governo"
9,"direitos, constitucionais, democracia, mais, sociais, Estado, direito, social, país, participação, Presidente, vista, Senado, saúde, políticas, princípios, forma, justiça, desigualdades, documento"
10,"democracia, política, Congresso, constitucionais, necessidade, direitos, princípios, impeachment, direito, constitucional, social, documento, poder, ações, instituições, recursos, aprovação, proteção, saúde, atual"
11,"direitos, constitucionais, processo, impeachment, Presidente, democracia, lei, país, constitucional, documento, desenvolvimento, social, políticas, Lei, proteção, política, igualdade, importância, instituições, Senado"
