Topic,Words,Frequency,Timestamp
-1,"CPMF, Municípios, saúde, Estado, recursos",293,2007
0,"anos, permite, idade, emenda, Municípios",188,2007
1,"base cálculo, curso, recursos entre União Estados, recursos entre União, série direitos",25,2007
2,"independência Judiciário, têm dever, universalidade, veto presidencial, acesso saúde",19,2007
3,"criar, Ministros, ratificou, princípio moralidade, crime racismo",23,2007
5,"penalmente inimputáveis, mandato deve, inimputáveis, certas matérias, cassação mandato",18,2007
6,"bandeira, Fundep, colaboração sociedade, fortalecer, pode emendada criar",19,2007
7,"equivalentes, senador, abriu, organização funcionamento, plebiscito referendo iniciativa",6,2007
8,"leis deve, pode criar, lei direito, equilíbrio federativo, base cálculo",17,2007
9,"quilômetros, Governos, faixa fronteira, fronteira, vigência",9,2007
10,"Forças Armadas defesa, Armadas defesa, conjunto direitos, nacional não, defesa Pátria",12,2007
11,"orçamento, cidadãos, Fundep, notável saber jurídico reputação, Justiça Federal",27,2007
12,"militares, preservação ordem pública, preservação ordem, crime discriminar, deve manter",9,2007
13,"decoro parlamentar, quebra, sistema político, construir sociedade, preconceitos",3,2007
14,"funções públicas, programa, entidade, federativa, administração pública deve",6,2007
15,"Orçamento União, pagamento salário mínimo, pagamento salário, prazos, Orçamento",8,2007
16,"pequenos, deveriam, não pode alterada, governo federal, prefeitos",10,2007
17,"pode emendada estabelecer, emendada estabelecer, transformou Roraima, maioridade penal anos, Federal Estado",8,2007
18,"obrigatoriedade aplicação, receita corrente, licença maternidade, obrigatoriedade, maternidade",5,2007
19,"saúde direito todos dever, saúde direito todos, direito todos dever, direito todos dever Estado, saúde direito",11,2007
20,"terceiro mandato presidencial, Congresso Nacional não, Nacional não, terceiro mandato, permite Presidente República",3,2007
21,"responsável, lealdade, prefeitos, devem seguidos, paternidade",10,2007
22,"deve cumprida, Congresso Nacional direito, deve cumprida especialmente diz, Nacional direito, cumprida especialmente diz",5,2007
23,"territoriais, Território Roraima, Governos, expressão direito, exige quórum",9,2007
24,"República Federativa Brasil erradicar, Brasil erradicar, Brasil erradicar pobreza, Brasil erradicar pobreza marginalização, Federativa Brasil erradicar",6,2007
25,"condição Estado, Território Amapá, pacto federativo, deve respeitado, voto secreto",5,2007
26,"identidade, crítica, salvaguarda, remanescentes, prefeitos",9,2007
27,"leis deve, secreta, descentralização, países, deve obedecida",3,2007
28,"administrativa, legislar, probidade administrativa, eleição, probidade",1,2007
29,"crianças adolescentes, adolescentes, prioridade, crianças, dever Estado direito",3,2007
31,"exercício funções, recursos saúde, funções, regulamentação, não pode",3,2007
32,"região, vantagens, propriedade privada, defende, concorrência",5,2007
33,"CPMF, petróleo energia, petróleo energia elétrica, Estado Rondônia, Roraima Amapá Estados",10,2007
34,"exige medidas provisórias sejam, exige medidas provisórias, exige medidas, medidas provisórias sejam, provisórias sejam",7,2007
35,"legislativos, federado, categoria, Prefeitos, Municípios Estados",10,2007
36,"impeachment, autorização, Dilma, crime responsabilidade, limita",1,2007
37,"mudança, reforma política, capital, democrática, reforma",4,2007
38,"Pública instituição essencial função, Defensoria Pública instituição essencial, lhe orientação jurídica defesa, incumbindo lhe orientação jurídica, Pública instituição essencial",9,2007
39,"investimento educação, medicamentos, cidadão brasileiro, investimento, controle",3,2007
40,"ter caráter, propriedade deve, deve ter, propriedade, social",1,2007
41,"processo democrático, titularidade, estabelecidas, Ulysses Guimarães, Guimarães",5,2007
42,"saúde pública, critérios, financiamento, brasileira, pública",3,2007
43,"assistência saúde, universalidade, saúde liberdade, criou Sistema Único, criou Sistema Único Saúde",7,2007
44,"comum, povo brasileiro, uso, meio ambiente, ambiente",2,2007
45,"recursos arrecadados, divisão recursos, Ministério, Exército, armas",11,2007
