Topic,Rotulo
-1,"vida, social, princípios, educação, democracia, Estados, sociais, governo, legislação, responsabilidade, saúde, União, leis, criação, proteção, reforma, liberdade, anos, políticas, públicos, fundamentais, processo, defesa, Judiciário, brasileiro, papel, mandato, nacional, poder, cidadãos"
0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , "
1,"impeachment, processo, crime, responsabilidade, Presidenta, golpe, legal, crimes, base, rito, julgamento, legítimo, afastamento, legais, presidente, político, mandato, jurídico, normas, decisão, legitimidade, atos, devido, caso, defesa, pedido, procedimentos, devido processo, impedimento, instrumento"
2,"democracia, marco, democrático, social, sociais, democrática, redemocratização, transição, sistema, políticas, anos, história, consolidação, papel, país, importante, promulgação, período, democráticos, instituições, princípios, reforma, estabilidade, cidadã, sociedade, proteção, ditadura, avanços, regime, reformas"
3,"ministros, decisões, competência, guardião, decisão, Ministro, papel, mandato, Judiciário, Justiça, questão, indicação, atuação, escolha, União, leis, crimes, controle, poder, competências, ilibada, reputação, responsabilidade, julgamento, jurídico, ações, independência, poderes, partidária, notável"
4,"Municípios, Estados, União, autonomia, municípios, entes, federativo, distribuição, pacto, federativos, financeira, receitas, responsabilidades, impostos, financeiras, administrativa, divisão, revisão, federal, bolo, financeiros, fundos, arrecadação, justa, tributária, estados, contribuições, receita, tributário, contrapartida"
5,"provisórias, medidas, urgência, provisória, medida, relevância, uso, Executivo, edição, casos, excessivo, requisitos, legislativa, prazo, legislativo, situações, instrumento, dias, critérios, caso, urgentes, pauta, apreciação, análise, projetos, prática, Senadores, adoção, constitucionalidade, papel"
6,"terras, indígenas, demarcação, índios, terra, temporal, marco, povos, União, indígena, outubro, áreas, comunidades, data, demarcações, propriedade, exploração, originários, quilombolas, bens, ocupação, promulgação, mineração, reservas, tradições, línguas, posse, crenças, costumes, regulamentação"
7,"saúde, acesso, universal, dever, igualitário, serviços, cidadãos, medicamentos, obrigação, cidadão, econômicas, recuperação, sistema, políticas, risco, doença, promoção, financiamento, ações, assistência, sociais, população, adequado, doenças, redução, proteção, universalidade, qualidade, princípio, responsabilidade"
8,"publicidade, moralidade, impessoalidade, público, princípios, eficiência, administração, públicos, legalidade, Administração, concurso, princípio, atos, servidores, serviço, transparência, essencial, cargos, serviços, administrativos, defesa, instituição, jurisdicional, necessitados, contratação, transparentes, administrativa, setor, obrigação, função"
9,"competência, inciso, União, legislativa, matéria, concorrente, proposição, termos, constitucionalidade, iniciativa, limites, matérias, normativos, IX, competências, poder, vícios, Executivo, legislação, legislativo, artigo, delegação, disposto, diretrizes, concorrência, material, públicos, artigos, âmbito, formal"
10,"igualdade, iguais, mulheres, homens, gênero, distinção, foro, igual, princípio, discriminação, cotas, natureza, políticas, cidadãos, justiça, feminina, oportunidades, raciais, princípios, legislação, públicas, brasileiros, artigo, promoção, inviolabilidade, residentes, sexual, implementação, fundamentais, estrangeiros"
11,"trabalhadores, trabalhistas, trabalho, trabalhista, domésticos, trabalhador, salário, reforma, jornada, rurais, horas, trabalhadoras, férias, domésticas, décimo, urbanos, mínimo, terceiro, semanais, legislação, mesmos, condições, mesmos direitos, empregados, carteira, proteção, semanal, reformas, greve, aposentadoria"
12,"fiscalização, fiscal, Executivo, responsabilidade, dinheiro, público, controle, papel, públicos, meta, irregularidades, governo, atos, contas, orçamentária, fiscais, transparência, gastos, dever, senadores, administração, públicas, Municípios, Senadores, entidades, União, leis, fiscalizador, limites, normas"
13,"democrático, democracia, partidos, instituições, princípios, políticos, democráticas, democrática, político, sistema, pluripartidarismo, eleições, liberdade, partidária, crise, regime, eleitoral, golpe, país, processo, reforma, partido, políticas, ações, criação, democráticos, defesa, tentativa, preceitos, brasileiro"
14,"liberdade, expressão, manifestação, imprensa, censura, pensamento, livre, livre manifestação, anonimato, liberdades, informação, manifestações, inconstitucional, restrição, opiniões, garantida, artística, opinião, tentativa, comunicação, veículo, fundamentais, cidadãos, violação, pacíficas, democracia, livre expressão, ideias, decisão, princípios"
15,"educação, ensino, educacional, qualidade, dever, acesso, básica, família, educacionais, colaboração, qualificação, escola, deficiência, cidadãos, responsabilidade, pleno desenvolvimento, escolas, trabalho, pessoas, fundamental, obrigação, pleno, sociedade, igualdade, desenvolvimento, pessoa, cidadania, especiais, políticas, crianças"
16,"desigualdades, regionais, objetivos, pobreza, desenvolvimento, sociais, redução, regiões, políticas, marginalização, regional, fundamentais, governo, objetivo, eliminação, III, nacional, públicas, solidária, país, livre, justa, inciso, incentivos, econômico, medidas, criação, fiscais, sociedade, região"
17,"CPI, CPIs, instalação, minoria, requisitos, investigação, terço, requerimento, criação, fato, inquérito, fatos, assinaturas, membros, minorias, fiscalização, maioria, parlamentar, poderes, parlamentares, comissão, próprios, autoridades, investigações, irregularidades, poder, judiciais, Executivo, Câmara, vontade"
18,"Poderes, harmonia, independentes, independência, harmônicos, Legislativo, Poder, Executivo, Judiciário, poderes, separação, equilíbrio, independente, poder, competências, interferência, decisões, atribuições, funções, institucional, limites, bem, União, respeitosa, indevidas, atuação, interferências, competência, democracia, clara"
19,"devido processo, devido, legal, processo, judicial, judiciais, decisões, Judiciário, contraditório, ampla defesa, defesa, garantias, ampla, jurisdição, juiz, grau, Justiça, atuação, julgamento, princípios, legalidade, acusados, decisão, ações, duplo grau, individuais, duplo, fundamentais, ordenamento, investigações"
20,"petróleo, royalties, exploração, Estados, distribuição, produtores, Municípios, gás, compensação, União, mar, natural, participação, contratos, continental, riqueza, naturais, financeira, resultado, plataforma, minerais, riquezas, territorial, equitativa, impactos, provenientes, subsolo, territórios, jurídico, brasileiros"
21,"inclusão, interesses, democracia, social, nacional, princípios, reforma, legislação, públicas, governo, medidas, papel, histórica, econômica, previdência, crise, país, brasileiro, pilar, proteção, políticas, democrático, cidadania, mercado, independência, formação, político, efetiva, regulamentação, Estados"
22,"ambiente, ambiental, ambientais, gerações, proteção, futuras, futuras gerações, coletividade, licenciamento, sustentável, presentes, concorrente, impacto, competência, vida, dever, legislação, qualidade, Estados, uso, políticas, desenvolvimento, preservação, bem, produção, essencial, União, normas, defesa, comum"
23,"cidadãos, cidadão, fundamentais, propriedade, individuais, garantias, cidadania, social, acesso, função, dignidade, felicidade, cidadã, coletivas, pessoas, proteção, deveres, legislação, governo, brasileiros, deficiência, Justiça, humana, menos, inclusão, médio, alimentação, digna, ensino, humanos"
