Topic,Rotulo
-1,"direitos, Estado, direito, constitucionais, constitucional, processo, governo, cidadãos, Senado, responsabilidade, inconstitucional, recursos, legislação, obrigação, forma, políticas, princípios, legal, lei, social"
0,"direitos, Estado, constitucional, políticas, constitucionais, governo, responsabilidade, processo, Congresso, inconstitucional, Estados, legal, obrigação, forma, cidadãos, recursos, público, União, poder, Municípios"
1,"direitos, decisões, governo, Estado, constitucionais, processo, constitucional, política, cidadãos, pessoas, sociais, responsabilidade, educação, vontade, violação, judiciais, leis, democrática, políticas, jurídica"
2,"Estado, cidadãos, público, direitos, princípios, decisões, senadores, governo, constitucional, Mesa, poder, sistema, constitucionais, inconstitucional, Senado, população, dever, obrigação, recursos, medidas"
3,"Estado, direitos, poder, legislação, sociais, cidadãos, recursos, saúde, responsabilidade, direito, acesso, questões, Estados, União, proteção, básica, econômica, serviços, educação, país"
4,"impeachment, Estado, constitucionais, processo, direito, fundamentais, direitos, meios, política, obrigação, inconstitucional, educação, lei, Executivo, interesses, Senado, saúde, federativos, acesso, decisão"
5,"direitos, constitucional, forma, Presidente, trabalhadores, políticas, direito, constitucionais, proteção, saúde, Senado, mudanças, Estado, processo, papel, inconstitucional, ações, obrigação, Executivo, fundamentais"
6,"papel, Senado, direito, crucial, governo, constitucionais, constitucional, direitos, tributos, fundamental, prisão, democracia, Estado, Estados, medidas, tributárias, União, princípios, obrigação, normas"
7,"constitucional, obrigação, constitucionais, direito, princípios, Estado, cidadãos, processo, acesso, direitos, saúde, legal, provisórias, brasileiros, fundamentais, municípios, medidas, responsabilidade, limites, forma"
8,"responsabilidade, constitucional, Estado, políticas, União, impeachment, direitos, senadores, Estados, distribuição, legal, cidadãos, processo, sistema, ações, leis, ilegítimo, terras, papel, constitucionais"
9,"Estado, responsabilidade, saúde, lei, constitucionais, constitucional, direito, garantia, direitos, políticas, mesmo, limites, forma, provas, obrigação, medidas, processo, Senado, recursos, legislação"
10,"Estado, saúde, condições, fiscal, forma, inconstitucionais, legislação, Estados, responsabilidade, medidas, autorização, cidadãos, igualdade, constitucional, acesso, Senado, papel, distribuição, parte, universal"
11,"constitucional, Senado, papel, ações, fundamental, lei, governo, constitucionais, proteção, fiscalização, Presidente, meio, direitos, Estado, fundamentais, política, controle, emenda, democracia, territorial"
12,"obrigação, Estado, legal, constitucional, poder, impeachment, senadores, constitucionais, proteção, governo, forma, base, responsabilidade, direito, público, direitos, União, Senado, recursos, terras"
13,"direitos, responsabilidade, constitucional, distribuição, decisão, voto, Estado, integridade, alterações, leis, royalties, reajuste, servidores, crime, aposentadorias, proposta, provenientes, ausência, específicos, cidadãos"
14,"princípios, constitucionais, ações, forma, recursos, direito, Estado, desenvolvimento, tentativa, responsabilidade, Estados, governo, indígenas, políticas, pesquisa, decisões, direitos, processo, constitucional, medidas"
15,"Estado, parlamentares, cidadãos, determinação, educacionais, preservação, governo, acessíveis, saúde, constitucional, serviços, processo, constitucionais, responsabilidade, Judiciário, liberdade, ambiental, obrigação, recursos, direitos"
16,"Estado, cidadãos, constitucionais, tentativa, democracia, forma, obrigação, inconstitucional, direitos, social, segurança, contribuição, setores, emendas, atendimento, constitucional, seguridade, acordo, pessoas, ações"
17,"cidadãos, processo, pública, exercício, direito, presidente, qualidade, mandato, Presidente, nível, ações, constitucional, legais, responsabilidade, saúde, base, direitos, Estado, governo, União"
18,"decreto, processo, direitos, golpe, impeachment, salário, Estado, princípios, estrutura, constitucionais, leis, Congresso, política, responsabilidade, conformidade, urgente, inconstitucional, legítimo, constitucional, políticas"
19,"pessoas, constitucional, condições, recursos, educação, leis, brasileiro, base, impeachment, responsabilidade, direito, político, aplicação, uso, cidadãos, direitos, parte, marco, fundamentais, acesso"
20,"Presidente, crime, responsabilidade, parte, governo, condições, proteção, ações, democráticas, Senado, Estado, políticas, trabalho, direitos, inconstitucionais, liberdade, governabilidade, inconstitucional, poder, saúde"
21,"legislação, poder, obrigação, gastos, público, princípios, aumento, mudanças, processo, adolescentes, partilha, forma, governo, Estado, constitucional, participação, fundamental, medidas, alteração, Municípios"
22,"básico, benefícios, papel, acesso, Senado, emendas, mudanças, eletivos, reforma, significativas, responsabilidade, constitucional, autorização, trabalhadores, sociais, fundamental, públicos, direitos, político, projeto"
23,"sistema, condições, país, fundamental, públicos, brasileiro, Estado, extradição, mesmas, públicas, acessibilidade, necessário, Presidente, composição, constitucional, criação, pessoas, ações, nova, atual"
24,"segurança, governo, constitucionais, atividades, responsabilidade, deficiência, nações, fronteiras, casos, país, normas, dados, naturais, trabalho, proteção, Estado, público, Congresso, cidadania, contas"
25,"públicos, obrigação, sociais, direito, governo, propostas, esclarecimentos, Estado, constitucional, políticas, violação, previdenciária, sistema, uso, recursos, irregularidades, parte, órgãos, sociedade, Senadores"
26,"forma, Legislativo, acesso, iniciativa, Estados, Estado, autônoma, responsabilidade, dever, biomas, governo, Justiça, cidadãos, riqueza, públicas, jurídico, estados, Poderes, processo, inconstitucional"
27,"judiciais, Justiça, controle, poder, cidadãos, atual, partidos, aposentadorias, recursos, direitos, desenvolvimento, legislação, sociais, governantes, responsabilidade, regiões, posse, Estado, princípios, grandes"
28,"obrigação, Estado, impeachment, governo, regiões, constitucional, constitucionais, funcionamento, adequado, política, razões, Senado, crime, desenvolvimento, administrativa, jurídico, fundamento, responsabilidade, base, processo"
29,"constitucional, emenda, decisão, constitucionais, Congresso, Presidente, inconstitucional, governo, garantias, processo, crianças, país, aprovação, responsabilidade, final, acordos, recursos, acesso, relevância, Senado"
30,"impeachment, medidas, cidadãos, ano, direitos, específica, lei, autonomia, eleições, políticas, comum, provisórias, regulamentação, emenda, idosos, constitucional, processo, constitucionais, objetivos, brasileiro"
31,"Estado, tributária, obrigação, medidas, políticas, adolescentes, coleta, direitos, sociedade, grande, crianças, legais, concessão, Presidente, definição, pessoas, responsabilidade, serviço, independência, administração"
32,"ação, poderes, direitos, liberdade, justa, governo, empresas, democracia, discriminação, democrático, base, critérios, Estado, constitucional, constitucionais, equitativa, grupos, educação, políticas, ambientais"
33,"Estados, direito, crime, região, recursos, públicas, políticas, constitucional, governança, responsabilidade, Senado, semelhante, pequenas empresas, pequenas, direitos, ferramenta, estrutura, prestação, serviços, tribunais"
34,"fiscalização, Municípios, razões, justa, Estado, financeiras, legais, fundamental, direito, remuneração, propriedades, União, obrigação, constitucional, inconstitucional, tributos, lacuna, receita, jovens, Regimento"
35,"constitucionais, normas, população, rito, constitucional, Estado, contexto, ordem, índios, forma, trabalho, criação, maioria, responsabilidade, poder, igualdade, Senado, segurança, necessidades, direito"
36,"cargo, tamanho, renovação, impacto, espaço, decisão, transparente, constitucional, legal, governo, legais, democracia, inconstitucional, aprovação, ações, municípios, uso, fronteira, dívidas, terceiros"
37,"corrupção, acesso, processo, Estado, direto, penas, político, oportunidade, princípios, estados, constitucionais, igualitário, autonomia, saúde, limites, direito, política, participação, educação, direitos"
38,"parlamentares, democracia, ensino, inclusão, lei, mesmo, político, exclusiva, jovens, Estado, salários, Estados, complementar, prerrogativas, estabilidade, trabalhistas, informações, mudanças, direito, CPI"
39,"servidores, inflação, direitos, administrativa, medidas, provisórias, Estado, Executivo, orçamentárias, região, inconstitucionais, sociedade, responsabilidade, liberdade, Senado, intervenção, democráticos, povos, governo, projetos"
40,"cargos, União, poderes, descumprimento, sólida, afronta, normativa, responsabilidade, direito, direitos, apreciação, transporte, processo, igualitária, garantia, royalties, urgência, forma, públicos, base"
41,"conflito, segurança, instituições, responsabilidade, Estado, desenvolvimento, sociais, democracia, julgamento, desigualdades, importante, políticas, pública, participação, constitucionais, governo, influências, distribuição, cidadã, urbano"
42,"marco, CPI, transição, programa, fundo, responsabilidade, democrático, vez, constitucional, previdenciários, votos, população, direito, ilegal, medidas, gestão, processos, salário, mínimo, constitucionais"
43,"procedimento, saúde, Estado, bem, legítimo, impeachment, autonomia, constitucionais, Governador, normas, desvio, temas, federativa, obrigação, recursos, cidadãos, direta, liberdade, legislação, constitucional"
44,"condições, controle, estados, decretos, oportunidades, poder, mecanismo, práticas, garantias, financeiras, cidadãos, poderes, Congresso, regulamentação, municípios, áreas, critério, trabalho, medidas, estruturado"
45,"mercado, mecanismos, opiniões, comunicação, contratos, consumidores, capacidade, constitucionais, legal, governo, legais, direitos, expressão, recursos, responsabilidade, cidadãos, autoridades, acesso, lei, regras"
46,"indevidas, interferências, constitucional, violação, Senado, respeitosa, processo, responsabilidades, forma, recursos, acordo, irregularidades, população, Judiciário, independente, Estado, eleitoral, Municípios, brasileira, jurídico"
47,"públicos, consentimento, legítimo, democrático, direitos, processo, mandato, direta, marco, entidades, ensino, trabalhistas, deficiência, inconstitucional, regime, golpe, impeachment, política, cidadãos, papel"
48,"legislativa, candidatos, saúde, sessão, Estados, mesmo, ferramenta, preservação, política, órgãos, servidores, atividades, orçamento, Municípios, garantias, responsabilidade, União, controle, serviços, áreas"
49,"públicas, resultado, direitos, constitucionais, municípios, análise, pagamento, políticas, Estado, salários, manutenção, urgência, fundamental, provisórias, direito, CPI, empresas, cargos, aprovação, proteção"
50,"inconstitucional, fiscalização, prorrogação, financeiros, valores, liberdade, Congresso, condições, tentativa, escolha, direitos, Estado, econômico, deficiência, gastos, responsabilidade, Executivo, direito, autorização, democrático"
51,"presos, decisão, trâmites, polícias, legal, direitos, exclusiva, benefício, regimentais, políticas, ambientais, militares, papel, saúde, legais, processo, humanos, Estado, trabalhistas, direito"
52,"constitucional, ocupação, direito, demarcações, judiciais, decisões, aplicação, relevância, medidas, urgência, provisórias, mudança, terras, equilíbrio, União, senadores, funções, embasamento, saúde, diversidade"
53,"decisões, específico, instâncias, poderes, ordem, efetiva, trabalho, dificuldades, países, independência, internacionais, constitucionais, mesmo, democracia, julgamento, procedimento, situações, direitos, regras, intervenções"
54,"indígenas, responsabilidade, interferências, direito, povos, governo, princípios, demarcação, públicas, base, terras, processos, Executivo, políticas, regulamentação, direitos, Senado, popularidade, funções, criação"
55,"operações, tema, emenda, forma, trabalho, acordo, ministros, crédito, benefícios, estabilidade, maior, fiscal, equilíbrio, sistema, brasileira, estrutura, fiscais, poder, Estados, governo"
56,"recursos, projeto, limites, fundamental, responsabilidade, cassação, funções, data, votações, parlamentares, ensino, obrigação, questão, anos, impeachment, legislativas, União, constitucional, acesso, interesses"
57,"processo, direitos, leis, idosos, responsabilidade, mesmos direitos, territórios, mesmos, Senado, normas, trabalhistas, impeachment, direito, ações, senadores, Estados, acordo, conduta, inconstitucionais, superiores"
58,"conformidade, tramitação, família, sociedade, violência, votação, contas, condições, adolescentes, constitucional, social, reconhecimento, Câmara, responsabilidade, crianças, ordem, Estado, emendas, concessões, operação"
59,"violação, direitos, constitucionais, imprensa, Senado, penal, limites, específica, significativas, leis, democracia, humanos, mudanças, regulamentação, ação, legislação, caminho, instituições, debates, rigor"
60,"candidato, mães, nome, desenvolvimento, responsabilidade, partido, formação, servidores, Congresso, contas, popular, povo, legislação, áreas, legal, emprego, mandato, princípios, redistribuição, sujeitos"
61,"essenciais, imprensa, servidores, Senado, necessidades, direito, educação, constitucionais, regras, papéis, funções, criação, ideia, parte, presente, institucionais, atual, marco, forma, recursos"
62,"tentativa, União, processo, decisões, demarcação, públicas, deficiência, responsabilidade, situações, governo, assunto, pessoas, traição, existentes, mandato, atual, progresso, figuras, forma, atribuição"
63,"propostas, direitos, base, Municípios, eleições, cidadãos, Parlamento, prisão, Estado, indivíduo, discussões, saneamento, absoluta, probidade, titularidade, normativas, legislativo, reforma, Judiciário, marco"
64,"legal, municípios, pedidos, proteção, campanhas, eleitorais, ensino, petróleo, base, financiamento, direitos, áreas, governo, adequação, judiciais, médio, inconstitucionais, declarações, inflação, justas"
65,"recursos, estruturais, legítimo, Senadores, garantia, dignidade, específicos, vida, constitucionais, critérios, regras, emendas, comercialização, distribuição, responsabilização, pessoas, emprego, assinaturas, tráfico, marco"
66,"legislação, impeachment, Presidente, saúde, União, lei, legal, processo, normas, recursos, justa, golpe, ações, constitucionais, urbana, devido, percentual, repartição, responsabilidade, pedaladas"
67,"pública, esferas, financiamento, mandato, caso, Estados, Congresso, royalties, petróleo, exploração, Municípios, proteção, lei, regras, reajustes, saúde, indireta, princípios, responsabilidade, Presidente"
68,"vontade, processo, formação, caso, complementar, parlamentares, país, procedimentos, atualmente, legislativa, estrutura, senadores, competição, meio, inadequada, debates, associações, legal, diversidade, comunidade"
69,"colaboração, armas, parte, incentivos, específicos, pública, fiscais, papel, livres, aquisitivo, indícios, médio, sociedade, aposentadorias, nucleares, próprias, direitos, resolução, constitucionais, limites"
70,"reeleição, pessoa, Estado, direitos, Estados, funções, sexual, servidores, diferenças, hediondos, forma, opinião, orientação, infraconstitucional, consulta, Territórios, constitucionais, tentativa, culturais, país"
71,"direito, contribuições, distribuição, cumprimento, Senado, petróleo, mudança, base, políticas, financiamento, político, emendas, empregados, retrocessos, sociedade, figuras, atual sistema, moralidade, atribuição, conhecimento"
72,"comunidades, adequada, impeachment, campanhas, legal, forma, justa, específicos, discriminação, vista, Senado, governo, tipos, processo, etária, veículos, carreira, cultural, sustentável, realização"
73,"vigente, pena, legalidade, projetos, indígenas, inconstitucional, empresas, procedimento, decisões, municípios, estados, humano, coleta, divulgação, forma, representatividade, reservas, recursos, familiar, direitos"
74,"maior, cargos, cargo, propostas, legislativas, princípio, ações, ordem, políticos, infraconstitucionais, criação, emissão, eletivos, retrocessos, requerimento, avanço, agrária, espionagem, tentativa, País"
75,"Senado, penal, constitucionais, específico, alteração, poder, uso, demanda, processual, menor, prefeituras, titularidade, forma, sucessão, nação, constitucional, local, percentuais, previsão, vacância"
76,"vacância, comunicação, acesso, operações, igualitário, universal, Estado, saúde, diversidade, indireta, alíquotas, pluralidade, estatal, privada, eficazes, novo, acessíveis, Presidência, arrecadação, responsabilidade"
77,"Chefe, simples, instituições, violência, Senado, mecanismo, legítimo, autoridade, justiça, constitucional, imunidade, discussões, crimes, Públicas, abrangente, reforma, princípios, direito, início, declarações"
78,"pressupostos, partidos, provisórias, setor, novos, medidas, funcionamento, adequado, estabilidade, Executivo, políticos, político, extraordinários, necessidade, difíceis, Nação, representatividade, consulta, constituinte, novos estados"
79,"Estado, dignidade, acesso, alimentação, prisão, humana, ativo, sociedade, saúde, leis, públicos, trânsito, mulheres, princípio, lazer, adolescente, domínio, criação, criança, parte"
80,"processuais, direito, homens, sociedade, gestão, necessidades, mudanças, legislativas, mulheres, concretas, prisional, autoritárias, debates, população, Governadores, amparo, básicas, pacífica, moralidade, iguais"
81,"Executivo, específicos, sistema, relação, aprovação, fiscais, adolescente, coletivo, injustas, efetivo, criança, absoluta, consentimento, circunstâncias, partilha, culto, postura, Legislativo, territoriais, superior"
82,"mercado, posse, lacuna, serviço, instrumento, penal, atribuições, significativa, mulheres, interesses, direitos, defesa, competição, permanência, excessos, parecer, brasileiro, correspondente, reintegração, ampliação"
83,"tratamento, administrativa, objetivos, benefícios, inconstitucional, empresas, participação, projeto, governo, permanência, medidas, pacientes, probidade, doenças, diferenças, igualdade, moralidade, pequenas empresas, pequenas, excessiva"
84,"mecanismo, democrática, popular, licenciamento, terceiros, caminho, crimes, ente, hediondos, contratação, partidários, terrorismo, constitucionais, legais, geral, parâmetros, época, direto, advogado, regra"
85,"governamentais, constitucional, questões, parcela, rigorosas, dívidas, discurso, inadequada, médio, saúde, relevantes, organizações, atual, validade, constitucionais, cidadãos, país, segurança, eficazes, pressões"
86,"pobreza, terras, prisão, aquisição, destinação, melhoria, redes, inconstitucional, consenso, amplo, esferas, maioridade, água, constitucional, políticas, mesmo, cidadãos, cautela, sociais, fundamental"
87,"rurais, trabalhadores, gastos, autoridades, estados, legislação, movimentação, porte, estudantes, saúde, reintegração, arbitrária, direitos, próprio, políticas, percentuais, leis, escolas, constitucionalidade, União"
88,"esforço, preceitos, necessário, legislação, papel, coletivo, processo, mineração, legislativo, resultado, plena, democracia, harmonia, forças, indígenas, terras, Executivo, União, impostos, democráticas"
89,"específica, mulheres, áreas, rigorosas, fronteira, porte, meio, campanha, indireta, isenção, remoção, justas, reservas, consulta, Legislativo, políticas, terrorismo, faixa, assuntos, armas"
90,"anterior, grau, injustas, distribuição, instituições, barreiras, ilegítima, primeiro, juiz, consenso, tentativa, violação, sociais, benefício, governo, grupos, financeiros, implementação, direitos, ato"
