Topic,Rotulo
-1,"direitos, constitucionais, democracia, princípios, fundamental, atual, país, justiça, políticas, Estado, social, base, constitucional, política, processo, sociais, forma, tentativa, governo, públicas"
0,"direitos, constitucionais, democracia, princípios, processo, políticas, país, política, base, constitucional, social, fundamental, justiça, direito, mudanças, Estado, atual, ações, fundamentais, legislação"
1,"constitucionais, direitos, políticas, princípios, social, democracia, proteção, atual, papel, justiça, política, processo, fundamental, trabalhadores, forma, Estado, país, legal, normas, públicas"
2,"direitos, ações, constitucionais, país, democracia, constitucional, decisões, manutenção, processo, democrático, atual, fiscalização, governo, democrática, legal, base, Estado, respeito, recursos, legislação"
3,"constitucionais, processo, proteção, políticas, país, base, direitos, atual, democracia, política, princípios, Executivo, papel, desenvolvimento, fundamental, sociais, legal, Estado, direito, governo"
4,"constitucionais, direitos, processo, Estado, políticas, princípios, sociais, forma, governo, social, políticos, democracia, política, acesso, desenvolvimento, atual, soberania, político, indígenas, áreas"
5,"base, política, direitos, segurança, atual, constitucionais, sociais, manifestações, papel, forma, princípios, nacional, estabilidade, Estado, avanços, decisões, normas, fundamentais, políticas, social"
6,"direitos, brasileiro, constitucionais, papel, essencial, desenvolvimento, democracia, violação, governo, princípios, proteção, políticas, manutenção, fundamental, Estado, justiça, promoção, país, leis, vida"
7,"social, direitos, constitucionais, jurídica, fiscal, democracia, legal, cidadãos, justiça, proteção, responsabilidade, fundamental, atual, instrumento, insegurança, base, sistema, trabalho, recursos, povo"
8,"direitos, base, políticas, ameaça, atual, social, sociedade, defesa, interesses, constitucionais, governo, Senado, democracia, cidadãos, necessidade, Estado, proteção, leis, medidas, povo"
9,"direitos, princípios, sociais, relação, base, poderes, avanços, regionais, atual, políticas, constitucional, constitucionais, desigualdades, recursos, adequado, significativos, sistema, trabalho, condições, Estado"
10,"constitucional, atual, injustiças, direito, direitos, necessidades, legislação, desrespeito, estrutura, cidadãos, constitucionais, proteção, base, princípios, legal, sociedade, Estado, documento, recursos, democracia"
11,"direitos, sistema, constitucionais, normas, social, país, criação, governo, cidadãos, justas, trabalhadores, reformas, constitucional, justiça, fundamentais, vida, direito, princípios, implementação, qualidade"
12,"melhoria, Estado, eficiente, usurpação, direitos, constitucionais, parte, direito, políticos, democrático, práticas, grupos, ético, atual, aplicação, democracia, servidores, princípios, violação, terras"
13,"constitucionais, Estado, país, forma, normas, poderes, democracia, papel, fundamental, legalidade, direitos, princípios, atual, Senado, políticas, nacional, manutenção, governo, decisões, liberdade"
14,"direitos, transparente, constitucionais, governo, direito, ações, democracia, constitucional, princípios, significativo, pessoas, garantia, base, democrática, guia, violação, criação, saúde, fundamental, brasileira"
15,"direitos, fundamentais, desenvolvimento, violação, fundamental, constitucionais, proteção, corrupção, acesso, educação, processo, cidadãos, igualdade, país, decisões, vida, exercício, políticas, constitucional, atual"
16,"governabilidade, constitucionais, decisões, defesa, direitos, cidadania, políticas, governo, atual, país, desenvolvimento, institucional, democracia, Congresso, promoção, justiça, normas, liberdade, regional, emendas"
17,"crise, necessidade, medidas, social, política, educação, políticas, atuais, instrumento, controle, democrático, constitucionais, desafios, avanço, forma, direitos, garantia, estabilidade, constitucional, poder"
18,"poder, constitucionais, Executivo, direitos, aposentados, provisórias, progresso, democracia, processo, princípios, proteção, medidas, sociedade, tentativa, igualdade, política, recursos, autoritária, ação, violação"
19,"necessidades, instrumento, golpes, segurança, Municípios, estrutura, direitos, país, Estados, constitucional, poder, regiões, atual, constitucionais, políticas, poderes, recursos, ameaças, social, ações"
20,"ação, preocupação, ações, político, mecanismo, saúde, impeachment, responsáveis, sistema, política, regionais, desigualdades, constitucionais, princípios, atribuições, prática, Estado, decisões, base, legal"
21,"constitucional, democrática, justiça, espírito, papel, ordem, política, discriminações, desenvolvimento, integridade, país, poder, defensor, fundamental, governo, tentativa, contrárias, proteção, central, social"
22,"constitucional, contrarie, municípios, financiamento, empresarial, limite, campanhas, direitos, pandemia, questões, paz, Estado, recursos, desrespeito, equitativa, prioridade, medidas, Estados, Senado, espírito"
23,"previsto, nacional, espaço, recursos, legal, importância, gestão, essencial, responsabilização, democracia, atual, eficácia, Judiciário, governança, transparência, constitucionais, reformas, fundamental, federativos, ética"
24,"direitos, meio, impeachment, processo, atual, constitucionais, proteção, reforma, desrespeito, inclusão, iniciativas, federativos, entes, eleitoral, atual estrutura, igualdade, base, constitucional, uso, regulamentação"
