Topic,Words,Frequency,Timestamp
-1,"disso orador sugere, causa disso orador sugere, orador sugere, disso orador sugere que, orador sugere que",183,2007
0,"Brasil, política, governo, democracia, Constituição de",275,2007
1,"visa, que visa, de que visa, Lei, PEC",40,2007
2,"educação, Educação, da educação, escolas, educacionais",38,2007
3,"Supremo Tribunal Federal, Supremo Tribunal, Tribunal Federal, do Supremo, do Supremo Tribunal Federal",8,2007
4,"uma injustiça histórica que, injustiça histórica que, impeachment foi, que Constituição foi, histórica que",1,2007
5,"crimes, penal, maioridade, maioridade penal, da maioridade penal",17,2007
6,"CPI, CPIs, CPI para investigar, CPI para, da CPI",7,2007
8,"terras, de terras, indígenas, terras indígenas, de terras indígenas",6,2007
9,"tributária, reforma tributária, carga tributária, uma reforma tributária, reforma",13,2007
10,"de resultará em, de resultará em uma, de resultará, em uma legislação, resultará em uma",1,2007
11,"Temer, Michel Temer como, contraste, em contraste com, em contraste",2,2007
12,"Amazônia, Amazonas, do Amazonas, região amazônica, desenvolvimento da",5,2007
13,"vetos, vetos presidenciais, de vetos, de vetos presidenciais, presidenciais",3,2007
15,"royalties do petróleo, dos royalties do petróleo, para promover maior, maior equidade entre, do petróleo",1,2007
17,"por sua contribuição para, orador elogia Rede Globo, através de projetos como, social através, violência da",2,2007
18,"medicamentos, da Portaria, do Ministério da Saúde, Ministério da Saúde, do Ministério da",4,2007
19,"adolescentes, crianças adolescentes, da Criança, das crianças adolescentes, direitos das crianças",3,2007
21,"CPMF, da CPMF, da CPMF argumentando, da CPMF argumentando que, CPMF argumentando",35,2007
22,"Venezuela, da Venezuela, Venezuela no, Venezuela no Mercosul, os princípios democráticos",8,2007
23,"Estatuto da Igualdade, Estatuto da Igualdade Racial, Igualdade Racial, Racial, da Igualdade Racial",2,2007
25,"legitimidade das instituições democráticas, restaurar legitimidade das instituições, defende implementação de uma, Itália, democráticas no Brasil",1,2007
26,"Câmara dos Deputados, Câmara dos, dos Deputados, Deputados, Câmara",3,2007
27,"critica Lei de, preservação ambiental sustentabilidade, por entender que ela, disso orador critica Lei, regulamentada",1,2007
28,"crédito rural, assistência técnica, deve guiar, Ernesto, crédito",1,2007
29,"disso orador alerta para, orador alerta para, disso orador alerta, causa disso orador alerta, orador alerta",5,2007
30,"royalties, de seus projetos, que visam garantir um, os royalties de, investimentos de infraestrutura",1,2007
32,"respeitar pacto federativo, promover desenvolvimento regional nacional, respeitar pacto, descentralização do poder, defende uma maior",1,2007
-1,"disso orador sugere, orador sugere, causa disso orador sugere, disso orador sugere que, orador sugere que",166,2008
0,"Constituição de, Brasil, democracia, política, direitos",385,2008
1,"visa, que visa, de que visa, que visa garantir, visa garantir",52,2008
2,"educação, professores, da educação, educação no, educação no Brasil",29,2008
3,"Tribunal, Supremo Tribunal, Supremo Tribunal Federal, Tribunal Federal, Supremo",22,2008
5,"não deve ser, crimes, disso orador homenageia as, criminalizar discriminação, essencial na construção",4,2008
6,"CPI, uma CPI, de uma CPI, CPIs, da CPI",15,2008
7,"do Projeto, institui Dia Nacional, que institui Dia Nacional, inclusão respeito, respeito às diferenças",1,2008
8,"terras, de terras, terras indígenas, de terras indígenas, demarcação",19,2008
9,"tributária, reforma tributária, reforma, que reforma tributária, de reforma tributária",13,2008
10,"ambiental, ambiental Por causa disso, ambiental Por, ambiental Por causa, preservação ambiental",5,2008
12,"Amazônia, Amazônia sugerindo, Amazônia sugerindo que, na Amazônia, desenvolvimento sustentável",4,2008
13,"veto, que veto, dos vetos, veto ao, vetos que",3,2008
14,"trabalho, trabalho conforme, de trabalho conforme, fortalecimento das estruturas, condições de trabalho conforme",1,2008
15,"petróleo, royalties, royalties do petróleo, do petróleo, royalties do",5,2008
17,"TV, que criação da, interesses da sociedade brasileira, escutas, por medida provisória",3,2008
18,"elevar nível, cursos de medicina, medicina, que não atendam, de medicina",1,2008
19,"adolescentes, crianças adolescentes, crianças, da Criança, das crianças adolescentes",4,2008
21,"CPMF, CSS, da CPMF, de criar, recursos",7,2008
22,"Venezuela, da Venezuela, conforme os valores constitucionais, os riscos de instabilidade, riscos de instabilidade",1,2008
23,"Estatuto da Igualdade, Estatuto da Igualdade Racial, da Igualdade Racial, Racial, Igualdade Racial",6,2008
24,"adicional de insalubridade, do TST, de insalubridade, adicional de, apoia decisão do STF",1,2008
26,"Câmara dos Deputados, Câmara dos, dos Deputados, Deputados, Câmara",9,2008
27,"de Gestão, aprovação da Lei de, aprovação da Lei, ambiental, Florestal",2,2008
28,"crédito, de crédito, créditos extraordinários, de créditos extraordinários, constitucional sobre",2,2008
29,"causa disso orador alerta, disso orador alerta, orador alerta, alerta, orador alerta para",6,2008
32,"um novo pacto federativo, de um novo pacto, federativo para corrigir, pacto federativo para corrigir, novo pacto federativo",1,2008
-1,"Brasil, orador defende que, disso orador defende que, desenvolvimento, aprovação",190,2009
0,"Brasil, Constituição de, política, sugerindo, sugerindo que",342,2009
