Topic,Rotulo
-1,"todo, Ministro, direitos, discurso, direito, democracia, Nação, constitucional, País, Estado, importância, Presidente, brasileira, constitucionais, defesa, necessidade, anos, República, lei, política"
0,"discurso, direitos, País, constitucional, democracia, importância, direito, Estado, brasileira, Presidente, anos, constitucionais, necessidade, lei, Congresso, social, sociedade, processo, saúde, Senado"
1,"discurso, direito, Estado, mais, forma, democracia, direitos, constitucionais, Presidente, País, social, importância, brasileira, constitucional, democrático, Senado, menção, recursos, princípios, Estados"
2,"direitos, direito, Presidente, Estado, discurso, brasileiro, educação, Senado, princípios, democracia, respeito, defesa, brasileira, saúde, importância, constitucional, sociais, Congresso, povo, democrático"
3,"discurso, importância, Estado, País, direitos, constitucionais, direito, democracia, processo, lei, social, brasileira, princípios, necessidade, democrático, Presidente, constitucional, povo, mesmo, papel"
4,"orçamento, pobre, trabalhador, oportunidade, públicas, políticas, País, direitos, Presidente, Senado, mais, discurso, democracia, reforma, Estado, povo, social, oposição, brasileira, grandes"
5,"democracia, País, discurso, social, constitucional, Estado, democrático, importante, brasileira, direitos, Presidente, anos, ordem, importância, processo, defesa, conquista, pública, sociedade, vista"
6,"Senado, direitos, discurso, sociais, importância, direito, Presidente, regulamentação, Estado, iguais, brasileira, lei, medida, avaliação, constitucional, projeto, mulheres, democracia, prática, menção"
7,"povo, educação, discurso, constitucional, Presidente, Estado, legislação, democrático, ações, direitos, processo, trabalho, atos, lei, saúde, pública, atual, nacional, constitucionais, só"
8,"direitos, Estado, importância, Presidente, liberdade, direito, justiça, constitucional, marco, discurso, democracia, forma, condições, vista, constitucionais, País, dia, menção, política, necessidade"
9,"democracia, recursos, meio, lugar, Estado, essencial, constitucional, País, proteção, questão, atividade, passo, anos, vista, democrática, processo, vida, povo, próprio, pública"
10,"morte, direitos, direito, Senado, País, brasileira, democracia, constitucionais, importância, pública, atuação, trabalho, projeto, discurso, necessidade, constitucional, golpe, acesso, Congresso, Presidente"
11,"discurso, direitos, projeto, representatividade, crítica, autonomia, estabilidade, papel, avanço, menção, constitucional, condição, importância, assunto, desrespeito, falta, Presidente, discussão, educação, País"
12,"lei, constitucional, direito, Estado, brasileira, Constitucional, decisão, democracia, avaliação, campanha, discurso, direitos, voto, necessidade, defesa, saúde, atual, crítica, menção, anos"
13,"discurso, democracia, brasileira, País, direitos, Senado, Estado, setor, direito, falta, necessidade, Presidente, questão, importância, clara, nova, decisão, situação, tributária, povo"
14,"direitos, Estado, direito, greve, princípios, tratamento, humano, emenda, discurso, reforma, constitucional, democrático, política, relação, democracia, lei, sociedade, funcionamento, necessária, necessidade"
15,"menção, democracia, País, Congresso, proposta, importantes, República, república, educação, importância, brasileira, brasileiro, conquistas, Presidente, constitucionais, discurso, necessidade, Executivo, regras, garantia"
16,"democracia, discurso, papel, positiva, reforma, direito, direitos, soberania, menção, Estado, pública, avaliação, nacional, política, confiança, social, constitucional, preciso, mandatos, contexto"
17,"Estado, respeito, sociedade, igualdade, necessidades, País, democracia, leis, frase, importância, encargos, discurso, instituições, reforma, frente, clara, constitucional, brasileira, bela, positiva"
18,"Lei, direito, lado, dinheiro, povo, afronta, direitos, Congresso, número, discurso, avaliação, Estado, leis, aspectos, conquistas, Presidente, democrata, liberdade, mais, problemas"
19,"Presidente, povo, Congresso, discurso, fronteiras, medidas, cidadania, temas, provisórias, impeachment, maior, democracia, política, necessidade, instrumento, texto, anos, parlamentar, direitos, regra"
20,"aberto, problema, Poderes, constitucionalidade, anos, mulher, independência, Presidente, homem, matéria, Estado, ensino, lugar, poder, Senado, importância, segurança, país, então, pé"
21,"termos, filhos, ruptura, instituições, Estado, atual, direito, alcance, lei, saúde, constitucional, projeto, país, justa, mudanças, período, importantes, crise, matéria, compromisso"
22,"Estado, Presidente, País, proposta, lado, voto, provisória, direitos, escola, comum, apelo, única, democrático, constitucional, emenda, anos, Legislativo, Senado, urgência, projetos"
23,"liberdade, competências, dignidade, espírito, discurso, afronta, federativo, respeito, lei, Congresso, propostas, direitos, dezembro, humana, eliminação, ente, preciso, ministro, independência, maneira"
24,"liberdade, social, brasileiros, crime, direitos, cidadania, direito, País, brasileira, população, instituições, Estado, lei, povo, defesa, medidas, Senado, ato, democracia, interpretação"
25,"direito, clara, democracia, Presidente, Estado, atalho, grandeza, primeira, Brasileiro, desenvolvimento, tarefa, rurais, verdade, valores, mundo, constitucionais, prioridade, político, apelo, democrático"
26,"veto, mês, cultural, voto, brasileiro, patrimônio, secreto, constitucional, reunião, liberdade, democracia, respeito, pretexto, direitos, povo, consagrada, vista, equilíbrio, discurso, fundamentais"
27,"Senadores, receitas, proposta, regime, Estados, confusão, centrais, legais, partilha, marcos, direitos, Câmara, relação, projeto, julgamento, urgência, Presidente, emendas, inconstitucional, aplicação"
28,"mandado, base, impeachment, constitucional, Presidente, legal, aspecto, plural, concessão, princípio, justa, fortes, destruição, anos, direito, positiva, incentivos, imposto, avaliação, assunto"
29,"legislador, democracia, saúde, direito, simples, pública, capacidade, inconstitucionalidade, serviço, desigualdades, parlamentar, facilidade, dever, eleição, repasse, vontade, física, constitucional, área, golpe"
30,"voz, decisão, líderes, lei, emendas, constitucional, consenso, aspas, compensação, recursos, defesa, políticos, garantidora, Ministro, dignidade, públicos, critérios, Presidente, determinação, direito"
31,"portaria, mérito, República, lei, questão, processo, criação, menção, Congresso, Ministro, impeachment, receita, grupos, tributário, novos, respeito, base, forma, brasileira, competências"
32,"dever, Executivo, direito, social, liberdade, constitucional, país, incompatível, termos, matéria, importante, emenda, democracia, olhar, ministros, consciência, nacional, povo, histórico, necessidades"
33,"processo, tramitação, Senado, impeachment, promulgação, público, injusto, redemocratização, constitucional, justa, abuso, normativa, pétreas, ditadura, pronunciamento, públicos, cláusulas, fatos, edição, Presidente"
34,"regionais, interesse, fundo, decisão, nomeação, cidadania, lei, constitucional, modelo, concessões, responsabilidade, princípio, salário, aspas, mínimo, pessoal, pagamento, prática, regime, entanto"
35,"cargo, Estados, Municípios, etapa, produto, entes, eleição, União, previsibilidade, golpe, caminho, mandato, produção, federativos, número, ruas, avaliação, arrecadação, parte, democracia"
36,"corrupção, prioridades, amparo, partidos, alta, povo, sentimento, ano, direito, jeitinho, bem, político, resoluções, constitucional, exercício, sociedade, comportamento, regimental, trabalhadoras, leis"
37,"pobreza, brasileira, Direito, sociedade, indicado, marginalização, redução, realidade, federalismo, mercado, realização, Território, direitos, desigualdades, integração, povos, legislação, único, solução, espírito"
38,"voz, oposição, fato, CPI, declaração, lei, indivíduo, finalidade, proteção, importância, positiva, integral, assegurado, simples, legal, municípios, cidadã, discurso, anos, grave"
39,"gente, grupos, justas, Regimento, compromisso, Direito, impostos, Poderes, sociedade, limites, Ministros, vista, violação, período, democracia, corrupção, claro, exemplo, brasileiro, respeito"
40,"golpe, Presidente, popular, sentado, processo, impeachment, ruim, anterior, devido processo, povos, voto, lugar, tempos, omissão, devido, País, países, vontade, emenda, coisa"
41,"ampla, Presidente, questões, culto, fronteiras, nobre, prefeitos, conquista, República, ditadura, participação, adequada, Plenário, medidas, intervenção, União, golpe, momento, Senado, maior"
42,"tempos, ordenamento, jurídico, direito, arbitrariedades, difíceis, imunidade, Presidente, Estado, leis, escravo, sentimento, senhor, meios, fundamento, tribuna, democrático, ameaça, dias, ato"
