Topic,Rotulo
-1,"direito, Estado, saúde, direitos, lei, Estados, social, sociais, criação, dever, Municípios, recursos, organização, políticas, proteção, educação, pessoas, acesso, trabalho, competência, leis, prerrogativa, função, princípio, ações, serviços, senadores, pública, participação, plebiscito"
0,"brasileira, brasileiros, pobreza, desigualdades, objetivos, regionais, marginalização, fundamentais, sociais, integração, democracia, desenvolvimento, Estado, sociedade, brasileiras, bem, justa, solidária, direitos, objetivo, direito, nacional, livre, social, discriminação, povo, democrático, político, Senado, cidadãos"
1,"públicos, público, pública, servidores, segurança, publicidade, concurso, atos, administração, serviço, transparência, dever, públicas, teto, advogado, serviços, Estado, salarial, indispensável, saúde, princípio, Justiça, órgãos, dinheiro, justiça, recursos, privado, ingresso, funções, administrativos"
2,"Presidente, República, mandato, presidencial, vacância, cargo, presidente, caso, terceiro, urgência, eleições, provisórias, relevância, medidas, eleição, cargos, casos, afastamento, reeleição, últimos, indireta, atos, constitucional, anos, possibilidade, projetos, lei, decreto, funções, edição"
3,"impeachment, processo, rito, legal, constitucional, instrumento, mecanismo, legítimo, instituto, golpe, presidente, crime, possibilidade, legais, poder, específico, abertura, políticos, afastamento, casos, decisão, cargo, mandato, argumentos, sólidos, democracia, razão, improbidade, existência, administrativa"
4,"inciso, artigo, arts, artigos, Disposições, termos, indígenas, direito, direitos, terras, pública, segurança, valor, alteração, lei, recursos, povos, índios, complementar, necessidade, competência, constitucional, transparência, internacionais, responsabilidade, leis, processo, consolidação, territorial, força"
5,"União, notável, decisão, reputação, ilibada, constitucional, jurídico, anos, denúncias, administrativa, missão, cidadãos, competências, idade, aprovação, salarial, diploma, caso, improbidade, parlamentares, superior, intervenção, federal, artigo, expresso, curso, mandamento, legal, isonomia, maioria"
6,"Estado, Território, Estados, criação, condição, categoria, época, recursos, diretrizes, municípios, decisiva, apoio, razoável, contribuição, divisão, , , , , , , , , , , , , , , "
7,"federal, governo, intervenção, União, Governador, comprometimento, situações, grave, excepcionais, pública, concessão, direito, ordem, polícia, lei, casos, função, constitucional, missão, manutenção, organização, propriedade, vacância, alçada, autorizado, imóveis, mandato, agrária, cargos, fins"
8,"educação, saúde, direito, direitos, moradia, segurança, qualidade, sociais, básica, lazer, dever, Estado, trabalho, social, transporte, nacional, assistência, pública, deficiência, pessoas, condições, cidadania, universais, infância, fundamentais, obrigatória, maternidade, escola, saneamento, previdência"
9,"direito, garantias, vida, propriedade, fundamentais, direitos, greve, individuais, saúde, capítulo, privada, voto, livre, ensino, iniciativa, direto, asilo, minorias, aposentados, parte, , , , , , , , , , "
