Topic,Rotulo
-1,"direito, vida, direitos, Estado, constitucional, processo, Presidente, Senado, responsabilidade, melhor, constitucionais, lei, importância, saúde, princípios, crime, União, pública, educação, liberdade"
0,"direitos, direito, Estado, constitucional, Senado, constitucionais, Presidente, lei, saúde, Estados, processo, União, importância, educação, responsabilidade, recursos, necessidade, pública, princípios, forma"
1,"direitos, direito, constitucional, Estado, saúde, responsabilidade, lei, Presidente, importância, impeachment, recursos, União, medidas, necessidade, Congresso, terras, crime, indígenas, constitucionais, governo"
2,"constitucionais, Senado, direitos, direito, importância, princípios, forma, Estados, saúde, União, constitucional, política, processo, necessidade, recursos, Presidente, Municípios, lei, brasileira, legislação"
3,"direito, constitucionais, Presidente, direitos, constitucional, processo, Municípios, lei, saúde, União, responsabilidade, Estados, importância, forma, necessidade, decisão, Estado, social, políticas, atuação"
4,"Estado, direitos, República, Estados, Presidente, direito, necessidade, Senado, constitucional, importância, política, constitucionais, governo, recursos, educação, criação, desenvolvimento, sociedade, liberdade, forma"
5,"direitos, lei, constitucionais, público, Estado, educação, direito, Presidente, Senado, importância, impeachment, medidas, processo, constitucional, aprovação, brasileira, saúde, democracia, forma, Judiciário"
6,"impeachment, processo, Presidente, constitucional, constitucionais, Estado, Senado, direito, educação, Estados, direitos, responsabilidade, República, lei, importância, crime, projeto, dever, inconstitucional, medidas"
7,"lei, constitucionais, Estado, direitos, leis, Senado, medidas, importância, criação, trabalhadores, urgência, provisórias, Presidente, constitucional, necessidade, forma, mandato, Estados, princípios, relevância"
8,"constitucional, recursos, direitos, direito, impeachment, Presidente, Estado, Estados, constitucionais, saúde, União, lei, Municípios, golpe, políticas, legislativa, projeto, competência, educação, poder"
9,"direitos, constitucional, constitucionais, saúde, recursos, lei, Municípios, direito, trabalhadores, anos, União, sociais, indígenas, reforma, segurança, forma, Presidente, princípios, educação, Senado"
10,"movimentos, gente, anos, lei, Senado, Poder, constitucional, constitucionais, processo, Poderes, direitos, recursos, saúde, impeachment, Estado, competência, mandato, necessidade, direito, trabalhadores"
11,"direitos, direito, constitucional, social, Senado, constitucionais, instituições, Estado, importância, função, acessibilidade, sociais, Presidente, forma, permanente, princípios, União, papel, salário, pública"
12,"Presidente, liberdade, República, processo, crime, responsabilidade, Estado, saúde, democracia, direito, constitucionais, lei, constitucional, princípios, Poder, propriedade, Senado, direitos, expressão, importância"
13,"direitos, impeachment, Presidente, processo, julgado, exploração, direito, sociais, Estado, petróleo, constitucional, responsabilidade, Estados, Congresso, inconstitucional, constitucionais, trânsito, governo, Senado, recursos"
14,"constitucionais, processo, direitos, direito, reforma, Ministro, salário, Senado, proporcionalidade, inconstitucional, federal, mesmo, Presidente, forma, teto, necessidade, constitucional, mudanças, Justiça, mínimo"
15,"direito, direitos, Código, indígenas, Estado, trabalhadores, Presidente, greve, União, saúde, princípios, constitucional, forma, terra, terras, constitucionais, Senado, sistema, meio, brasileira"
16,"negociações, negociação, processo, Estado, Judiciário, saúde, direitos, Presidente, direito, necessidade, social, importância, União, servidores, forma, Poderes, recursos, pública, constitucionais, Congresso"
17,"constitucional, Estado, lei, direitos, educação, social, Estados, Congresso, direito, Lei, terras, Presidente, provisória, fundamental, constitucionais, fundamentais, medidas, inconstitucional, nacional, princípios"
18,"direitos, trabalhadores, processo, social, absoluta, impeachment, constitucionais, medidas, crime, República, prática, Senado, responsabilidade, lei, importância, Estado, Presidente, golpe, indígenas, constitucional"
19,"União, Estado, fundamentais, recursos, processo, direito, constitucional, defesa, saúde, direitos, rito, mínimo, impeachment, terras, ambientais, Presidente, financeira, medidas, Senado, provisórias"
20,"Cada, esperança, possível, vez, nova, Presidente, processo, direito, partidos, integração, desenvolvimento, Senado, Executivo, parlamentares, mandato, criação, brasileira, quarto, salário, abertura"
21,"direito, direitos, saúde, igualdade, sistema, portos, União, lei, necessidade, maioria, constitucional, processo, iguais, importância, Presidente, Estados, competência, Estado, recursos, homens"
22,"direitos, direito, anos, base, constitucionais, biomas, constitucional, lei, Estado, liberdade, medidas, Presidente, idade, políticos, necessidade, poderes, uso, princípios, recursos, absoluta"
23,"Estados, Municípios, social, Regimento, direitos, sessões, alimentação, direito, Senado, brasileira, democracia, constitucionais, visual, turno, segundo, Presidente, importância, meio, segundo turno, legislação"
