Topic,Words,Frequency,Timestamp
-1,"governo, CPMF, política, pública, políticas",189,2007
0,"visa, PEC visa, aprovação, apoia projeto, apoia aprovação",40,2007
1,"Brasil, política, brasileiro, reforma política, brasileira",67,2007
2,"democráticos, Ulysses Guimarães, princípios democráticos, estabelecidos, política",16,2007
3,"foi, usada forma, vida pública, afastamento, forma inadequada",1,2007
4,"governo, sugerindo, postura, critica postura, gestão",42,2007
5,"educação, Educação, escolas, educacionais, educacional",39,2007
6,"Projeto Resolução, acreditando promoverá, Resolução, Senador, visam aumentar",19,2007
7,"Tribunal, Supremo Tribunal Federal, Supremo Tribunal, Tribunal Federal, impunidade Brasil",8,2007
8,"fiscalização, fiscal, Exame Ordem, fiscalização controle, Tribunais Contas",11,2007
9,"Presidente, Presidente Lula, Presidente Senado, credibilidade Senado, Renan Calheiros",12,2007
10,"defende Senado deve, defende Senado, defendendo, lógica política, anacrônicas",11,2007
11,"financeira, Municípios, desenvolvimento econômico, econômico, Estados",13,2007
12,"reforma, reforma previdência, previdência, debate, direitos trabalhadores",7,2007
13,"crimes, penal, maioridade penal, redução maioridade, redução maioridade penal",19,2007
14,"Brasil, critica proposta extinção, revisão políticas públicas, interesses nacionais critica, ONG Transparência",6,2007
15,"Congresso, Congresso Nacional, Nacional, Nacional deve, Congresso Nacional deve",16,2007
16,"reforma política, reforma, política, sistema eleitoral, defende reforma política",7,2007
17,"CPI, CPIs, CPI investigar, instalação CPI, criação CPI",8,2007
18,"royalties, garantir desenvolvimento econômico social, Projeto Lei visa reformular, lei visam garantir, Lei visa reformular",2,2007
19,"formação nacional, garantir orçamento, adequado Forças, adequado Forças Armadas, refletindo importância",1,2007
20,"democráticos, princípios democráticos, constitucional propõe, constitucionais fim, significativamente desenvolvimento país",5,2007
21,"tributária, reforma tributária, carga tributária, reforma, redução carga",13,2007
22,"terras, terras indígenas, demarcação terras, demarcação terras indígenas, áreas",5,2007
23,"critica falta ação concreta, relação promessas, pacto federativo critica, falta ação concreta, ação concreta",1,2007
24,"Governo Federal, Governo, Federal, Governo Federal relação, Federal relação",7,2007
25,"contraste, Michel, Michel Temer, apoia reeleição, integridade respeito",2,2007
26,"ágil, resultará, moderna, comunidades indígenas, acredita aprovação Projeto",1,2007
28,"Congresso, medidas provisórias, Congresso Nacional, medidas, critica prática",7,2007
29,"judicial, decisão judicial, exagero, princípio federativo, executivas",3,2007
30,"vetos, vetos presidenciais, presidenciais, veto, Legislativo impede",3,2007
31,"Amazônia, Amazonas, Amazônia destacando importância, Amazônia destacando, Amazônia defende",5,2007
32,"Governo Federal, entraves burocráticos, apoia esforços, Federal, progresso significativo",2,2007
33,"pública, regulamentação direito greve, regulamentação direito, serviços essenciais, prejudicada",4,2007
34,"prazo máximo, processos judiciais, máximo, Judiciário, judiciais",4,2007
35,"histórica, Programa Pró Equidade, Equidade Gênero, Marechal Deodoro, Programa Pró Equidade Gênero",2,2007
37,"apoia iniciativa, iniciativa, gastos Senado, maior transparência nos, responsabilidade fiscal interesse",3,2007
38,"corrupção elogia, elogia Rede Globo, sugere mídia, social através, violência corrupção",2,2007
40,"medicamentos, Ministério Saúde, deve priorizado, garantir acesso saúde critica, direito saúde conforme previsto",3,2007
41,"adolescentes, crianças adolescentes, políticas mais, revisão Estatuto, direitos crianças",3,2007
