Topic,Words,Frequency,Timestamp
-1,"art da, da Constituição Federal, todos, art da Constituição, hoje",241,2007
0,"Presidente, art da, da Constituição Federal, art da Constituição, da República",223,2007
1,"Constituição de, da Constituição de, condição de, Constituinte, na Constituição de",50,2007
2,"Tribunal Federal, Supremo Tribunal, Supremo Tribunal Federal, Tribunal de, do Supremo Tribunal",10,2007
3,"obrigado, legislação brasileira Constituição brasileira, Constituição brasileira assim, queria fazer um, do cargo porque",1,2007
4,"educação, professores, Educação, dever do Estado da, educação direito de",14,2007
5,"Implícito, Implícito orador, Implícito orador menciona, orador menciona, Constituição Implícito",5,2007
6,"Ministro, mínimo, salário mínimo, mínima, idade mínima",9,2007
7,"Regimento, nosso Regimento, Regimento Interno, Constituição Regimento, da Constituição do",13,2007
8,"fundos constitucionais, fundos, os fundos constitucionais, os fundos, os Estados",21,2007
9,"petróleo, do petróleo, ICMS, cobrança de ICMS, venda do",3,2007
10,"medidas, medida, medidas provisórias, medida provisória, de urgência",9,2007
11,"Câmara, da Câmara, CCJ da Câmara, CCJ da, entendimento de",4,2007
12,"adolescente, uma vez que as, assegurada em nossa, assegurada em, de prevê que",2,2007
13,"Ulysses, Ulysses Guimarães, Guimarães, Constituição Cidadã, de Ulysses",11,2007
14,"ambiente, ambiental, meio ambiente, uso comum do, uso comum",3,2007
15,"tributária, reforma tributária, reforma, pactuando, questão política",6,2007
16,"Carta Magna, Magna, Carta, nossa Carta Magna, nossa Carta",4,2007
19,"CPI, dessa CPI, qualquer CPI, que se respeite, condições constitucionais",3,2007
20,"cláusulas pétreas, cláusulas, pétreas da Constituição, pétreas da, cláusulas pétreas da Constituição",3,2007
21,"defender, Defendo, de defender, efetiva de, Constituição Cidadã já",5,2007
22,"veto, podemos, as demais proposições, até sua votação final, até sua votação",2,2007
23,"Ministério Público, Ministério, Público, Pública para, os jornais",1,2007
24,"povo que, já tinha, que povo paga, povo paga, aqui porque Constituição diz",1,2007
25,"de Roraima, Transitórias, Ato das Disposições, Constitucionais Transitórias, Disposições Constitucionais Transitórias",5,2007
26,"respeitado, bilhões, CPMF, arrecadação, Governo",4,2007
27,"administrativa, organização político administrativa, organização político, político administrativa, organização",4,2007
28,"garantir saúde, dever do Estado, cidadãos, Constituição diz que, Constituição diz",3,2007
29,"saúde direito de todos, direito de todos dever, todos dever do Estado, todos dever do, serviços para",6,2007
30,"empresário para, fazer que ele, para saúde para, para previdência, que pagar",1,2007
31,"rádio, de rádio, dando conta de que, Constituição Federal Relatório, inscrito no art da",2,2007
32,"trabalho, regulamentando direito de, Concluímos, assegurados os, os direitos que estão",2,2007
-1,"Presidente, art da, Brasil, porque, direitos",271,2008
0,"Presidente, art da, art da Constituição, do art, da Constituição Federal",250,2008
1,"Constituição de, da Constituição de, Constituição Federal de, outubro, Federal de",74,2008
2,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, do Supremo Tribunal",13,2008
3,"apresentado um, Senado assim, Presidente da República pode, ser apresentado, da República pode",1,2008
4,"educação, professores, Educação, que os professores, os professores",16,2008
5,"Implícito, menciona, Implícito orador, Implícito orador menciona, orador menciona",7,2008
6,"mínimo, salário mínimo, salário, do salário mínimo, do salário",11,2008
7,"Regimento, CPI, Regimento Constituição, Constituição Regimento, sobre tema",7,2008
8,"para os, para os Estados, para os Municípios, os Municípios, os Estados",8,2008
9,"petróleo, Estados, do petróleo, União, natural",7,2008
10,"urgência, medidas, provisória, medida provisória, medida",14,2008
11,"Câmara, Deputados, dos Deputados, Câmara dos, Câmara dos Deputados",11,2008
12,"família, família da, da família da, da sociedade do Estado, adolescente",7,2008
13,"Ulysses, Ulysses Guimarães, Guimarães, de Ulysses, Carta",12,2008
14,"ambiente, meio ambiente, ao meio ambiente, ecologicamente, ecologicamente equilibrado",5,2008
15,"tributária, tributárias, reforma tributária, tributário, sistema tributário",4,2008
16,"Carta Magna, Magna, Carta, nossa Carta Magna, nossa Carta",5,2008
17,"crédito, de crédito, calamidade, créditos, abertura de crédito",8,2008
18,"harmônicos, independentes, Poderes, que os Poderes, os Poderes",4,2008
19,"CPI, requerimento de um, Casas, próprios das autoridades, investigação próprios das autoridades",4,2008
21,"defender, para defender, aqui como eu, que exige Constituição, dentro daquilo que",2,2008
22,"veto, sanção ou veto, ou veto do, sanção ou veto do, ou veto do Presidente",1,2008
23,"Ministério Público, Ministério, Público, dos membros do, do Ministério Público",2,2008
24,"do povo, povo, poder emana do povo, poder emana do, poder emana",2,2008
25,"limites, Transitórias, Disposições, dentro dos limites, territórios",4,2008
26,"quanto ele, respeitado, momento, política, Senadores",3,2008
27,"para realizar, as prerrogativas constitucionais, administrativa de gestão financeira, científica administrativa de gestão, científica administrativa de",1,2008
28,"cidadão, dever do Estado, como se, do Estado, direito do cidadão",3,2008
29,"todos, de todos, criar as condições para, está na Carta, diz que saúde",1,2008
30,"empresas, pequenas empresas, micro, cobrança de ICMS, participação dos trabalhadores",3,2008
31,"comunicações, sigilo, telefônicas, rádio, de rádio",4,2008
32,"projeto prevê, em diante, ser considerados, meu projeto, que meu",1,2008
-1,"direitos, Brasil, Estados, art da, art da Constituição",276,2009
0,"art da, art da Constituição, Presidente, da Constituição Federal, do art",253,2009
1,"Constituição de, da Constituição de, Brasil, promulgação da, promulgação",83,2009
2,"Tribunal, Supremo Tribunal, Tribunal Federal, Supremo Tribunal Federal, Supremo",27,2009
4,"educação, Educação, da educação, da Educação, educação infantil",16,2009
5,"Implícito, Implícito orador, menciona importância, Implícito orador menciona, Implícito discurso",5,2009
6,"jornalista, ministro, salário mínimo, do salário mínimo, Constituição da República assegura",4,2009
7,"Regimento, Regimento da, Casa, Regimento Interno, Interno",6,2009
