Topic,Rotulo
-1,"Senado, política, aprovação, governo, direitos, constitucionais, projeto, reforma, democracia, lei, princípios, políticas, desenvolvimento, país, necessidade, forma, importância, pública, medidas, constitucional"
0,"aprovação, democracia, Senado, política, direitos, reforma, projeto, social, necessidade, constitucionais, desenvolvimento, princípios, lei, governo, importância, proposta, transparência, processo, educação, pública"
1,"democracia, governo, medidas, aprovação, necessidade, criação, importância, Senado, princípios, lei, constitucionais, política, Estado, direito, atuação, educação, postura, atual, direitos, justiça"
2,"pública, princípios, necessidade, medidas, legislação, provisórias, Senado, constitucionais, projeto, justiça, direitos, segurança, governo, brasileiro, democracia, Congresso, proteção, humanos, país, papel"
3,"política, democracia, aprovação, país, constitucionais, Congresso, Senado, impeachment, importância, necessidade, sociais, brasileira, Ministro, crise, princípios, projeto, recursos, Estado, segurança, desenvolvimento"
4,"projeto, constitucionais, forma, política, segurança, relação, direitos, desenvolvimento, importância, aprovação, democracia, brasileira, políticas, país, princípios, lei, Estado, proposta, ações, pública"
5,"política, Congresso, medidas, direitos, desenvolvimento, Senado, democracia, impeachment, propostas, reforma, recursos, justiça, importância, constitucionais, professores, aprovação, proposta, lei, sociedade, processo"
6,"proposta, constitucionais, projeto, social, democracia, direitos, Senado, aprovação, nacional, desenvolvimento, constitucional, Estado, transparência, política, princípios, compromisso, importância, responsabilidade, forma, justiça"
7,"direitos, aprovação, pública, forma, política, social, desenvolvimento, Senado, recursos, constitucionais, necessidade, importância, governo, democracia, processo, saúde, proposta, continuidade, decisão, lei"
8,"impeachment, Presidente, processo, necessário, importância, governo, saúde, democracia, constitucionais, golpe, políticas, direitos, necessidade, política, princípios, papel, sociais, Senado, social, país"
9,"processo, reforma, impeachment, Estado, política, democracia, social, desenvolvimento, Senado, direitos, decisão, necessidade, saúde, sociais, tributária, necessário, Ministro, princípios, importância, projeto"
10,"princípios, direitos, lei, desenvolvimento, Estado, brasileira, aprovação, redução, atual, políticas, dignidade, projeto, criação, constitucionais, inclusão, política, gestão, importância, condições, Senado"
11,"governo, país, processo, trabalhadores, constitucionais, social, essencial, Estado, educação, transparência, provisórias, impeachment, criação, lei, medidas, aprovação, democracia, Senado, Congresso, forma"
12,"direitos, constitucionais, aposentados, projetos, golpe, impeachment, Senado, processo, governo, necessidade, decisão, democrático, projeto, aprovação, reforma, políticas, recursos, econômica, questões, democracia"
